2026-03-07 10:52:57 event=run_start state=starting round=0 phase=setup elapsed=n/a
2026-03-07 10:52:57 event=round_start state=running round=1 phase=prepare elapsed=n/a
2026-03-07 10:52:57 event=phase_start state=running round=1 phase=simulation elapsed=0.0s
2026-03-07 10:53:57 event=heartbeat state=running round=1 phase=simulation elapsed=60.0s
2026-03-07 10:54:57 event=heartbeat state=running round=1 phase=simulation elapsed=120.0s
2026-03-07 10:55:57 event=heartbeat state=running round=1 phase=simulation elapsed=180.1s
2026-03-07 10:56:47 event=phase_end state=running round=1 phase=simulation elapsed=229.6s
2026-03-07 10:56:49 event=phase_start state=running round=1 phase=training elapsed=0.0s
2026-03-07 10:57:49 event=heartbeat state=running round=1 phase=training elapsed=60.0s
2026-03-07 10:58:49 event=heartbeat state=running round=1 phase=training elapsed=120.0s
2026-03-07 10:59:49 event=heartbeat state=running round=1 phase=training elapsed=180.0s
2026-03-07 11:00:49 event=heartbeat state=running round=1 phase=training elapsed=240.0s
2026-03-07 11:01:49 event=heartbeat state=running round=1 phase=training elapsed=300.0s
2026-03-07 11:02:49 event=heartbeat state=running round=1 phase=training elapsed=360.1s
2026-03-07 11:03:49 event=heartbeat state=running round=1 phase=training elapsed=420.1s
2026-03-07 11:04:49 event=heartbeat state=running round=1 phase=training elapsed=480.1s
2026-03-07 11:05:49 event=heartbeat state=running round=1 phase=training elapsed=540.1s
2026-03-07 11:06:49 event=heartbeat state=running round=1 phase=training elapsed=600.1s
2026-03-07 11:07:49 event=heartbeat state=running round=1 phase=training elapsed=660.1s
2026-03-07 11:08:49 event=heartbeat state=running round=1 phase=training elapsed=720.1s
2026-03-07 11:09:49 event=heartbeat state=running round=1 phase=training elapsed=780.1s
2026-03-07 11:10:49 event=heartbeat state=running round=1 phase=training elapsed=840.1s
2026-03-07 11:11:49 event=heartbeat state=running round=1 phase=training elapsed=900.1s
2026-03-07 11:12:49 event=heartbeat state=running round=1 phase=training elapsed=960.1s
2026-03-07 11:13:49 event=heartbeat state=running round=1 phase=training elapsed=1020.1s
2026-03-07 11:14:49 event=heartbeat state=running round=1 phase=training elapsed=1080.2s
2026-03-07 11:15:49 event=heartbeat state=running round=1 phase=training elapsed=1140.2s
2026-03-07 11:16:49 event=heartbeat state=running round=1 phase=training elapsed=1200.2s
2026-03-07 11:17:49 event=heartbeat state=running round=1 phase=training elapsed=1260.2s
2026-03-07 11:18:49 event=heartbeat state=running round=1 phase=training elapsed=1320.2s
2026-03-07 11:19:49 event=heartbeat state=running round=1 phase=training elapsed=1380.2s
2026-03-07 11:20:49 event=heartbeat state=running round=1 phase=training elapsed=1440.2s
2026-03-07 11:21:49 event=heartbeat state=running round=1 phase=training elapsed=1500.2s
2026-03-07 11:22:49 event=heartbeat state=running round=1 phase=training elapsed=1560.2s
2026-03-07 11:23:49 event=heartbeat state=running round=1 phase=training elapsed=1620.2s
2026-03-07 11:24:49 event=heartbeat state=running round=1 phase=training elapsed=1680.2s
2026-03-07 11:25:49 event=heartbeat state=running round=1 phase=training elapsed=1740.3s
2026-03-07 11:26:49 event=heartbeat state=running round=1 phase=training elapsed=1800.3s
2026-03-07 11:27:49 event=heartbeat state=running round=1 phase=training elapsed=1860.3s
2026-03-07 11:28:49 event=heartbeat state=running round=1 phase=training elapsed=1920.3s
2026-03-07 11:29:49 event=heartbeat state=running round=1 phase=training elapsed=1980.3s
2026-03-07 11:30:49 event=heartbeat state=running round=1 phase=training elapsed=2040.3s
2026-03-07 11:31:49 event=heartbeat state=running round=1 phase=training elapsed=2100.3s
2026-03-07 11:32:49 event=heartbeat state=running round=1 phase=training elapsed=2160.3s
2026-03-07 11:33:49 event=heartbeat state=running round=1 phase=training elapsed=2220.3s
2026-03-07 11:34:49 event=heartbeat state=running round=1 phase=training elapsed=2280.3s
2026-03-07 11:35:49 event=heartbeat state=running round=1 phase=training elapsed=2340.3s
2026-03-07 11:36:49 event=heartbeat state=running round=1 phase=training elapsed=2400.4s
2026-03-07 11:37:21 event=phase_end state=running round=1 phase=training elapsed=2432.6s
2026-03-07 11:37:21 event=phase_start state=running round=1 phase=truncation elapsed=0.0s
2026-03-07 11:37:25 event=phase_end state=running round=1 phase=truncation elapsed=3.5s
2026-03-07 11:37:25 event=round_complete state=running round=1 phase=complete elapsed=3.5s volume=1.000000 probe_accept=1.000000 reason=first_round
2026-03-07 11:37:25 event=error state=failed round=1 phase=complete elapsed=3.5s
