# Network	H1	L1	
1.398296734889385995e+01 1.168321955416712754e+01 7.682822185197223597e+00
1.433192474298227026e+01 1.195037811402664651e+01 7.911544082560644675e+00
1.432413479050209126e+01 1.194181930330744912e+01 7.910359614052069333e+00
1.390668355932064060e+01 1.162017133191989160e+01 7.639860328298292202e+00
1.430137191569799171e+01 1.192854615232905680e+01 7.889171399004517582e+00
1.429142029549924509e+01 1.191964609389607510e+01 7.884588198433432282e+00
1.397176683871135516e+01 1.167336507714715310e+01 7.677422508300267623e+00
1.395839260570146934e+01 1.166330069919169077e+01 7.668385810269072067e+00
1.392378257232038052e+01 1.163810798486469089e+01 7.643700913424167354e+00
1.426189341336860750e+01 1.189359961399073917e+01 7.870444203243310177e+00
1.398709098832826569e+01 1.169073859968834839e+01 7.678889588314881998e+00
1.396866949218786047e+01 1.168056388259489964e+01 7.660819457903926377e+00
1.401984723514843445e+01 1.171519009735292549e+01 7.701326994731696907e+00
1.404667533326803053e+01 1.173275948785232536e+01 7.723434645185508707e+00
1.400334134301549227e+01 1.169762511463711085e+01 7.697995547310872766e+00
1.402782724129643022e+01 1.171870578342038627e+01 7.710503996061984111e+00
1.400701704707446282e+01 1.171239593331414497e+01 7.682207238699100493e+00
1.406496221176849737e+01 1.174619412964147713e+01 7.736283700023667720e+00
1.410289776974314435e+01 1.177135156130397853e+01 7.767046280537571512e+00
1.399415246462094942e+01 1.169755909131346883e+01 7.681368010210565700e+00
1.405471592637455736e+01 1.174029296387647747e+01 7.726613805117940714e+00
1.400074677878703966e+01 1.169661902896191030e+01 7.694804328574039509e+00
1.407284888941371825e+01 1.174929883614594495e+01 7.745905545719780960e+00
1.405352579405615820e+01 1.173811284843625025e+01 7.727761254178185268e+00
1.401129799726128233e+01 1.170398471341095004e+01 7.702805553582463993e+00
1.401278024401272759e+01 1.171648330070460453e+01 7.686483541340836112e+00
1.402242625877309656e+01 1.172126220006887465e+01 7.696781835284522977e+00
1.419396115897335164e+01 1.184420409101692861e+01 7.821979470235265630e+00
1.416992019215763143e+01 1.182038728976346320e+01 7.814415049900724775e+00
1.413134238800259723e+01 1.179792711414890150e+01 7.778415873183249118e+00
1.405236179029040677e+01 1.173284960030851920e+01 7.733635118219247317e+00
1.416145650740629947e+01 1.182055173408013893e+01 7.798808057203053146e+00
1.412548757691303791e+01 1.179113483860796663e+01 7.778080643917882675e+00
1.409310188279973630e+01 1.176140105672953773e+01 7.764339370592632683e+00
1.405143690572494108e+01 1.173802841726443802e+01 7.724090107647723968e+00
1.406753290571069570e+01 1.175709685407124283e+01 7.724387070651061116e+00
1.420628127115762318e+01 1.185641585435271317e+01 7.825843765620255965e+00
1.430733284527685889e+01 1.193188618547797830e+01 7.894926548254757925e+00
1.406484619733925356e+01 1.173622827176311567e+01 7.751183426282508115e+00
1.411394840584651256e+01 1.177349151115617687e+01 7.783857478116538609e+00
1.404205074557663480e+01 1.172897902368060308e+01 7.720766814469256722e+00
1.429913288705297525e+01 1.192150299939197211e+01 7.895756300512837278e+00
1.407553824514042340e+01 1.175049883325145039e+01 7.748971161397302687e+00
1.405756574146393767e+01 1.173821724733068983e+01 7.734947345008166941e+00
1.406069779872690795e+01 1.173980653220856318e+01 7.738227521431301881e+00
1.408448686683204620e+01 1.174278846919431629e+01 7.776868860262554861e+00
1.405866516710191227e+01 1.174495852197240886e+01 7.726707940503012573e+00
1.417120574514306774e+01 1.183297202938882897e+01 7.797682041663247965e+00
1.414515170459223548e+01 1.180147963281977042e+01 7.798102026908134476e+00
1.407540016681143946e+01 1.174633616154120652e+01 7.755029118961764389e+00
1.410089022492908839e+01 1.177546630336727418e+01 7.757157886350038112e+00
1.419544949771916187e+01 1.184085559334840987e+01 7.829746181056246535e+00
1.406795096476175821e+01 1.174886784997488220e+01 7.737657823318881967e+00
1.408042045944359977e+01 1.173927845866526631e+01 7.774804279506692950e+00
1.427081306536575411e+01 1.190425897515316045e+01 7.870497049049657079e+00
1.424051893110658185e+01 1.187266379329434329e+01 7.863347498273398628e+00
1.415069483867365285e+01 1.180877709590008351e+01 7.797111511105298653e+00
1.414474432715196173e+01 1.180381499282844615e+01 7.793827281610489877e+00
1.411738655954641075e+01 1.178622876203755609e+01 7.770805289066271548e+00
1.410695638497843873e+01 1.177981701984721319e+01 7.761580343370922286e+00
1.435915181481803415e+01 1.197021433437618221e+01 7.930902195216318340e+00
1.412882189004538702e+01 1.179930072234687799e+01 7.771750797873678174e+00
1.408792792690276308e+01 1.175144827134190528e+01 7.770017812050505235e+00
1.416691432467325562e+01 1.182027200988581939e+01 7.809137666537973033e+00
1.409129044514035911e+01 1.176879979780876617e+01 7.749826948287318551e+00
