# Mf af A2220 phi2220 logL logPrior
8.795890552917379068e+01 9.506354272703193553e-01 6.713886830269704120e+00 3.887493997885258068e+00 1.891208392156459377e+04 0.000000000000000000e+00
9.123880222586429056e+01 8.306456394084347217e-01 6.542743350245883605e+00 4.513378017033626399e+00 1.911647349414863493e+04 0.000000000000000000e+00
6.497030574544010051e+01 4.275199184705125166e-01 6.995651619571397362e+00 4.731705093691205732e+00 1.928203000060248451e+04 0.000000000000000000e+00
9.888788162990496744e+01 8.775271710030195793e-01 5.569418325493220578e+00 5.610609339268015638e+00 1.928833649242654428e+04 0.000000000000000000e+00
9.223826408005767519e+01 8.288417471958881011e-01 5.894095099722282072e+00 5.455985187721586804e+00 1.928905251677779233e+04 0.000000000000000000e+00
7.556348922967688964e+01 4.955335590909034638e-01 6.668471861870425066e+00 4.740316651825423833e+00 1.929463348065054015e+04 0.000000000000000000e+00
8.874767975849022150e+01 9.493122047087273474e-01 4.534676994002737160e+00 4.432980296858428204e+00 1.931059956157254783e+04 0.000000000000000000e+00
7.861374777589446694e+01 6.461386592453310929e-01 5.774848670867520184e+00 4.573431276310127913e+00 1.931380404899170753e+04 0.000000000000000000e+00
7.610665094645567308e+01 5.921478996567585140e-01 5.995872633419703668e+00 4.169338059409458452e+00 1.931643770552561182e+04 0.000000000000000000e+00
6.618238480264012935e+01 8.588516165905770716e-01 6.923050613729723857e+00 3.985701090338690467e+00 1.931924496589543196e+04 0.000000000000000000e+00
7.746029227692309860e+01 7.254510458482854585e-01 5.521383000971145094e+00 3.784019810411210383e+00 1.932420256363071894e+04 0.000000000000000000e+00
9.133510384373788327e+01 8.114156873304396722e-01 5.892658295351658637e+00 5.643422706205315720e+00 1.932972594818453217e+04 0.000000000000000000e+00
6.046513483636102393e+01 6.535712445475563293e-01 6.303078535121055204e+00 4.177901360870492908e+00 1.933755564197023341e+04 0.000000000000000000e+00
6.469876004636378752e+01 2.157985170608983927e-01 6.425198990846555880e+00 4.639292332155060983e+00 1.935195729715882044e+04 0.000000000000000000e+00
7.302678753209114859e+01 2.861106970903799507e-01 6.540871774271543870e+00 4.320913197170898279e+00 1.935870377162352452e+04 0.000000000000000000e+00
6.829184109663330560e+01 8.508916370136099250e-01 6.727305599134921543e+00 4.398464178794985635e+00 1.936244518077493922e+04 0.000000000000000000e+00
8.656225636507232934e+01 5.833840819912027298e-01 6.494079382391533706e+00 5.586157159567346930e+00 1.936425118505854698e+04 0.000000000000000000e+00
9.782276832967053792e+01 8.763822804292924484e-01 4.945975152916993522e+00 3.679851850550880599e+00 1.936521717656836699e+04 0.000000000000000000e+00
8.427718374197314688e+01 3.240275336762741265e-01 6.770392121810814956e+00 4.284875072269034746e+00 1.936920838396854742e+04 0.000000000000000000e+00
9.206405382915207269e+01 8.258968053683066746e-01 4.360026000570566218e+00 4.428495839467164075e+00 1.937863806414378996e+04 0.000000000000000000e+00
8.302083859305298574e+01 5.270641221984780911e-01 5.724120693291013140e+00 4.661279508987090203e+00 1.938220972836963483e+04 0.000000000000000000e+00
7.649755682163242909e+01 2.052570559606002598e-01 6.455735048653744812e+00 4.459840417918396582e+00 1.938809422951067609e+04 0.000000000000000000e+00
9.043126575306268933e+01 7.395443336672736789e-01 5.653802742240632284e+00 5.734758219687984493e+00 1.939242771545819414e+04 0.000000000000000000e+00
8.956275302946369266e+01 8.714857738045692637e-01 4.168199429913931553e+00 3.690306596301115682e+00 1.939520581337605108e+04 0.000000000000000000e+00
7.207026444111184560e+01 6.769815690951430653e-01 5.008670433848449122e+00 4.766515627650782960e+00 1.939528728063078233e+04 0.000000000000000000e+00
9.992411292804740697e+01 6.542490016689526122e-01 5.661816757787061505e+00 4.211653623093784660e+00 1.940463029416053541e+04 0.000000000000000000e+00
7.648344563794317708e+01 9.083689436439328357e-01 4.712274983909512827e+00 2.748856891156806981e+00 1.941384678193493164e+04 0.000000000000000000e+00
5.876117122890367028e+01 5.753290318570950523e-01 4.981699235790983948e+00 4.002435627719114208e+00 1.941661244474316845e+04 0.000000000000000000e+00
5.960292486398095946e+01 8.482204039779824845e-01 6.140322513843040397e+00 3.826285075700470273e+00 1.941984272638435141e+04 0.000000000000000000e+00
9.974443546116951609e+01 7.805805970036491237e-01 5.088183123962272347e+00 5.833041557408733091e+00 1.942490382261618652e+04 0.000000000000000000e+00
6.599326769331608489e+01 3.118032107288289390e-01 5.609520716451941169e+00 5.120099729708376124e+00 1.943283689088769097e+04 0.000000000000000000e+00
6.562335771598343115e+01 5.127664666678791727e-01 5.464061338093723741e+00 5.119638632139145606e+00 1.944559442217847391e+04 0.000000000000000000e+00
7.130036660788501024e+01 2.601470158037226810e-01 5.374464223168418542e+00 5.163756956058794145e+00 1.945558165161997749e+04 0.000000000000000000e+00
5.692224913298788636e+01 2.925105935112614075e-01 5.091017360847984285e+00 4.751060838787078744e+00 1.945821027626137220e+04 0.000000000000000000e+00
8.967932865633233064e+01 6.596376875846854393e-01 5.927290397527473331e+00 3.480650632115661836e+00 1.947429312081269381e+04 0.000000000000000000e+00
9.089768425599345392e+01 2.575617246753494904e-01 6.325142355943403238e+00 3.875305153780375100e+00 1.947799936279618851e+04 0.000000000000000000e+00
8.568593562275749775e+01 6.411110691828694197e-01 4.293614190467053504e+00 5.272577918768086569e+00 1.947881838567270825e+04 0.000000000000000000e+00
6.557256431021782817e+01 8.676431979564025454e-01 4.339687324354074782e+00 3.520278843414993641e+00 1.947969116945019050e+04 0.000000000000000000e+00
6.892777667073647763e+01 4.668053608308039837e-01 3.925593572302824796e+00 4.323371884378870433e+00 1.948571562594857096e+04 0.000000000000000000e+00
9.947242795268979876e+01 4.042710751046853512e-01 5.133126336513649690e+00 5.434766197627470596e+00 1.948639989310898818e+04 0.000000000000000000e+00
