# Network	H1	L1	
1.624320795492496572e+01 1.346903195658199870e+01 9.078930709037853930e+00
1.047903136983360817e+01 8.760307595709374340e+00 5.750400792859003296e+00
1.804973372716015945e+01 1.491700687626262933e+01 1.016246985111967760e+01
1.288052009060212733e+01 1.083566804748745760e+01 6.963913825505339439e+00
1.087774826742867340e+01 9.083213554303492643e+00 5.985034577716725757e+00
1.765826720942249040e+01 1.470609559183000137e+01 9.774720112787054660e+00
1.528910812556053500e+01 1.279724366393594792e+01 8.365846154510157007e+00
1.288520681642609489e+01 1.065778370698492772e+01 7.241560685183829449e+00
1.347938743206459655e+01 1.127990522888101488e+01 7.379540878073902022e+00
1.736428962605722504e+01 1.463943442448918297e+01 9.338389258789739245e+00
1.264615248595718988e+01 1.053965929876278018e+01 6.988616069300449318e+00
1.481344509229502471e+01 1.251327613308590436e+01 7.928182384354072632e+00
1.257491751796220392e+01 1.066581519769861863e+01 6.661001182411987465e+00
1.246930269097230770e+01 1.037358560692646137e+01 6.918976170999389552e+00
1.293314118397154822e+01 1.089825580961158735e+01 6.963774924048614423e+00
1.267641593539096689e+01 1.064504747216964553e+01 6.882912558088231769e+00
1.510131950441606818e+01 1.265862736539868472e+01 8.234622274180932067e+00
1.561631640977995694e+01 1.300559398227786900e+01 8.644296580896586590e+00
1.224234109908625534e+01 1.027782422152412245e+01 6.651409238486873043e+00
1.420316126369490917e+01 1.186466234564570144e+01 7.807661449265113518e+00
1.536083188535163302e+01 1.293744728256240961e+01 8.281160185683761554e+00
1.363174342695045738e+01 1.134578012279093251e+01 7.556302155385870911e+00
1.551253771746861077e+01 1.307421412524111481e+01 8.348877256447837070e+00
1.526184500646678543e+01 1.269560792587934905e+01 8.470268732086639218e+00
1.370625141186023299e+01 1.125740258852788322e+01 7.818709274869242165e+00
1.424567312309224754e+01 1.194725438373082760e+01 7.759015106340324763e+00
1.444824391039555067e+01 1.207730254447741380e+01 7.930354049059944899e+00
1.642750652554586921e+01 1.376825135026920854e+01 8.960927708817999715e+00
1.619684496122625461e+01 1.374747648754473950e+01 8.564150683074464254e+00
1.238179517970335297e+01 1.024059390861262209e+01 6.959819557360034992e+00
1.313651005512089043e+01 1.088421112344182795e+01 7.355395614692484152e+00
1.613471847719215901e+01 1.343236332482600304e+01 8.938722271561823973e+00
1.243613245249375510e+01 1.039982789415086550e+01 6.819161982825305834e+00
1.545536250329613637e+01 1.300577714733477563e+01 8.349729989775521943e+00
1.486649780840640034e+01 1.239069569968149231e+01 8.214829101402347789e+00
1.511372023859637892e+01 1.267599673520338754e+01 8.230652842859482732e+00
1.643692801349060773e+01 1.380792792034105432e+01 8.917047104694368898e+00
1.710734961601311355e+01 1.417698376166580587e+01 9.574682360578242069e+00
1.488975658599240504e+01 1.231750603802587563e+01 8.365637823459744382e+00
1.550733140590052095e+01 1.313606287336891754e+01 8.241430671875322744e+00
1.418793237628402615e+01 1.189819037625789555e+01 7.728550374056733396e+00
1.160113676408789551e+01 9.606054550262033587e+00 6.504620680444159753e+00
1.502375522894012150e+01 1.247008746482097941e+01 8.379149109475275026e+00
1.461444870611562052e+01 1.212607924960753181e+01 8.157224590258756791e+00
1.356636350528866686e+01 1.149247280076416544e+01 7.208972720251066058e+00
1.495805814167240655e+01 1.228928584370689059e+01 8.527423809176930547e+00
1.382176753198870145e+01 1.152501479492146608e+01 7.629894605116007256e+00
1.592465485976474149e+01 1.340664392705089547e+01 8.593982255968308337e+00
1.566662900662297808e+01 1.318261390863922955e+01 8.465338443731120321e+00
1.354399110418984620e+01 1.145522455920190374e+01 7.226169478266563750e+00
1.310670480730589738e+01 1.107450354464852005e+01 7.010070052818507591e+00
1.228215415751071227e+01 1.036041319528022164e+01 6.596449739967791714e+00
1.385865481917389452e+01 1.163211495951179053e+01 7.533672077129041966e+00
1.458956842831296896e+01 1.196420125320295114e+01 8.349454790420958616e+00
1.186891004102249347e+01 9.865584982111501589e+00 6.598580038358296207e+00
1.204930159183276039e+01 1.019410244585388803e+01 6.423857421703822901e+00
1.563764444912521867e+01 1.296971359003400259e+01 8.736272277679081100e+00
1.273678037032612131e+01 1.068238829257414579e+01 6.936292566537231252e+00
1.304346518964686297e+01 1.091378155364866132e+01 7.142923515813933477e+00
1.502946309340756592e+01 1.251011113950752751e+01 8.329578629995026517e+00
1.718620473237484703e+01 1.438093122818131242e+01 9.410337406991478915e+00
1.524388534842736220e+01 1.276138365905048033e+01 8.338052987509600555e+00
1.396107772438486627e+01 1.150052554307895569e+01 7.915150248687881529e+00
1.566810118545784114e+01 1.314924915003167527e+01 8.519779430721001745e+00
1.397723550889993049e+01 1.185173080770270104e+01 7.409425708717496839e+00
1.511187451437065832e+01 1.259633067125975714e+01 8.348724750425429164e+00
1.504954419677700983e+01 1.271177552231772978e+01 8.056025297933738116e+00
1.171564661676965713e+01 9.836845340667700555e+00 6.363399201119672277e+00
1.282198915568606701e+01 1.054750743423785764e+01 7.290644198781627949e+00
1.226167792138735813e+01 1.030027517213133770e+01 6.652298612225172825e+00
1.319609513066571438e+01 1.115876507257201133e+01 7.044067628347013610e+00
1.588489413645858050e+01 1.337060672079855372e+01 8.576522468007224731e+00
1.203728181959687404e+01 1.001818528849557843e+01 6.673238878518301220e+00
