# Mf af A2220 phi2220 logL logPrior
6.494526347276422484e+01 6.253715953777957415e-01 5.631853240922688464e+00 7.907879640023027790e-01 1.977902423613089559e+04 0.000000000000000000e+00
6.700633564665261588e+01 6.321172060780873014e-01 3.668771492493426045e+00 1.111430130339623901e+00 1.977911018044083903e+04 0.000000000000000000e+00
7.167968064850334997e+01 7.705264834229692550e-01 5.768640049515461499e+00 8.922542301759359695e-01 1.977946022876449933e+04 0.000000000000000000e+00
5.553941564873731096e+01 2.887215546806396471e-01 5.049794147628518637e+00 9.633204005191756680e-01 1.977999342919281844e+04 0.000000000000000000e+00
6.863004687668741610e+01 6.777632914299549505e-01 3.788435742552528129e+00 1.223196192521382120e+00 1.978023549180549162e+04 0.000000000000000000e+00
6.655116273324978238e+01 6.486446906068487062e-01 6.100082849750816827e+00 9.609598288015813727e-01 1.978028557400670616e+04 0.000000000000000000e+00
5.135433135558773898e+01 2.546831461804585084e-01 6.243432009684401152e+00 7.921317887557882687e-01 1.978056829785900845e+04 0.000000000000000000e+00
6.620256491066962212e+01 6.602467193365835207e-01 4.385116618012162348e+00 7.537019135333240527e-01 1.978065341777381764e+04 0.000000000000000000e+00
6.633334830345984301e+01 5.761425307187399980e-01 4.717927467909247774e+00 1.050468832822124776e+00 1.978066849444535910e+04 0.000000000000000000e+00
5.737712054571865394e+01 4.181655427674312309e-01 6.950696768959548244e+00 1.172219755000655228e+00 1.978068526127369842e+04 0.000000000000000000e+00
7.084277385697745899e+01 7.080224138434493275e-01 4.368821142834436344e+00 1.375202738206917408e+00 1.978075033420059117e+04 0.000000000000000000e+00
5.667488796165227427e+01 3.797151495810338617e-01 6.160342657623346874e+00 1.337751424252953569e+00 1.978101112604109221e+04 0.000000000000000000e+00
5.363099344258083079e+01 2.337018577409025466e-01 5.424327757128518890e+00 1.358716993893136715e+00 1.978101803139516051e+04 0.000000000000000000e+00
7.325892281456577848e+01 7.445753223652493702e-01 4.141545698794231178e+00 1.349699914454082439e+00 1.978123899549159978e+04 0.000000000000000000e+00
6.286650017586256922e+01 4.504221742575072462e-01 4.846556544467876648e+00 1.222135150259724856e+00 1.978128943424514000e+04 0.000000000000000000e+00
6.686154738845463896e+01 5.598970316710628614e-01 4.532037839122510903e+00 1.229415368742290182e+00 1.978130283021945797e+04 0.000000000000000000e+00
6.671140313170336356e+01 5.871069597022025022e-01 5.606373151123316134e+00 1.444314387684538126e+00 1.978132971081922369e+04 0.000000000000000000e+00
6.984022877339012325e+01 6.759311506121269408e-01 5.193066010670309929e+00 1.004448288737955997e+00 1.978153796915570638e+04 0.000000000000000000e+00
5.169736736705800695e+01 2.737002169670026408e-01 5.029183737862267911e+00 8.693675503540462257e-01 1.978153991634337581e+04 0.000000000000000000e+00
6.650360072419762503e+01 6.618678348551569890e-01 5.150472867923697073e+00 1.287325191925017709e+00 1.978172792405964356e+04 0.000000000000000000e+00
6.461112120200731113e+01 4.909802549217685552e-01 5.737472462107117366e+00 1.320270590538497268e+00 1.978172885720156410e+04 0.000000000000000000e+00
7.191197166335270197e+01 7.038682676616643263e-01 4.427061909152969932e+00 1.031699815052712799e+00 1.978177099939212349e+04 0.000000000000000000e+00
5.269564782504219380e+01 3.395765201150023338e-01 6.478907469482240167e+00 1.024295432820622409e+00 1.978179474701165964e+04 0.000000000000000000e+00
5.980995570748729762e+01 5.171380201964228540e-01 5.647192119497745466e+00 7.892412391364084234e-01 1.978184841247459553e+04 0.000000000000000000e+00
6.350149783124337688e+01 7.039634018524545400e-01 4.878820340715757098e+00 6.387291994680812657e-01 1.978188348941144068e+04 0.000000000000000000e+00
6.483065034065006671e+01 5.755993705331489130e-01 5.381431934450023213e+00 1.400145924432784295e+00 1.978198145520156686e+04 0.000000000000000000e+00
6.896868066950045773e+01 6.523205928853901270e-01 5.165841711214322451e+00 1.411532394836877868e+00 1.978205526507833929e+04 0.000000000000000000e+00
5.657552980767279394e+01 4.716091446973831314e-01 6.500039259545143722e+00 9.634085557489964202e-01 1.978206637849875551e+04 0.000000000000000000e+00
5.425994514574296801e+01 2.036102903208549531e-01 6.835129344986319744e+00 1.315369603467061665e+00 1.978208712520303743e+04 0.000000000000000000e+00
6.261927946094036201e+01 6.263632415771944739e-01 4.426145524232269146e+00 7.252526325675647811e-01 1.978213140957307405e+04 0.000000000000000000e+00
7.619351675338303664e+01 7.821128665063399321e-01 4.001524704696992174e+00 1.011050623487349309e+00 1.978213449181917167e+04 0.000000000000000000e+00
7.021518787112151472e+01 7.268077362269810271e-01 5.495584951549352226e+00 1.229086826860684489e+00 1.978215645868682259e+04 0.000000000000000000e+00
5.689292340311538254e+01 4.212434166314176220e-01 4.791196543611112801e+00 8.631789940208791645e-01 1.978216875387820983e+04 0.000000000000000000e+00
5.051536691093235731e+01 2.096804372524372073e-01 6.436136724754739191e+00 8.984044236086645707e-01 1.978219386669263622e+04 0.000000000000000000e+00
6.581377742893685934e+01 6.858467562354211289e-01 5.332594833784304100e+00 1.132347422314959662e+00 1.978221974564879929e+04 0.000000000000000000e+00
6.523587232697414606e+01 5.789200743386164749e-01 5.669158768349092270e+00 1.391231670909915286e+00 1.978222910632494313e+04 0.000000000000000000e+00
6.113610467330588705e+01 5.342803293731275271e-01 6.333306857739202655e+00 1.216238908412786923e+00 1.978224135337364714e+04 0.000000000000000000e+00
6.676437382015419075e+01 6.929015111835272744e-01 5.839943754881232962e+00 8.535635693293365245e-01 1.978225054523342988e+04 0.000000000000000000e+00
7.784488298900006953e+01 8.240005625124895428e-01 4.519837531146460030e+00 1.238270045886706416e+00 1.978238393308827654e+04 0.000000000000000000e+00
5.491839382511563628e+01 2.206006066992545755e-01 6.316106940625703103e+00 1.179237730080112456e+00 1.978240046611003709e+04 0.000000000000000000e+00
5.241682975811470158e+01 3.650606528401170725e-01 5.866008110926814290e+00 8.847103955781787654e-01 1.978240694145065208e+04 0.000000000000000000e+00
7.238994759562169179e+01 7.816085770050941184e-01 3.724479654688222841e+00 1.030668829460611002e+00 1.978241601850989537e+04 0.000000000000000000e+00
7.612167935021935250e+01 7.843627865927620402e-01 4.756367784866899484e+00 1.316447960187879129e+00 1.978243462476454442e+04 0.000000000000000000e+00
7.489573982588326828e+01 7.608523122950838768e-01 4.543574773632570007e+00 1.021971897185370848e+00 1.978247487908828771e+04 0.000000000000000000e+00
5.807368672955692546e+01 2.852792596063964403e-01 5.477955540450497374e+00 1.328614440122969587e+00 1.978251265968767257e+04 0.000000000000000000e+00
7.890816583596945577e+01 8.670254533816615927e-01 4.291184342592870848e+00 9.643020906141825943e-01 1.978258708572150499e+04 0.000000000000000000e+00
5.797272944940696249e+01 5.547826858236571956e-01 5.373295831440666248e+00 8.872455374034839970e-01 1.978262585601736646e+04 0.000000000000000000e+00
