# Network	H1	L1	
1.385722789515463660e+01 1.158713824216842525e+01 7.600065282293950730e+00
1.417990319909073804e+01 1.183426526276849167e+01 7.811518445604205496e+00
1.429236964805035370e+01 1.191356839845709992e+01 7.895487202940380200e+00
1.416539164481057789e+01 1.182743613675334515e+01 7.795516331962267564e+00
1.410595836140666748e+01 1.177070416736198588e+01 7.773582488028661253e+00
1.419596105088873372e+01 1.185151166016159507e+01 7.814536552310936024e+00
1.421766500048029158e+01 1.186504869723716027e+01 7.833429483825906203e+00
1.423958246251615734e+01 1.187929388411978238e+01 7.851629481929981225e+00
1.411892693825497602e+01 1.178751205186965301e+01 7.771657320984354023e+00
1.437157872342980269e+01 1.198073469910056765e+01 7.937522980975099784e+00
1.422374785966197663e+01 1.186996954027818951e+01 7.837016414944313780e+00
1.425184544879540915e+01 1.188992838579345523e+01 7.857779691302973823e+00
1.415624887914366603e+01 1.181454517867218890e+01 7.798455266869844138e+00
1.421242322698963356e+01 1.185987789723692210e+01 7.831747585673682011e+00
1.428871384707279368e+01 1.191710908429007176e+01 7.883517899812291674e+00
1.415999979750081650e+01 1.181431902158296232e+01 7.805604417435343834e+00
1.430621928135823140e+01 1.193029246839228641e+01 7.895317076908839660e+00
1.436648347409925108e+01 1.197696148345588085e+01 7.933992754936267211e+00
1.433167208087922440e+01 1.194919600044253549e+01 7.912871765475610886e+00
1.420983305009819908e+01 1.185124278167210221e+01 7.840114784971453865e+00
1.423151796200748720e+01 1.187101875460554190e+01 7.849523376023872068e+00
1.418494933268773472e+01 1.183660845126891203e+01 7.817127857612894637e+00
1.425255536884130514e+01 1.188977163667578729e+01 7.859304356594614127e+00
1.423419577767168853e+01 1.187582112749981533e+01 7.847114245677552447e+00
1.425727958441028420e+01 1.188759095163398527e+01 7.871162716820946592e+00
1.421232254969227249e+01 1.185571717632835309e+01 7.837862112298499717e+00
1.437872169792947830e+01 1.198610228068489469e+01 7.942354171369363947e+00
1.428757459012615172e+01 1.191532360629565979e+01 7.884151890068575419e+00
1.422472730913370320e+01 1.186963435293496261e+01 7.839301457836683085e+00
1.421963165532692486e+01 1.186618628714050594e+01 7.835275835096946473e+00
1.424547006770304947e+01 1.188617075900533493e+01 7.851901816604057061e+00
1.428212399229489726e+01 1.191275337389014410e+01 7.878157956283594388e+00
1.424381846855768075e+01 1.187719656236777688e+01 7.862478386876746050e+00
1.432628358795547108e+01 1.194560172439132728e+01 7.908539744146275474e+00
1.424041373309499470e+01 1.188132940857748387e+01 7.850056991805368867e+00
1.427174126813662802e+01 1.189563507968426137e+01 7.885205442828952194e+00
1.423699628480091839e+01 1.187389893619150349e+01 7.855099443453624986e+00
1.425103575320214588e+01 1.188010833964892043e+01 7.871152766733092498e+00
1.426536683281236151e+01 1.189109099714682571e+01 7.880523191532188498e+00
1.427400825362063763e+01 1.190356901637045084e+01 7.877331800612152435e+00
1.427815242234695603e+01 1.190819672793133677e+01 7.877847884077072926e+00
1.433647053184879994e+01 1.195112274333698466e+01 7.918652188615339149e+00
1.427742145826801412e+01 1.190504406308152596e+01 7.881287290354239694e+00
1.430080309413852113e+01 1.192053058118666087e+01 7.900248084732243825e+00
1.427041963427166138e+01 1.190344389314706319e+01 7.871016454112265137e+00
1.430226498111074918e+01 1.192720431490034549e+01 7.892818306570183573e+00
1.426721193118773101e+01 1.189557638671304751e+01 7.877093291138584696e+00
1.435374432112786991e+01 1.196574069734846901e+01 7.927863873713343779e+00
1.426830062288988543e+01 1.190247351892371874e+01 7.868641991886498488e+00
1.428607692308528065e+01 1.190988042474504205e+01 7.889660456609311368e+00
1.433633051860841334e+01 1.195394017198273673e+01 7.914144748704078580e+00
1.427657732840056681e+01 1.190845871693577607e+01 7.874596573846651459e+00
1.430564547396398645e+01 1.193022921834530692e+01 7.894372883547254638e+00
1.427807854926123632e+01 1.190194360968773601e+01 7.887158256982492510e+00
1.428000983827470272e+01 1.190963777596742723e+01 7.879036046780843350e+00
1.428390502520992555e+01 1.190693384806756150e+01 7.890175480111982331e+00
1.429442921455022564e+01 1.192133875091146145e+01 7.887483055817217981e+00
1.430153637325673621e+01 1.192795868851858998e+01 7.890357670003261603e+00
1.430248137651421736e+01 1.192598524671313065e+01 7.895052211399035791e+00
1.428721932485195012e+01 1.191656384028839710e+01 7.881633223942487554e+00
1.436405797294392350e+01 1.197307518912820967e+01 7.935466713784161463e+00
1.438628019062105778e+01 1.199190454367542813e+01 7.947281493594678281e+00
1.435026520443856235e+01 1.196374529987723712e+01 7.924576319109145395e+00
1.434283697007549740e+01 1.195921058694856498e+01 7.917970351496769865e+00
1.429937727501478761e+01 1.192193665761524635e+01 7.895544109497403262e+00
1.433829047256051759e+01 1.195274269930372846e+01 7.919502234342831848e+00
1.430833531920296942e+01 1.193187056059516138e+01 7.896766713785692282e+00
1.431944320566480933e+01 1.194037263331411580e+01 7.904046754534248542e+00
1.434181156681931490e+01 1.195657172544874136e+01 7.920097953456888717e+00
1.431966384327664876e+01 1.193812669430410445e+01 7.907838112606272674e+00
1.433043921818147304e+01 1.194536466609116232e+01 7.916422877796155610e+00
1.430925335415449240e+01 1.193353864473515813e+01 7.895909508599636695e+00
