# Mf af A2220 phi2220 logL logPrior
8.367567757269578976e+01 6.702980681362491477e-01 6.840855656731647194e+00 4.976561596833226631e+00 1.923831334240569777e+04 0.000000000000000000e+00
9.154143978686754224e+01 6.929478730672478104e-01 6.953827014619003322e+00 4.178663933932902808e+00 1.924631908364899209e+04 0.000000000000000000e+00
8.548636519087956742e+01 7.837955289811423532e-01 4.171258328718620234e+00 3.872243168682673264e+00 1.943900926176100620e+04 0.000000000000000000e+00
8.386899671461662820e+01 3.640051235504083715e-01 5.654284988969974890e+00 5.446743425303115949e+00 1.945128986771533164e+04 0.000000000000000000e+00
9.144543128004323762e+01 5.684565421296572385e-01 5.521586231539208356e+00 6.169662258722865111e+00 1.947521094747886673e+04 0.000000000000000000e+00
6.817268720869121523e+01 2.977800055583248451e-01 4.107705743412621402e+00 4.703976863667056030e+00 1.950055864722420301e+04 0.000000000000000000e+00
5.015889066044977795e+01 6.702051322595145022e-01 4.290523673732246301e+00 3.238982268166115563e+00 1.952947967596169474e+04 0.000000000000000000e+00
8.713052803383125422e+01 3.803824393733715725e-01 4.401596908709857203e+00 5.978541217108086947e+00 1.954389227751918952e+04 0.000000000000000000e+00
5.124547800503822259e+01 4.241974774610403065e-01 3.465322839669866539e+00 4.042491112511988227e+00 1.954406549412396635e+04 0.000000000000000000e+00
6.755471506190744435e+01 4.316459523085331984e-01 6.501322890589224635e+00 2.856483619439814881e+00 1.956521572928780733e+04 0.000000000000000000e+00
7.489258259075063506e+01 6.280479849473964427e-01 2.691124680133867297e+00 5.117609606013395762e+00 1.956881151951631182e+04 0.000000000000000000e+00
9.962219316713978401e+01 3.506738852177911370e-01 6.866058004213860144e+00 1.663644528819413715e+00 1.957247818595433273e+04 0.000000000000000000e+00
7.634729577237507669e+01 2.448983168019869261e-01 6.506145551197310084e+00 8.891175207982005002e-01 1.958650003439844295e+04 0.000000000000000000e+00
9.420530389985074748e+01 9.032371073185135879e-01 1.762430902094334950e+00 3.694444207703739824e+00 1.959021239834172229e+04 0.000000000000000000e+00
5.995705718738724244e+01 8.495878671003557203e-01 4.961056425166290751e+00 4.716293419337324266e+00 1.959453908422165478e+04 0.000000000000000000e+00
8.116127106651370582e+01 6.260709407938627180e-01 4.092556685700317054e+00 3.238944435018813905e+00 1.959746983182939221e+04 0.000000000000000000e+00
6.872787843189161094e+01 6.807040301352194067e-01 6.680447874931783048e+00 6.097841340761874562e+00 1.960734404303663177e+04 0.000000000000000000e+00
7.877559166057305617e+01 9.236166296920688135e-01 1.344133051802847589e+00 3.603709049466589320e+00 1.961195489572892257e+04 0.000000000000000000e+00
5.815715383512696945e+01 5.749488144016399183e-01 1.717991964642659797e+00 3.379183211986797719e+00 1.961610946238629549e+04 0.000000000000000000e+00
6.929197062158850429e+01 9.176421242877552675e-01 5.589843398496250337e+00 1.399820192802902596e+00 1.962771919729090587e+04 0.000000000000000000e+00
8.646932439556881889e+01 5.109211809710806351e-01 1.870024489768987719e+00 5.585733416127677486e+00 1.962823181677433604e+04 0.000000000000000000e+00
