# Network	H1	L1	
1.282885314503013952e+01 1.066473910309539441e+01 7.130414635886032748e+00
1.672340523192765005e+01 1.393410886176383556e+01 9.247318139859775243e+00
1.715043671084825050e+01 1.415048041586655003e+01 9.690272616030398467e+00
1.205978293141625635e+01 1.008407306983289331e+01 6.614365780265701211e+00
1.552810441912327732e+01 1.274270241715683838e+01 8.873869615842975733e+00
1.220098461017403046e+01 1.022911152228617304e+01 6.650511478250059838e+00
1.219807107728516549e+01 1.011659552952465901e+01 6.815235351658997409e+00
1.634535856302338530e+01 1.370243808382871364e+01 8.911449776138693935e+00
1.422673009505270159e+01 1.181831339915611601e+01 7.920057928879387532e+00
1.704888156638247665e+01 1.419763348292583593e+01 9.438832880660582347e+00
1.592787123585206999e+01 1.329979835123365106e+01 8.764270986363120741e+00
1.243823864168843052e+01 1.038495510844488123e+01 6.845618153474223533e+00
1.488064807471739392e+01 1.245620961159365869e+01 8.141039812925139785e+00
1.279483619060689925e+01 1.067150300414231090e+01 7.058814119740349113e+00
1.630352071932113844e+01 1.360840684788554178e+01 8.978644157541577187e+00
1.361869547189844987e+01 1.143603852843156332e+01 7.394990813553196318e+00
1.222466313178232156e+01 1.025256482845864348e+01 6.657875270971267412e+00
1.682468352874115780e+01 1.400963096558691312e+01 9.316663353924640845e+00
1.211936400209283171e+01 1.018364562187145950e+01 6.570566616613962907e+00
1.537447720389829797e+01 1.292816120310066808e+01 8.320889207280137256e+00
1.295817699176479643e+01 1.088582948827515651e+01 7.029442887036039700e+00
1.445067849301280205e+01 1.214513012317524954e+01 7.830576172898383369e+00
1.561313081057137353e+01 1.302090600438571855e+01 8.615443141995951848e+00
1.319905256774369562e+01 1.095344123941595527e+01 7.364585100378929106e+00
1.551756341543600826e+01 1.305921596528781770e+01 8.381625899791149692e+00
1.439837848784627994e+01 1.185128931383922968e+01 8.176811400476021063e+00
1.218573838480050675e+01 1.016198283897618460e+01 6.725052026799049010e+00
1.574394151269159536e+01 1.307149950452710918e+01 8.775397145326316206e+00
1.365687225569150343e+01 1.142522983283365612e+01 7.481596291915527885e+00
1.450529481970634293e+01 1.207484865963315102e+01 8.037512528982782456e+00
1.514816497326104994e+01 1.264212250033764207e+01 8.345276552852496366e+00
1.294623895390462032e+01 1.085759973252623389e+01 7.051073045986946397e+00
1.504690394052940228e+01 1.242368405657203034e+01 8.488898200473201427e+00
1.258882703373339673e+01 1.042304480890242857e+01 7.059653178228296966e+00
1.496427299378110654e+01 1.242737218793447873e+01 8.336059424869715073e+00
1.326361232249616684e+01 1.120588605586643638e+01 7.095881167579564774e+00
1.444494279471504861e+01 1.214441211103944340e+01 7.821101381508148265e+00
1.477877363447390202e+01 1.250642254761397787e+01 7.874105993670241332e+00
1.346854451821127263e+01 1.138826534639932397e+01 7.190904243489772085e+00
1.331348688339544140e+01 1.120557862210221067e+01 7.189154382695393863e+00
1.324810021064464927e+01 1.101220666134480908e+01 7.365016200872596563e+00
1.592338386024611196e+01 1.337999284907771091e+01 8.633072739145415397e+00
1.512832707512079367e+01 1.270105072158794890e+01 8.218855799895939285e+00
1.313481112457523636e+01 1.106974686706344357e+01 7.069934057500428359e+00
1.357343019696915754e+01 1.130209211272097214e+01 7.516696161716567737e+00
1.313040935649570073e+01 1.096425896329942518e+01 7.224449823679172766e+00
1.465731092586159079e+01 1.234311360930706059e+01 7.904701765729079455e+00
1.598344506257523889e+01 1.337447260887820377e+01 8.751799729354381441e+00
1.396330709469529197e+01 1.163661957234920408e+01 7.717708853616291442e+00
1.355126007029213042e+01 1.142054456098169979e+01 7.294368473235035566e+00
1.294495928517248373e+01 1.078742866640845754e+01 7.155651868412992833e+00
1.468315272506463032e+01 1.227214103232457276e+01 8.061608302957200323e+00
1.336739340692044919e+01 1.120360168911002496e+01 7.291537265018351199e+00
1.434083179993208290e+01 1.211988271680050389e+01 7.666022413543002401e+00
