# Mf af A2220 phi2220 logL logPrior
7.571169670331354951e+01 7.526064034106874079e-01 4.192008133794963953e+00 1.454110771343493980e+00 1.977930739164018814e+04 0.000000000000000000e+00
6.953690746782994836e+01 6.764835579347037164e-01 5.599263177285068949e+00 1.028864448788839203e+00 1.978113107198796570e+04 0.000000000000000000e+00
7.442054686531777463e+01 8.123865231392055630e-01 5.285435836430003143e+00 9.434628070709130121e-01 1.978185508899813431e+04 0.000000000000000000e+00
6.985727306120661240e+01 6.607193865979897884e-01 4.219247323662645321e+00 1.349614381032297139e+00 1.978194364456669791e+04 0.000000000000000000e+00
7.004989073586807535e+01 7.740454700107186614e-01 5.001565788851618066e+00 6.724924679312724862e-01 1.978224300348781981e+04 0.000000000000000000e+00
6.667742665926425616e+01 6.005365821375480140e-01 4.452008568575936742e+00 1.342919511777988406e+00 1.978260078759671524e+04 0.000000000000000000e+00
6.199073977213618036e+01 6.361792587313687131e-01 4.450973344770472906e+00 8.144296308166280030e-01 1.978285578753875234e+04 0.000000000000000000e+00
5.901887702390078516e+01 5.229530770143678842e-01 6.327708219233572962e+00 1.041972646248622292e+00 1.978299101294313004e+04 0.000000000000000000e+00
6.771361479257902261e+01 6.666305443783829832e-01 4.802301224071797492e+00 8.926477051517643924e-01 1.978349224147895438e+04 0.000000000000000000e+00
6.781611713971483368e+01 6.785161075506505046e-01 5.831741994737633661e+00 1.015629467447668466e+00 1.978351853519337237e+04 0.000000000000000000e+00
7.105924574704059182e+01 6.902599376838780554e-01 5.428889414661123958e+00 1.293989656272181321e+00 1.978353709138482736e+04 0.000000000000000000e+00
6.064580109282302089e+01 5.824010562806454239e-01 4.679357328879263811e+00 9.647247604382067632e-01 1.978374453834234373e+04 0.000000000000000000e+00
5.436355096349368665e+01 3.812751376563311423e-01 5.936222541383601836e+00 8.558253856796276260e-01 1.978376682723605700e+04 0.000000000000000000e+00
5.763731652870101385e+01 5.034698691972555595e-01 4.924681876613917098e+00 8.452385921446439188e-01 1.978382334630599507e+04 0.000000000000000000e+00
6.423424248843967632e+01 5.963298837081477677e-01 5.809551123345870316e+00 9.711651483813962260e-01 1.978388545670952954e+04 0.000000000000000000e+00
5.404715543472030959e+01 3.260523350411284049e-01 5.451821124528591689e+00 9.134401067752406789e-01 1.978392863249537913e+04 0.000000000000000000e+00
6.506385990362151972e+01 5.729286249633142036e-01 4.427819904102973325e+00 1.171436305702849179e+00 1.978399263065036575e+04 0.000000000000000000e+00
6.560271376155553469e+01 6.666132002465828821e-01 5.928145366756813139e+00 9.951075375639266696e-01 1.978400785205649299e+04 0.000000000000000000e+00
6.162240467757602147e+01 5.223687992363829080e-01 4.604396150374204133e+00 1.184258331146410992e+00 1.978407063442239451e+04 0.000000000000000000e+00
5.511620926484450678e+01 3.436859152426463004e-01 6.111842253874871567e+00 9.700951487156085351e-01 1.978409591202572847e+04 0.000000000000000000e+00
5.639384407611816385e+01 4.430781805625711445e-01 5.158827028146497184e+00 1.018920851314882858e+00 1.978427818321741870e+04 0.000000000000000000e+00
6.374729461779150341e+01 5.143003318643515343e-01 5.318111265883844752e+00 1.172761714506448172e+00 1.978439039569285524e+04 0.000000000000000000e+00
6.056036883284758687e+01 5.413825135962827551e-01 5.780959137255042180e+00 8.783121688017914153e-01 1.978447374315333582e+04 0.000000000000000000e+00
6.758500969339735320e+01 6.820617780825865006e-01 4.460065867716873633e+00 8.807486968624430590e-01 1.978459603815979062e+04 0.000000000000000000e+00
5.494911214451792603e+01 3.678156629296391311e-01 6.245633818440423646e+00 1.010579037285853410e+00 1.978465006101412291e+04 0.000000000000000000e+00
6.889817459245378473e+01 7.585554995239285336e-01 4.739805481306865076e+00 7.424864820626042583e-01 1.978476928846283772e+04 0.000000000000000000e+00
6.585009919306210691e+01 6.442312260233982180e-01 4.278618495840366798e+00 1.012062750944006106e+00 1.978480089174251771e+04 0.000000000000000000e+00
7.266122473848520258e+01 7.469862431845810669e-01 5.044231542129884005e+00 1.028414632782957749e+00 1.978483354650586625e+04 0.000000000000000000e+00
6.233122772251363841e+01 6.010865373152406432e-01 5.104268399780400145e+00 1.097032238298632612e+00 1.978484041028374122e+04 0.000000000000000000e+00
5.904577305679040222e+01 5.508441869486497833e-01 5.489677722014180361e+00 8.327236724685365132e-01 1.978488843058875864e+04 0.000000000000000000e+00
7.098335154641196709e+01 6.976601732416850554e-01 5.152136514436834069e+00 1.278045966479079532e+00 1.978489096494340993e+04 0.000000000000000000e+00
6.190067268522152233e+01 5.620926345527438306e-01 4.892662768540013474e+00 1.154592671183749308e+00 1.978492252381970320e+04 0.000000000000000000e+00
7.614821376110100459e+01 8.107584643601133401e-01 4.529605794897165083e+00 9.453895115622760192e-01 1.978492934079065890e+04 0.000000000000000000e+00
6.853935626673542458e+01 7.239672773013692275e-01 4.200506910299966812e+00 8.713940131903434860e-01 1.978493349509541076e+04 0.000000000000000000e+00
6.364532652974046556e+01 6.229057341405257464e-01 5.309419090654261097e+00 8.332494256237443775e-01 1.978495919220920041e+04 0.000000000000000000e+00
5.525337703383195276e+01 3.117867071700446968e-01 5.376296560866697050e+00 1.128706387449114557e+00 1.978512359822572398e+04 0.000000000000000000e+00
5.541956860481859337e+01 4.051813453876612070e-01 5.800105251569540599e+00 1.007337889644375428e+00 1.978514055838675995e+04 0.000000000000000000e+00
5.555401749264761690e+01 2.898435365586748413e-01 6.029746733054905938e+00 1.201951979406877147e+00 1.978518156229853412e+04 0.000000000000000000e+00
5.475697595906417803e+01 3.032134942152323043e-01 5.525647815460962065e+00 1.157808840114367577e+00 1.978521783625645912e+04 0.000000000000000000e+00
