# Mf af A2220 phi2220 logL logPrior
8.655848527089723632e+01 9.249616282656011323e-01 9.756907290479885475e+00 3.129658982119447597e+00 1.851245922452265950e+04 0.000000000000000000e+00
8.462818681671137711e+01 8.660964764622306467e-01 9.604229202926303444e+00 3.654597551340357242e+00 1.860411070405465944e+04 0.000000000000000000e+00
8.935482606051942867e+01 9.076282244160360779e-01 8.592372277387861246e+00 3.931133402095472462e+00 1.861016376780326027e+04 0.000000000000000000e+00
9.478846622303406377e+01 8.609157817073727070e-01 9.898145462248955084e+00 5.267988546011368456e+00 1.865763837001832508e+04 0.000000000000000000e+00
8.473951246812549698e+01 9.549347438289160772e-01 9.791573513493478487e+00 4.344194097879310767e+00 1.870013653084389807e+04 0.000000000000000000e+00
7.335989151969644695e+01 7.534383691654101822e-01 9.815958911670074727e+00 3.996774245800375880e+00 1.875183147834756164e+04 0.000000000000000000e+00
8.981368600167215277e+01 9.245783693700344585e-01 7.725892171176599099e+00 3.598248599550484705e+00 1.875714251445720220e+04 0.000000000000000000e+00
7.911524175635491929e+01 8.050184817126335712e-01 9.135100840371503494e+00 3.983328455001029056e+00 1.876737582655833830e+04 0.000000000000000000e+00
7.555551025985018043e+01 8.515214953636630613e-01 9.175187824368535416e+00 3.641101926510889708e+00 1.876961584753882926e+04 0.000000000000000000e+00
7.538475069828038500e+01 8.908395654669365449e-01 9.198935950133961370e+00 3.620978956874365995e+00 1.879694319428547533e+04 0.000000000000000000e+00
9.417337403184836830e+01 9.188359280281407360e-01 9.206677200300180886e+00 5.604866389983834907e+00 1.881720509097325703e+04 0.000000000000000000e+00
8.593408461371096507e+01 8.949975891478685330e-01 7.725221536725499938e+00 3.750132171115349689e+00 1.883459712383782608e+04 0.000000000000000000e+00
8.863054214564900235e+01 9.255193993415387066e-01 7.836389372909828843e+00 3.223375954515101061e+00 1.883699784503666888e+04 0.000000000000000000e+00
9.778336697475228334e+01 8.010452364373953360e-01 9.552766655951000274e+00 5.211921865889043382e+00 1.884174828766521023e+04 0.000000000000000000e+00
9.963544664279169183e+01 7.875559904108850873e-01 9.507284595908503277e+00 4.882207086002107843e+00 1.884480038593322024e+04 0.000000000000000000e+00
6.639513698490564764e+01 6.995233461150226484e-01 9.847026379780221106e+00 3.843533247351524018e+00 1.885349645526340464e+04 0.000000000000000000e+00
7.381016090904748239e+01 6.810499542159835773e-01 9.510169684877137541e+00 4.300930939967778421e+00 1.885797493900244808e+04 0.000000000000000000e+00
7.055907493942024189e+01 8.495143479092703842e-01 9.935808506667855866e+00 3.102200941825909108e+00 1.886198374120715380e+04 0.000000000000000000e+00
8.115001385013039226e+01 9.114000784337815686e-01 7.994339243895312030e+00 3.298459314007339938e+00 1.886464938106667614e+04 0.000000000000000000e+00
9.373808861038021689e+01 7.873474199182135536e-01 8.990841888598282594e+00 4.775425034712844408e+00 1.887723119783428047e+04 0.000000000000000000e+00
9.149005313375741366e+01 7.060836174961653278e-01 9.731857936246770535e+00 4.623341953732761134e+00 1.887728451714476614e+04 0.000000000000000000e+00
7.283598048640796208e+01 7.401783716447015715e-01 8.947698764789478787e+00 3.899673754690995420e+00 1.888791930324822533e+04 0.000000000000000000e+00
6.848870413742176311e+01 7.437724780638009792e-01 9.785575512689860034e+00 4.277970438017773880e+00 1.889049485237259432e+04 0.000000000000000000e+00
8.991434455376605683e+01 8.245181053099934765e-01 8.144321000335352778e+00 4.351737028541356800e+00 1.889350031201968886e+04 0.000000000000000000e+00
9.138359926586993254e+01 9.555781128470010044e-01 7.411397078747256728e+00 2.800894387395735485e+00 1.889514473116560475e+04 0.000000000000000000e+00
7.721682980867308288e+01 9.213707186053238241e-01 8.733639852545282523e+00 3.772431905754077164e+00 1.889584418698971058e+04 0.000000000000000000e+00
6.530289649554983100e+01 5.896286333446300043e-01 9.892898204234931825e+00 3.765387439519276125e+00 1.889681963148374416e+04 0.000000000000000000e+00
7.506713204178987553e+01 8.824093155143504230e-01 9.217480603347270929e+00 2.965427555452901487e+00 1.889688837998126837e+04 0.000000000000000000e+00
7.565429219068350619e+01 9.094269185314960424e-01 8.900306044101958136e+00 3.051015934793188222e+00 1.891264923587003796e+04 0.000000000000000000e+00
7.797617789733385507e+01 6.944044664103687925e-01 9.187391973846590787e+00 4.633718240895480456e+00 1.891846995784145111e+04 0.000000000000000000e+00
7.720557136861535241e+01 6.092626523781908832e-01 9.945339208031985123e+00 3.852061700424135537e+00 1.892237808438695720e+04 0.000000000000000000e+00
9.336244001189618302e+01 7.611661272900781539e-01 9.542666294347059264e+00 5.463501836184608607e+00 1.893623051975583076e+04 0.000000000000000000e+00
6.978639134682438794e+01 6.780752544244397217e-01 9.437984487138059819e+00 4.483215698777968328e+00 1.893643964672350921e+04 0.000000000000000000e+00
9.416991346323850109e+01 9.202153212022867734e-01 7.462965798672386519e+00 3.329146741177220203e+00 1.893801986374712578e+04 0.000000000000000000e+00
6.810575997662331815e+01 8.091931662263889269e-01 9.869008042567772421e+00 4.277018125447225039e+00 1.897162587786559743e+04 0.000000000000000000e+00
8.426330096911028988e+01 8.589787169857129312e-01 7.866125283722352535e+00 4.819741579843518586e+00 1.898062933661366333e+04 0.000000000000000000e+00
8.753489079089095526e+01 6.988450633010320212e-01 8.877242276267693910e+00 4.706898673093452778e+00 1.898096030233832789e+04 0.000000000000000000e+00
7.487026921357694675e+01 8.760744349135248799e-01 8.636712466704974389e+00 2.962883764420093602e+00 1.898155278999103393e+04 0.000000000000000000e+00
6.326437024492794592e+01 4.109664741291746415e-01 9.753058604395194564e+00 4.342119037890300959e+00 1.898446021331326483e+04 0.000000000000000000e+00
7.658018071631046553e+01 6.571785507290256456e-01 8.849740060612283798e+00 3.953191374244389600e+00 1.898463432390681919e+04 0.000000000000000000e+00
8.483513400773506419e+01 7.162163353731372251e-01 9.016060284963215210e+00 3.805543691891879909e+00 1.899398289359891351e+04 0.000000000000000000e+00
8.673677407825576324e+01 8.872031528686522561e-01 8.079186670506562251e+00 3.124737214345792768e+00 1.899814965078592286e+04 0.000000000000000000e+00
8.464533915546495280e+01 6.301146846879872587e-01 9.100251886416220515e+00 4.378899614000668628e+00 1.899917559981990780e+04 0.000000000000000000e+00
6.582864156321051041e+01 7.938688253332505385e-01 9.317194293171413122e+00 3.180874775339483929e+00 1.900734172309819041e+04 0.000000000000000000e+00
6.312191493045158097e+01 5.896092348732340227e-01 9.566314177179144451e+00 4.446563710532186242e+00 1.901973160121323599e+04 0.000000000000000000e+00
