# Mf af A2220 phi2220 logL logPrior
7.941230181347407324e+01 8.571964905931329648e-01 3.355084304406012574e+00 6.475865118669335008e-01 1.977483542925931761e+04 0.000000000000000000e+00
7.261863782013523405e+01 6.850525270812601875e-01 5.396934590670894316e+00 1.543113868447459236e+00 1.977611975633658949e+04 0.000000000000000000e+00
6.123168993469874266e+01 5.004898888366984266e-01 4.001305638916923257e+00 9.044442224897757399e-01 1.977712540038669613e+04 0.000000000000000000e+00
5.840538620433652284e+01 5.706500530602460763e-01 4.559213594304079464e+00 5.467415587969335355e-01 1.977779992015224343e+04 0.000000000000000000e+00
8.695832337248684496e+01 9.026255178956558156e-01 3.003641840867752322e+00 1.035023068789207690e+00 1.977783065705939953e+04 0.000000000000000000e+00
5.935204136188920643e+01 5.537325833057441526e-01 4.662796515994580560e+00 5.857371278939981218e-01 1.977786326066248512e+04 0.000000000000000000e+00
5.137489832755314723e+01 2.779261968819571327e-01 4.736832749296306488e+00 1.075080547264388287e+00 1.977786790398303128e+04 0.000000000000000000e+00
6.091144880307534493e+01 4.365450822619985072e-01 4.013216110512153101e+00 1.207335523279928546e+00 1.977792170183091730e+04 0.000000000000000000e+00
7.269848056229061228e+01 7.288887827503177652e-01 3.947807503188070832e+00 1.414490183646293531e+00 1.977805422396633730e+04 0.000000000000000000e+00
5.962232315417179507e+01 4.076305987752379401e-01 6.802507540406498521e+00 1.426806512586127562e+00 1.977837007540917693e+04 0.000000000000000000e+00
6.356837032259783626e+01 5.189599106540561113e-01 4.125957189185198715e+00 1.367017821303952330e+00 1.977854551505072232e+04 0.000000000000000000e+00
6.390406270796561472e+01 5.409157920930178776e-01 6.569178225324507459e+00 1.135285136612078638e+00 1.977863282421358963e+04 0.000000000000000000e+00
7.059105361321473993e+01 7.043084550203896343e-01 4.140182937732880042e+00 1.394572475310660309e+00 1.977867959782672187e+04 0.000000000000000000e+00
5.975878206576418705e+01 3.250822155079446940e-01 6.593020961260261714e+00 1.485757982509836150e+00 1.977869015013854732e+04 0.000000000000000000e+00
6.670789935582062924e+01 7.740506668126007073e-01 5.270680790595034360e+00 6.596475244221188250e-01 1.977881081708619240e+04 0.000000000000000000e+00
6.411892865807459430e+01 5.679924828319502517e-01 6.554331360099435955e+00 1.087684395396802062e+00 1.977911250057085635e+04 0.000000000000000000e+00
5.316608911531437798e+01 4.544350235579625585e-01 5.787403156946647975e+00 6.125928694517173145e-01 1.977911595148133711e+04 0.000000000000000000e+00
5.993667322260894537e+01 4.449924659777597657e-01 4.752467109371444565e+00 1.404470073764353177e+00 1.977920746390664863e+04 0.000000000000000000e+00
7.036583704739787493e+01 7.619915574793674207e-01 4.459749681555359224e+00 1.192364634736438500e+00 1.977921148342543165e+04 0.000000000000000000e+00
5.705923567116591499e+01 5.791008695988280053e-01 5.320116878315862330e+00 5.690649811920425183e-01 1.977927794884927062e+04 0.000000000000000000e+00
6.604420419984040791e+01 7.358784132048328264e-01 3.894948137960226653e+00 6.671437027217248517e-01 1.977937546860631119e+04 0.000000000000000000e+00
5.820640520446811195e+01 4.503277684039521112e-01 5.089565268590597213e+00 7.643260503180081544e-01 1.977944201902364148e+04 0.000000000000000000e+00
7.106847035552550551e+01 7.377296967964181995e-01 3.933510229281418802e+00 7.826138318650947001e-01 1.977951410060714625e+04 0.000000000000000000e+00
5.329041862338498703e+01 2.771564642211038487e-01 5.093848095025131251e+00 8.159755020533242531e-01 1.977951879473203735e+04 0.000000000000000000e+00
5.688052495468746628e+01 4.085213932358096045e-01 7.127971545688823518e+00 1.117321056579586802e+00 1.977953783759450016e+04 0.000000000000000000e+00
