# Network	H1	L1	
2.992653195449842940e+01 2.432180748171883167e+01 1.743694341465331021e+01
3.010580217365983913e+01 2.453575451699740384e+01 1.744580393106557281e+01
3.015815621414187930e+01 2.456195020568253540e+01 1.749928536627013287e+01
3.025546958247769780e+01 2.469574696970629191e+01 1.747894508442874084e+01
3.034954460173994661e+01 2.478030297395570969e+01 1.752231269130773583e+01
3.007858295067858023e+01 2.448661316352868056e+01 1.746788275952629732e+01
3.054571933326663569e+01 2.506140470841303625e+01 1.746330334237574888e+01
3.013180346031552759e+01 2.454998670205711164e+01 1.747065347088945586e+01
3.001543110336393738e+01 2.438881195065880192e+01 1.749605543990386991e+01
2.997889809659688964e+01 2.434820899049650933e+01 1.748996998400070524e+01
3.006808265317761553e+01 2.445066085965847336e+01 1.750013651273285475e+01
3.014651464841217177e+01 2.453078418365588576e+01 1.752292706090588581e+01
2.992207077244409419e+01 2.426485465244735096e+01 1.750848788464490013e+01
3.006023649353783256e+01 2.442710482721880183e+01 1.751954245428480306e+01
3.020575082655629728e+01 2.462482766969834103e+01 1.749300560891882128e+01
3.004353788823705784e+01 2.440731807788800722e+01 1.751847576379683247e+01
3.012883833729240735e+01 2.448676229259956827e+01 1.755406995486872290e+01
3.001096460942011390e+01 2.436892540854903544e+01 1.751609177928797578e+01
3.032228241891789366e+01 2.473769856746948648e+01 1.753530954039976919e+01
3.014015235263458692e+01 2.451564084915554531e+01 1.753317249088824070e+01
3.036517556728701450e+01 2.475575397495759944e+01 1.758398511042179635e+01
3.012667125778131094e+01 2.451882766146175996e+01 1.750552516155868332e+01
3.018972909756791978e+01 2.458371949800752887e+01 1.752314123174904736e+01
3.003434045741986935e+01 2.439957176985738840e+01 1.751349491562967131e+01
3.022515332392494258e+01 2.458229221395353292e+01 1.758609686549493034e+01
3.028658236201431464e+01 2.467171968122270442e+01 1.756653976007354956e+01
3.028358511213517090e+01 2.466875359313839411e+01 1.756553794806628233e+01
3.009299677928599337e+01 2.446163845866710673e+01 1.752759821183653699e+01
3.015486160213929523e+01 2.453955180113473489e+01 1.752501285715933221e+01
3.024510067121470058e+01 2.464830270576311477e+01 1.752790028317660997e+01
3.016683930057502039e+01 2.455893398059638955e+01 1.751847468027469290e+01
2.998479511130816988e+01 2.432805088404199978e+01 1.752808826000694964e+01
3.006104172267295382e+01 2.439711770581821781e+01 1.756265575306694160e+01
3.030152299449392927e+01 2.471668160896295774e+01 1.752906004402393947e+01
3.029041018706134025e+01 2.465992164197137981e+01 1.758969055760393019e+01
3.024124903858354330e+01 2.462731319235706806e+01 1.755074324178852763e+01
3.024671903821149499e+01 2.463504830745460694e+01 1.754931358959328591e+01
3.031873604483097751e+01 2.468465912101034121e+01 1.760378821264485794e+01
3.018761200964170399e+01 2.458473753140292217e+01 1.751806494327191999e+01
3.008139663666463193e+01 2.445619413881602000e+01 1.751527881185107560e+01
3.055416100880588459e+01 2.500114248758346136e+01 1.756415751658994040e+01
3.018446061738158548e+01 2.455316913943098811e+01 1.755686612048840445e+01
3.031787764445804001e+01 2.472091626469585179e+01 1.755135333523385555e+01
3.009459477287601104e+01 2.445093383615970595e+01 1.754526913681738165e+01
3.035280497194339233e+01 2.476809558702992931e+01 1.754520477670693879e+01
3.026405799016606224e+01 2.465510117063578122e+01 1.755104533347937945e+01
3.027870938863971162e+01 2.467873848156430228e+01 1.754309292001430620e+01
3.026002994352683118e+01 2.465561225409616242e+01 1.754338041994197894e+01
3.036863446657247678e+01 2.480129887517491838e+01 1.752568211136276943e+01
3.002821950725708078e+01 2.438832505111458815e+01 1.751866341868554500e+01
3.020522722076032096e+01 2.459510789558744648e+01 1.753386492083739867e+01
3.043116950390701447e+01 2.481699848317901669e+01 1.761171949757918398e+01
3.003836599543882002e+01 2.438549564623954424e+01 1.753998385869175536e+01
3.029037839680040278e+01 2.465772972237976290e+01 1.759270838613038279e+01
3.003007276834572892e+01 2.437090615737086452e+01 1.754605948755339995e+01
3.016492239714886736e+01 2.454764443348208403e+01 1.753099244176864957e+01
3.014115671218997861e+01 2.450077434032297319e+01 1.755566531560016230e+01
3.014539254357857345e+01 2.449115606497088038e+01 1.757634678218664348e+01
3.045891402650361002e+01 2.488387096354732364e+01 1.756526144250248933e+01
3.017346558076616603e+01 2.455007260345970010e+01 1.754229062347724977e+01
3.034068975937322321e+01 2.476388109069897325e+01 1.753019248041096034e+01
3.027226690768767270e+01 2.467162062758911389e+01 1.754198618568038626e+01
3.041518051941342904e+01 2.481263468508581838e+01 1.759023496184693514e+01
3.008526593015686146e+01 2.441529156244030929e+01 1.757887266036386720e+01
3.018620402021258542e+01 2.457611072190965018e+01 1.752774072532840677e+01
3.016379630058977313e+01 2.454512831469208223e+01 1.753257777050409771e+01
3.017948446532248852e+01 2.452840213594949503e+01 1.758291134169166980e+01
3.024224344894980732e+01 2.461969581739195689e+01 1.756313943133859112e+01
3.022739216725593181e+01 2.461958766250366892e+01 1.753770625142815831e+01
3.034765045796583749e+01 2.473728739106524799e+01 1.757971845197523209e+01
3.013880877353924603e+01 2.449525206969605051e+01 1.755933997421365689e+01
3.040111298866757039e+01 2.483780710511473089e+01 1.753028833644342299e+01
3.018843755618029334e+01 2.458123487285460840e+01 1.752440167905749746e+01
3.022329512184445477e+01 2.461589114516597121e+01 1.753583391662473190e+01
3.034495496534112746e+01 2.476475992597953280e+01 1.753633250304006452e+01
3.023040153868350544e+01 2.459137197213057391e+01 1.758242309007347970e+01
3.035865216680814527e+01 2.477090691312689685e+01 1.755135128947190282e+01
3.016344352396950868e+01 2.453029048960635095e+01 1.755272553534710056e+01
