# Mf af A2220 phi2220 logL logPrior
9.877180744072038010e+01 2.177524066401898550e-01 5.890078043600847302e+00 8.944470522752290265e-01 8.905442351737401623e+04 0.000000000000000000e+00
9.408124151484534536e+01 4.459560817683079215e-01 6.498330977177428913e+00 2.967389377398690353e+00 8.915281154786450497e+04 0.000000000000000000e+00
8.947343879360745689e+01 3.239251196200908511e-01 6.274764376138470823e+00 3.081933659602030584e+00 8.921027563787288091e+04 0.000000000000000000e+00
9.223819235607120959e+01 4.667870032035443262e-01 6.516029636207282039e+00 3.194255674398825295e+00 8.924900760499048920e+04 0.000000000000000000e+00
9.307609094111779768e+01 6.656090129437144398e-01 6.747754301918575948e+00 3.206499334191509121e+00 8.930882311552486499e+04 0.000000000000000000e+00
6.393103581567487481e+01 4.366243983304400333e-01 6.485745996820072357e+00 3.381477929951726580e+00 8.936824030371791741e+04 0.000000000000000000e+00
7.166860986840930536e+01 2.238099686617960327e-01 6.699071786154247476e+00 3.924661107656734149e+00 8.937302662295511982e+04 0.000000000000000000e+00
7.623328985989446949e+01 5.578926944639278629e-01 6.459365301408474203e+00 3.950242341191867013e+00 8.943876535503975174e+04 0.000000000000000000e+00
8.679326827603198069e+01 3.464914111980054168e-01 5.711464674955800902e+00 2.724875292761660184e+00 8.945267623885338253e+04 0.000000000000000000e+00
7.771551343718520855e+01 5.369862432058700730e-01 6.119635488905529996e+00 3.795097841421208429e+00 8.955241279128602764e+04 0.000000000000000000e+00
5.687972310679771226e+01 4.599492317226648863e-01 6.028276487614146362e+00 4.358038275157349872e+00 8.958103332861735544e+04 0.000000000000000000e+00
8.009281120784287111e+01 2.674302293357755933e-01 6.558570174842961009e+00 4.105912245372403291e+00 8.959948362624309084e+04 0.000000000000000000e+00
8.288249119355667460e+01 2.094246105109355827e-01 5.192835456626782253e+00 2.870192122776932031e+00 8.964124269663578889e+04 0.000000000000000000e+00
5.197334757929264981e+01 2.077910404082742857e-01 5.934258989944421359e+00 4.530902050390259284e+00 8.964302839342913649e+04 0.000000000000000000e+00
9.230078425624661520e+01 6.980051177612417446e-01 6.029322661392170879e+00 3.159112414937106372e+00 8.969942485119111370e+04 0.000000000000000000e+00
9.165712874587424608e+01 3.404349509115521255e-01 4.964458938664075838e+00 2.429931405445687531e+00 8.971666532255186758e+04 0.000000000000000000e+00
6.108739478652216803e+01 6.639602461505733633e-01 6.039520463268424066e+00 4.204834592962507500e+00 8.974389348840191087e+04 0.000000000000000000e+00
9.921129266690036275e+01 8.499016354567009435e-01 6.852147708548857352e+00 4.596094355985101743e+00 8.974652918283015606e+04 0.000000000000000000e+00
6.702591135956417645e+01 2.116869413110076537e-01 5.075130595829539182e+00 3.535181335464798291e+00 8.982944293957985064e+04 0.000000000000000000e+00
7.097293130075863132e+01 3.382064314698826069e-01 6.407357708214475700e+00 2.513496320026185060e+00 8.983443458925223968e+04 0.000000000000000000e+00
9.896954642595221685e+01 5.524498432944319193e-01 5.788418805109878384e+00 3.666438942428986714e+00 8.983737836030166363e+04 0.000000000000000000e+00
8.160443218413283262e+01 4.228526705687854492e-01 5.258205533655948116e+00 2.935973367066461837e+00 8.985386031717098376e+04 0.000000000000000000e+00
5.850385733331710014e+01 6.863364210214284444e-01 6.420893963815590411e+00 4.734902128846925073e+00 8.989741863900086901e+04 0.000000000000000000e+00
7.614706708648108702e+01 5.574305838558405446e-01 5.375337398158581692e+00 4.056206705693779391e+00 8.992644627695939562e+04 0.000000000000000000e+00
6.777135410732923049e+01 3.160121091603543264e-01 6.427511492940144677e+00 4.720495355422212214e+00 8.994650317207573971e+04 0.000000000000000000e+00
8.955455247814839481e+01 4.593795518079189510e-01 5.204992053576322775e+00 2.316264333525821062e+00 8.996855051472075866e+04 0.000000000000000000e+00
7.301851876342858816e+01 4.827879907244334579e-01 6.256764777370124264e+00 4.661825013165937115e+00 8.997327705819382390e+04 0.000000000000000000e+00
5.893251602398068911e+01 5.682192585864265233e-01 5.613562014351901830e+00 4.675071427651644740e+00 8.999064165477118513e+04 0.000000000000000000e+00
9.200724045591917388e+01 6.139739228775887847e-01 5.336066468143540575e+00 3.567300795888538101e+00 9.000919349232743843e+04 0.000000000000000000e+00
7.412036907021405341e+01 5.139419860567785436e-01 6.499777115763250457e+00 4.796280823432386597e+00 9.001104382051191351e+04 0.000000000000000000e+00
7.828088644161232423e+01 5.240386381794605031e-01 5.392399970368289885e+00 4.102928028132831528e+00 9.001671465605161211e+04 0.000000000000000000e+00
6.129977277910220579e+01 4.195718755724570093e-01 6.254960780715774327e+00 2.941464514915793860e+00 9.001965537383071205e+04 0.000000000000000000e+00
8.775290048873593207e+01 6.224414550053175565e-01 6.027533810284634974e+00 2.430367317748126865e+00 9.005589967830049864e+04 0.000000000000000000e+00
8.160756584016166926e+01 4.406011305529183852e-01 4.774602015821981738e+00 2.994665428709728516e+00 9.007422028172797582e+04 0.000000000000000000e+00
7.931111693759343950e+01 8.992346925531486956e-01 5.329803786540760591e+00 3.840694802483525017e+00 9.010700756950095820e+04 0.000000000000000000e+00
5.112280970024747262e+01 5.063096367752732974e-01 5.220830689143088676e+00 4.628545907800602599e+00 9.012326660543530306e+04 0.000000000000000000e+00
8.922906711141610003e+01 8.510938605361478837e-01 5.895221218933105689e+00 4.828724202529319776e+00 9.012829678117854928e+04 0.000000000000000000e+00
8.394940630423432992e+01 4.309350335348148819e-01 5.364789277851513383e+00 4.125638683893684266e+00 9.014889630738309643e+04 0.000000000000000000e+00
5.043673366006193248e+01 8.901127163673514531e-01 6.884741875589925009e+00 3.700775349625162747e-01 9.017699230448938033e+04 0.000000000000000000e+00
8.890699843944209135e+01 7.162181364035256070e-01 5.266741350144420686e+00 2.890931310321037895e+00 9.018557036275474820e+04 0.000000000000000000e+00
5.480183289735922614e+01 2.350411326497013897e-01 5.096395678682526409e+00 4.802691342156082399e+00 9.021435132164544484e+04 0.000000000000000000e+00
5.262236383341920032e+01 6.029245615568535888e-01 6.124180420478487541e+00 5.218366524338162726e+00 9.022739136073774716e+04 0.000000000000000000e+00
8.749715863151914164e+01 2.941920429301702611e-01 4.352420938359299996e+00 3.453516393803019113e+00 9.025240265365353844e+04 0.000000000000000000e+00
8.771066477101986436e+01 8.609798393407319672e-01 5.762444408125626971e+00 4.986839700625909089e+00 9.025509342542708328e+04 0.000000000000000000e+00
8.567524320829966200e+01 5.767503601506664968e-01 4.667551742517161983e+00 3.914261258332910831e+00 9.028091404188462184e+04 0.000000000000000000e+00
8.736707891789720293e+01 3.320195770555969816e-01 4.292509764377014037e+00 2.051276062698109470e+00 9.031491421134247503e+04 0.000000000000000000e+00
7.494926008965035180e+01 5.269448195292465442e-01 4.662174127905915455e+00 4.404602875309461041e+00 9.033032254523634037e+04 0.000000000000000000e+00
6.583199165843424794e+01 2.274507705693716852e-01 3.861993921571301502e+00 3.665917673426856371e+00 9.033036413179001829e+04 0.000000000000000000e+00
8.035436620076927738e+01 6.808071170138296768e-01 4.295271499890262135e+00 4.113867084456063417e+00 9.033459042337200663e+04 0.000000000000000000e+00
