# Network	H1	L1	
3.034662175767606840e+01 2.483381779622722973e+01 1.744130000221446153e+01
2.941986029959020854e+01 2.414655138373786869e+01 1.680691037400719878e+01
2.781143142464535956e+01 2.260888573539633484e+01 1.619611075818955825e+01
3.158506073151768589e+01 2.593973497160504849e+01 1.802071616269871157e+01
3.288165477650835555e+01 2.690143158597145145e+01 1.890809877980259301e+01
3.046851331929138595e+01 2.505974481663924891e+01 1.733030564106585203e+01
3.010421543584702775e+01 2.452852138967374529e+01 1.745323538614568903e+01
3.009885079249314188e+01 2.463949077030065382e+01 1.728688270362918544e+01
2.862021153121223804e+01 2.330778188236089932e+01 1.660914843740109248e+01
3.084191753618588550e+01 2.510281944511583774e+01 1.791849137664230440e+01
2.935022309414082287e+01 2.407677479200480875e+01 1.678524683437568754e+01
2.834439769694555977e+01 2.317246204823559097e+01 1.632304761451408481e+01
2.982644180176723481e+01 2.404799315868859821e+01 1.764399772143133660e+01
3.162423085296585867e+01 2.555051197212782554e+01 1.863500241491345477e+01
2.979929169176257631e+01 2.436004258244884468e+01 1.716351102519612581e+01
2.937728284230155040e+01 2.407795305085470972e+01 1.683083254261123685e+01
2.772383629029075891e+01 2.264322886950489178e+01 1.599672732198880354e+01
3.119508546221582890e+01 2.536310787779120446e+01 1.816166610678863691e+01
3.205042438555398121e+01 2.614527971560529807e+01 1.853790850896809062e+01
3.205148369225968707e+01 2.605356676244885605e+01 1.866840287303145374e+01
2.754689818199633677e+01 2.246798436288898770e+01 1.593804499047010026e+01
2.902471665582138627e+01 2.379363212481099410e+01 1.662219140967512843e+01
3.063277993753657213e+01 2.473224124151121472e+01 1.807438656976316338e+01
3.090689788524149861e+01 2.503135689463751845e+01 1.812918941657426330e+01
3.308051892318992060e+01 2.695494774888539169e+01 1.917684864836725467e+01
3.252329790513555707e+01 2.662880647788061594e+01 1.867274945447986667e+01
3.260860992162677974e+01 2.663200888368275443e+01 1.881641687038898780e+01
3.124893498504312461e+01 2.555622367008576035e+01 1.798264078004118716e+01
3.095387943119641605e+01 2.540894516353897359e+01 1.767846592658180782e+01
2.963291752257728362e+01 2.400454693925484051e+01 1.737502596087208673e+01
3.026151809804974846e+01 2.484462095689278627e+01 1.727727661140251314e+01
2.923661996530890406e+01 2.360045013281325410e+01 1.725684503391318358e+01
3.218290091489211591e+01 2.627403094131638284e+01 1.858532779889860720e+01
3.116718986870777641e+01 2.533094773751057005e+01 1.815865664171192861e+01
3.300159765848071913e+01 2.690737007990853158e+01 1.910756089601923335e+01
2.874448567163774015e+01 2.355046500700577639e+01 1.648093002475235380e+01
2.860286538082413088e+01 2.339862636177888078e+01 1.645078090472954102e+01
3.320372635833937380e+01 2.704043103017024308e+01 1.926921206957064925e+01
3.052454155593772711e+01 2.485487573645544401e+01 1.771955951273980645e+01
2.968138697328130604e+01 2.392585150260735460e+01 1.756526010433248786e+01
2.849724158571248722e+01 2.323560526245224267e+01 1.649846738585020489e+01
2.845305293181324657e+01 2.302673620922217523e+01 1.671363636948772324e+01
3.200650611236120113e+01 2.599973287124222665e+01 1.866628844051921732e+01
3.171425342819438953e+01 2.581139127784012999e+01 1.842731534461756482e+01
2.859250736872519028e+01 2.328443327269163277e+01 1.659417502620046037e+01
3.173688152253496142e+01 2.602190713038682190e+01 1.816837907114843986e+01
3.142030042590532801e+01 2.578952640276835950e+01 1.794813658224887476e+01
2.881896834565449694e+01 2.363474224440279770e+01 1.649035765374656037e+01
2.964972650827991529e+01 2.433374415719286432e+01 1.694034171166800462e+01
3.010635581638629432e+01 2.440905742641352916e+01 1.762358011576829142e+01
3.116996118834491725e+01 2.547508764691759708e+01 1.796069012774272267e+01
2.751398066032751899e+01 2.240415009430644844e+01 1.597101093633916058e+01
3.116036835649748227e+01 2.536143199031273809e+01 1.810431781408378171e+01
2.773551938424330743e+01 2.254674078728905329e+01 1.615250802149723697e+01
3.137778583909288699e+01 2.541409756986096369e+01 1.840350751551359210e+01
2.957917511208038164e+01 2.407158882102730146e+01 1.718971238684664016e+01
3.170671293798076462e+01 2.595889548100706889e+01 1.820580651159590246e+01
2.787105054415927086e+01 2.260395468042589684e+01 1.630511242648553605e+01
3.241663584686410360e+01 2.641441356941253815e+01 1.879140855317210068e+01
3.108949998688186511e+01 2.536009787365381385e+01 1.798394965720897787e+01
2.977335532004907037e+01 2.435350949162439349e+01 1.712773372210272527e+01
2.919472107654758375e+01 2.383836818468309815e+01 1.685419654059191430e+01
2.807262351538071599e+01 2.282580479417874031e+01 1.634181221695908448e+01
3.222777810409341726e+01 2.627032288446926245e+01 1.866814980313833772e+01
3.024776923097217463e+01 2.481064573320971434e+01 1.730200571469416815e+01
2.991969169096047665e+01 2.452522438541621241e+01 1.713771629264282481e+01
3.248710840785684439e+01 2.625652032434699024e+01 1.913131864668497073e+01
2.844886560165553036e+01 2.309939238618197521e+01 1.660590333014911124e+01
2.965075987018893855e+01 2.398468220417713681e+01 1.743280185295052576e+01
3.247756441166788477e+01 2.656124550044848931e+01 1.868936669817736274e+01
2.884955263915882639e+01 2.331209313290710838e+01 1.699538176218060670e+01
3.084659970598276857e+01 2.525374469985683490e+01 1.771330268627476912e+01
3.032746673641740287e+01 2.486521922527472483e+01 1.736306745732251855e+01
3.005246026556593364e+01 2.461752327581355004e+01 1.723739875323992621e+01
3.046282583226318152e+01 2.497373960768484480e+01 1.744408460465479038e+01
