# Mf af A2220 phi2220 logL logPrior
6.372710687952341146e+01 5.681177227094941218e-01 5.015550339445234762e+00 1.194173130437359509e+00 9.184990196565212682e+04 0.000000000000000000e+00
6.687768631580843248e+01 6.112377913531921170e-01 4.816996470358637872e+00 1.134519181156414369e+00 9.184995722578241839e+04 0.000000000000000000e+00
7.594008576771429375e+01 7.996806720849112260e-01 4.612379486372990556e+00 1.019565839589971157e+00 9.184997049501667789e+04 0.000000000000000000e+00
6.511614534913618968e+01 5.895520859138566605e-01 5.165914156873103735e+00 1.157172314285144887e+00 9.185105491091732983e+04 0.000000000000000000e+00
6.410229768902713943e+01 6.170234244586522143e-01 5.425081273158999906e+00 1.163342746984615816e+00 9.185118271843882394e+04 0.000000000000000000e+00
6.077507560080074001e+01 4.436246496614832946e-01 4.815005847647045201e+00 1.070222152590951881e+00 9.185139630143639806e+04 0.000000000000000000e+00
6.131000034623978223e+01 5.998237316272014841e-01 4.956597041428445927e+00 1.119242876490935901e+00 9.185163604214243242e+04 0.000000000000000000e+00
6.154076021000051355e+01 5.462018881679880922e-01 4.938926750176845459e+00 1.191649709767742982e+00 9.185178058928821702e+04 0.000000000000000000e+00
7.331448971889500399e+01 7.456743413717387137e-01 4.710183735957707007e+00 1.003440436229914967e+00 9.185205313436759752e+04 0.000000000000000000e+00
6.812969042169807210e+01 6.628562029963702695e-01 4.997108962576092495e+00 9.337065117099937472e-01 9.185213352576283796e+04 0.000000000000000000e+00
5.739878848007769818e+01 4.024478062772276488e-01 4.660803471621023597e+00 1.137520729358416416e+00 9.185244865298947843e+04 0.000000000000000000e+00
6.181149802770895008e+01 5.234497399042689070e-01 4.495414859345953751e+00 9.818335781925302541e-01 9.185254448676171887e+04 0.000000000000000000e+00
7.549358207881975602e+01 8.071263192013733434e-01 5.009009665347769591e+00 9.757974181360083987e-01 9.185270142439151823e+04 0.000000000000000000e+00
7.367603536634283046e+01 7.971188046597582622e-01 5.359185004345073722e+00 1.064380948950409467e+00 9.185279089675362047e+04 0.000000000000000000e+00
6.588850804377284476e+01 6.098473325395453726e-01 4.763532573097386091e+00 9.480104388491555900e-01 9.185280779072693258e+04 0.000000000000000000e+00
5.847303482704245425e+01 4.165744912004820666e-01 4.616199361141784863e+00 1.048153920224364155e+00 9.185283033416405669e+04 0.000000000000000000e+00
5.933019538981670138e+01 4.846628938374747397e-01 4.450747372936771029e+00 1.092412981012240714e+00 9.185294587071279238e+04 0.000000000000000000e+00
6.522259021766905107e+01 6.146899693022329636e-01 5.040907836829725319e+00 9.439593063023089536e-01 9.185308332480600802e+04 0.000000000000000000e+00
5.964689442564382915e+01 5.175595042095204601e-01 5.137781538493001676e+00 1.042254333437449221e+00 9.185312877693258633e+04 0.000000000000000000e+00
6.617962389610245566e+01 6.792115505188470737e-01 5.374738705801551220e+00 1.135860920110530747e+00 9.185313168936620059e+04 0.000000000000000000e+00
6.231204484739234317e+01 5.824942651393361093e-01 4.486162288069526660e+00 1.075582093685392149e+00 9.185316673668750445e+04 0.000000000000000000e+00
6.158140797918411380e+01 4.942707560282209034e-01 4.576989408794401193e+00 9.984297834924901194e-01 9.185317664801390492e+04 0.000000000000000000e+00
7.079969373103681107e+01 7.681118410393789064e-01 5.151182165980126015e+00 9.708023806640537767e-01 9.185325346001487924e+04 0.000000000000000000e+00
6.721914421544535401e+01 6.746692730663012005e-01 5.065790148631251988e+00 9.252552819760360148e-01 9.185333165951156116e+04 0.000000000000000000e+00
6.346587358857929928e+01 6.066642068663629095e-01 5.439521047234141093e+00 1.101721578092970555e+00 9.185338857506273780e+04 0.000000000000000000e+00
6.083263697101071443e+01 5.120085348305181139e-01 5.235763252699873860e+00 1.106182403409463832e+00 9.185352325774532801e+04 0.000000000000000000e+00
