# Network	H1	L1	
3.002185189487723704e+01 2.436723640125892842e+01 1.753708588571960547e+01
2.987592112480856699e+01 2.421618080891648006e+01 1.749706404187994124e+01
3.007651768756001331e+01 2.446628071976638097e+01 1.749279920286339518e+01
3.015564526891613539e+01 2.454755789733314941e+01 1.751514609878492834e+01
3.053881284042365252e+01 2.494848654918913411e+01 1.761227153456797723e+01
3.005217427175587730e+01 2.441451787368887238e+01 1.752325584631213573e+01
3.023185726783191996e+01 2.462990188136060254e+01 1.753091917661795307e+01
3.020456647360420632e+01 2.460463926862243866e+01 1.751934822758363808e+01
3.015928440665618737e+01 2.452672200561223548e+01 1.755056533508227901e+01
3.029441046677959193e+01 2.467987418468694472e+01 1.756858320291502196e+01
3.022902491625784194e+01 2.458487085975214370e+01 1.758914643173588743e+01
3.017338746381922121e+01 2.456278051756909520e+01 1.752435802782775198e+01
3.020709376393872958e+01 2.459283623708152433e+01 1.754026566159920009e+01
3.015223712237988707e+01 2.452778374332264022e+01 1.753696747231462894e+01
3.026636288491773641e+01 2.464806311455285126e+01 1.756489985688916633e+01
3.044644596144686943e+01 2.488245135811363795e+01 1.754564578732892244e+01
3.013987076371664031e+01 2.451188088186822966e+01 1.753794472812147376e+01
3.026516517763002412e+01 2.466513766879881686e+01 1.753884850862310074e+01
3.027148693378370226e+01 2.466150973168606342e+01 1.755485285999831291e+01
3.028340637390745016e+01 2.467903749231021848e+01 1.755077804715121204e+01
3.002992298596563359e+01 2.435919349737829620e+01 1.756206043436560549e+01
3.024774924692934874e+01 2.460985470257979912e+01 1.758639775573798048e+01
3.066718008153572228e+01 2.511647793396787520e+01 1.759654711430188812e+01
3.039877263798889118e+01 2.482315283479892187e+01 1.754697869253725173e+01
3.032664037943114366e+01 2.471939948206130921e+01 1.756861992159915076e+01
3.016032594335040429e+01 2.452954638383132036e+01 1.754840776858696572e+01
3.029006642834651686e+01 2.467773238523849955e+01 1.756410113146117169e+01
3.029454251019652844e+01 2.469100941696618534e+01 1.755315811680028304e+01
3.029166200301396117e+01 2.466011325667370713e+01 1.759157756066423772e+01
3.027940811792823794e+01 2.467308743296510087e+01 1.755224522667451481e+01
3.030740452956055719e+01 2.470727829725862179e+01 1.755246901322548325e+01
3.005224749192785794e+01 2.440085429124548000e+01 1.754240260550108133e+01
3.020851949915611101e+01 2.458080180857475128e+01 1.755957951599249256e+01
3.030296875044955840e+01 2.468912978935559011e+01 1.757033822483439778e+01
3.019885706734820374e+01 2.454583021778352858e+01 1.759185001908189250e+01
3.017073588090874736e+01 2.450408738118023777e+01 1.760178982975986628e+01
3.027594983270094886e+01 2.466957489834268813e+01 1.755121684121317216e+01
3.012655676205075039e+01 2.445563594183451528e+01 1.759350144279181549e+01
3.026862622988684492e+01 2.465200522495302593e+01 1.756326769805330557e+01
3.024541233744261604e+01 2.462438998148197555e+01 1.756201541685395995e+01
3.024894869179804147e+01 2.462757408366059408e+01 1.756364118606501989e+01
3.048090601556676305e+01 2.487916607145169579e+01 1.761001780575309184e+01
3.007631032034106866e+01 2.441198061019910526e+01 1.756814290620149066e+01
3.023748221008060355e+01 2.460299765635287628e+01 1.757833429897258526e+01
3.016538870309579679e+01 2.452043993933112631e+01 1.756982358450176207e+01
3.020028097185778293e+01 2.455285174807812965e+01 1.758449435770195990e+01
3.015651536777674124e+01 2.451192142357395198e+01 1.756647737172968249e+01
3.023967007822342978e+01 2.461075382431625869e+01 1.757123907522472095e+01
3.041059366150820509e+01 2.479448616159003649e+01 1.760788638162125608e+01
3.030941915256393671e+01 2.469812562852504101e+01 1.756882124114774868e+01
3.035269614986388120e+01 2.473419145613857495e+01 1.759278080853175297e+01
3.022552556911640309e+01 2.459032869177187308e+01 1.757549802309824827e+01
3.008416890708631186e+01 2.441457150144608335e+01 1.757799525631053683e+01
3.022786573031409318e+01 2.459256446579938071e+01 1.757639438580617508e+01
3.015838811666652575e+01 2.448885032910476767e+01 1.760183465875639897e+01
3.044245351729499305e+01 2.483194393690586210e+01 1.761015435670654483e+01
3.026951279049921339e+01 2.464068177816346505e+01 1.758067706550229659e+01
3.032459424963323968e+01 2.469515639984486555e+01 1.759915528632242498e+01
3.029156422448878772e+01 2.467088675699112699e+01 1.757629681673727262e+01
3.037510554069741175e+01 2.476801210859647284e+01 1.758387365732946961e+01
3.030431549302009842e+01 2.465812191912389295e+01 1.761614489387844884e+01
3.037016728548533706e+01 2.476436743806730334e+01 1.758047685191603904e+01
3.006430319564467624e+01 2.437609044238681832e+01 1.759740155205389556e+01
3.008985400723461012e+01 2.439452769416030264e+01 1.761551397931774332e+01
3.031642303464226273e+01 2.468275057058522393e+01 1.760248078782257508e+01
3.010312363637752853e+01 2.443223452593989009e+01 1.758590255677831848e+01
3.040711814194654394e+01 2.480065040535980359e+01 1.759319678652578745e+01
3.022292807444497242e+01 2.456209268419809177e+01 1.761047939057698031e+01
3.042654066096227794e+01 2.483384785727819377e+01 1.757994246847099262e+01
3.021149182278003309e+01 2.456643514646303572e+01 1.758478041809252801e+01
3.025173874197234269e+01 2.460974787803748143e+01 1.759340803516987961e+01
3.014778230423216598e+01 2.449075077995909666e+01 1.758100975761366769e+01
3.019727299710488921e+01 2.455164814423620356e+01 1.758100878400620104e+01
3.019156398759347937e+01 2.454349008427454137e+01 1.758259453266407490e+01
3.054088979314877506e+01 2.496680244251798442e+01 1.758990406891228631e+01
3.033123919205113594e+01 2.470913098049777545e+01 1.759098965703816830e+01
3.000352741128381950e+01 2.430990935664843633e+01 1.758522004955286988e+01
3.026191300155418773e+01 2.462022952323274083e+01 1.759624041484354606e+01
3.031705953491211858e+01 2.469365742174929679e+01 1.758827399094895938e+01
3.036208138941792711e+01 2.474750477737000054e+01 1.759025280067593400e+01
3.031205347933724070e+01 2.468427807315543276e+01 1.759281109264062337e+01
3.030630954612938766e+01 2.467695339401585386e+01 1.759319099809305698e+01
3.046850263077968535e+01 2.486998128511071826e+01 1.760152503165765836e+01
3.026510264964999664e+01 2.462620500219818354e+01 1.759336424858987158e+01
3.005610884167597163e+01 2.436736809583691965e+01 1.759548381786250815e+01
3.030715966401018235e+01 2.467402007043224543e+01 1.759876872010404014e+01
3.029046210666686179e+01 2.465488882960134376e+01 1.759683356275838406e+01
3.016643373830893182e+01 2.450474580344879882e+01 1.759349759417216674e+01
3.009433713945382394e+01 2.441359930975618653e+01 1.759674107912547569e+01
3.025801245381878601e+01 2.460816784713397709e+01 1.760640204194866953e+01
3.043949698145088689e+01 2.483273618340645328e+01 1.760392541818708878e+01
3.019365353524133866e+01 2.453694741704855531e+01 1.759530975172605594e+01
3.027457376464631622e+01 2.463161825183129494e+01 1.760207939213610118e+01
3.037723769606438395e+01 2.475714866878197640e+01 1.760284521987913919e+01
3.042578354067347490e+01 2.481890864047775480e+01 1.759971812159318816e+01
3.012162063054565309e+01 2.443775757511339819e+01 1.760988455698961630e+01
3.015976627142006095e+01 2.449266735055656952e+01 1.759888483971831974e+01
3.027068566879258071e+01 2.462762105994851325e+01 1.760098553452121095e+01
3.035227958810822813e+01 2.473015000520948803e+01 1.759774294943896322e+01
3.043841204210977835e+01 2.482931965796185025e+01 1.760686834641535015e+01
3.024661542092276534e+01 2.459627651088259270e+01 1.760343506879859277e+01
3.032608403003608188e+01 2.468744534259658252e+01 1.761253573603516998e+01
3.036193317219731824e+01 2.473370509922527560e+01 1.760939573118661983e+01
3.039873544016676732e+01 2.477789642862994768e+01 1.761076275841958605e+01
3.036634387642883226e+01 2.474271344574334108e+01 1.760434525233354108e+01
3.025853409080170664e+01 2.460849080623287577e+01 1.760684712161041787e+01
3.062061213137356575e+01 2.505137519415391623e+01 1.760825057130184845e+01
3.027838261953194277e+01 2.463364729422836774e+01 1.760579095179564746e+01
