# Mf af A2220 phi2220 logL logPrior
9.317977216920829164e+01 2.586587605081963614e-01 6.962145333515895373e+00 1.092887885422278771e+00 8.909733590638317401e+04 0.000000000000000000e+00
8.950162879663069759e+01 5.840258080095376281e-01 6.874719984232296355e+00 3.820387189026118513e+00 8.941127435325481929e+04 0.000000000000000000e+00
9.193682866848843105e+01 9.390960800488309390e-01 6.953628876577446327e+00 4.496453895279081792e+00 8.942339116412894509e+04 0.000000000000000000e+00
8.141946002358031365e+01 2.596880547967667097e-01 5.534998708450600269e+00 2.926422293950944109e+00 8.953764266806877276e+04 0.000000000000000000e+00
5.857608359930159025e+01 5.201312450811470534e-01 5.925949016933779845e+00 3.934616443447625844e+00 8.962536904194614908e+04 0.000000000000000000e+00
7.843059974101610976e+01 6.152539621019310623e-01 6.097621688887305602e+00 3.143011009109058840e+00 8.969442208406738064e+04 0.000000000000000000e+00
5.879274402200690020e+01 5.101065585725721441e-01 6.277114659311077816e+00 3.296853206075747611e+00 8.990205183517224214e+04 0.000000000000000000e+00
7.712251709926712806e+01 2.186773946907714650e-01 6.641676138448729283e+00 4.856036440053738801e+00 8.991212660021743795e+04 0.000000000000000000e+00
7.256285360239562010e+01 7.370266987453139018e-01 5.865750288264941048e+00 2.878576930602497974e+00 9.038960688853765896e+04 0.000000000000000000e+00
8.409372883607517224e+01 6.606718132507733987e-01 4.506199555860460393e+00 4.378809331787030246e+00 9.042080995861851261e+04 0.000000000000000000e+00
7.360226094953814879e+01 5.301842422249362086e-01 4.329212500675594377e+00 2.943997746866546361e+00 9.045259816795065126e+04 0.000000000000000000e+00
8.435220974084133161e+01 6.627199225206414912e-01 4.186632074766063027e+00 4.569831867353192578e+00 9.059695860424489365e+04 0.000000000000000000e+00
8.144738085197546695e+01 9.391914788610499221e-01 6.943754166005506434e+00 2.570096934961609403e+00 9.062914451791196188e+04 0.000000000000000000e+00
6.316187732678528732e+01 3.360552966828198596e-01 3.036770469660460492e+00 4.457913933250544858e+00 9.073834228880181035e+04 0.000000000000000000e+00
6.452691134076644630e+01 5.158814944729939178e-01 2.566425240488727777e+00 4.287473670649610824e+00 9.080449619787781558e+04 0.000000000000000000e+00
9.751168959613551124e+01 3.828110895587105156e-01 2.503367364208204826e+00 2.525695240212538550e+00 9.081456348283252737e+04 0.000000000000000000e+00
9.098543743833086239e+01 3.627462936125251947e-01 2.899810609456046961e+00 4.164193802371525699e+00 9.093869014408475778e+04 0.000000000000000000e+00
9.836694246242322492e+01 5.066692620048647289e-01 6.660519068151172561e+00 3.460560324174037639e-02 9.094449353457822872e+04 0.000000000000000000e+00
6.899317034329871490e+01 5.911408037126730797e-01 2.114389610738738767e+00 3.409034452627643486e+00 9.096804641406740120e+04 0.000000000000000000e+00
5.288242798016226232e+01 2.178877720750528879e-01 1.952640258767971648e+00 3.621461512141678440e+00 9.096876584369958437e+04 0.000000000000000000e+00
7.099188759441651086e+01 8.697792003741362521e-01 2.242549709182808382e+00 4.434645599782245817e+00 9.102589755986481032e+04 0.000000000000000000e+00
9.591232880322942833e+01 2.529162042392065213e-01 4.488803929960402783e+00 5.581155811984514159e+00 9.103968214488263766e+04 0.000000000000000000e+00
