# Network	H1	L1	
2.709846944199345842e+01 2.205808143567969992e+01 1.574065085933792751e+01
2.979796728036144060e+01 2.403700207101805475e+01 1.761083148177179680e+01
3.015263216579036509e+01 2.468906018119701429e+01 1.730986810737412540e+01
2.923499869458181877e+01 2.395230907635633244e+01 1.676222057434213397e+01
2.729685164695330712e+01 2.227979483540787342e+01 1.577113984238013167e+01
2.861724046403952215e+01 2.344483226016064492e+01 1.640994491366718933e+01
2.940264439635003768e+01 2.414846676368384237e+01 1.677399923874658683e+01
3.097261517782455797e+01 2.521197169558434226e+01 1.799053568337146558e+01
2.866534168619064715e+01 2.345130967771420316e+01 1.648447416164699320e+01
3.266169698724528558e+01 2.648713621526095352e+01 1.911067934953750935e+01
3.273808694277611409e+01 2.667929939445720677e+01 1.897359534968749983e+01
3.006532379762053964e+01 2.453484961711802015e+01 1.737713582041562077e+01
2.926360779099779208e+01 2.387687221646008950e+01 1.691903407716241148e+01
2.913911166086307958e+01 2.372521332493133883e+01 1.691750812237863855e+01
3.217519726101842537e+01 2.606647101230885255e+01 1.886219519965557723e+01
3.159172819090309048e+01 2.582921744803823216e+01 1.819034953237178343e+01
2.973601964657449770e+01 2.412830665637584104e+01 1.737974920179672367e+01
3.039545147911274725e+01 2.474604914419584389e+01 1.764983066128798583e+01
2.910188703492040574e+01 2.385648663218315946e+01 1.666696956743290414e+01
3.113409397244201671e+01 2.524740459303616191e+01 1.821813296692026185e+01
2.867904467101446997e+01 2.339689946031317191e+01 1.658531576081808012e+01
2.830073633495627661e+01 2.298470964064972932e+01 1.651165648370077577e+01
2.847009983431569680e+01 2.328494955789297194e+01 1.638162716772307093e+01
3.053706695265792348e+01 2.490469639095466192e+01 1.767112208507095517e+01
2.902378577141971405e+01 2.352473927788165753e+01 1.699902298407051049e+01
2.990336849874726255e+01 2.425962427962793200e+01 1.748376610982762358e+01
3.127639207224969553e+01 2.560903131651200582e+01 1.795522809899643235e+01
3.060731167988258861e+01 2.490377934405556815e+01 1.779351855738680044e+01
3.218004712638434484e+01 2.614065497488433820e+01 1.876756751793827505e+01
3.073825245919335103e+01 2.508339320668861205e+01 1.776692290419907394e+01
3.005523492399718322e+01 2.452945227383543170e+01 1.736730023585386462e+01
3.010095709377370454e+01 2.462847379687460858e+01 1.730623865540592377e+01
3.085231476164661046e+01 2.497913201090805657e+01 1.810823818413447484e+01
2.922010761284211355e+01 2.375926954172500771e+01 1.700916810869161822e+01
3.206750529877461986e+01 2.610522067648378908e+01 1.862370396884093893e+01
3.225534587861951508e+01 2.616406398532848598e+01 1.886396282653817025e+01
3.021461613437740468e+01 2.476773639427138107e+01 1.730555581458348513e+01
3.193933777581868227e+01 2.593907002902239256e+01 1.863560955770726935e+01
3.065018260292917418e+01 2.482854262781573595e+01 1.797156544577125104e+01
3.059542805871161519e+01 2.478228073333665193e+01 1.794209518840787254e+01
3.081977998803202823e+01 2.524557312551494093e+01 1.767823170102081320e+01
3.262799866681512384e+01 2.666187227979404639e+01 1.880773414150783296e+01
2.939090769398806557e+01 2.382465404057173686e+01 1.721079065364504501e+01
3.149495518376203762e+01 2.565826030851724227e+01 1.826433354840925816e+01
3.090861785920026605e+01 2.514006691948049976e+01 1.798109266007257645e+01
3.144071922629545313e+01 2.545185160393374346e+01 1.845865854817407836e+01
3.062091089003785527e+01 2.496550599319451180e+01 1.773030440346154535e+01
3.071052818756722402e+01 2.510206455805481340e+01 1.769245309397793164e+01
3.242125469075401156e+01 2.636613738278875019e+01 1.886702295632907678e+01
3.067124182232596397e+01 2.504486064461633177e+01 1.770536727140516930e+01
3.175103241945154053e+01 2.582178115707642618e+01 1.847602981100419228e+01
2.954544017176621651e+01 2.415780626739427461e+01 1.700980397566246793e+01
3.095784787837551022e+01 2.506652015444958437e+01 1.816749604670967599e+01
3.084479710329452118e+01 2.505965965424242015e+01 1.798374172292686879e+01
3.185202903884824721e+01 2.587745902682423349e+01 1.857172227357131788e+01
2.848707764712334267e+01 2.326837731676945253e+01 1.643460403896860456e+01
2.948545745255036366e+01 2.388028565161670258e+01 1.729520622552235309e+01
2.875292392664157148e+01 2.344922557997838197e+01 1.663924439481928275e+01
3.064536805331628244e+01 2.495061147519601619e+01 1.779341367295874221e+01
2.953528896336530352e+01 2.416979083031473152e+01 1.697511429617845380e+01
2.828926226658260390e+01 2.304542727821047521e+01 1.640703023560957519e+01
3.098596791894487268e+01 2.514863462154592000e+01 1.810183373434477971e+01
3.141783216314365390e+01 2.537270839096280994e+01 1.852851442341314936e+01
2.817100539314269270e+01 2.279654859135297684e+01 1.655061682181535332e+01
2.873105248485312302e+01 2.334120590768000980e+01 1.675295447563410178e+01
3.033412318077871461e+01 2.475487981238917712e+01 1.753154170690140035e+01
3.147534071893443652e+01 2.568583760137975958e+01 1.819161400449553057e+01
3.193680022544948116e+01 2.597233636194082607e+01 1.858485815233671445e+01
3.029067632541374877e+01 2.469429560941745549e+01 1.754185955381261053e+01
3.077928679737678763e+01 2.506500926025389830e+01 1.786364482793361574e+01
3.135391053386110727e+01 2.554994403474654163e+01 1.817327888925622759e+01
3.015520023358804380e+01 2.445131825362816613e+01 1.764848822952205154e+01
3.025445614295623642e+01 2.457358993722639084e+01 1.764853518292972723e+01
2.987217016240661493e+01 2.423598912149774876e+01 1.746320078091124017e+01
3.127140393560100406e+01 2.552442156316545763e+01 1.806667119226273499e+01
3.110444732742245932e+01 2.531316579249229193e+01 1.807568203709603694e+01
3.015217293727567949e+01 2.445161782638176717e+01 1.764289994620922286e+01
3.117958684442398365e+01 2.535954160982260319e+01 1.814001888446241750e+01
3.113048792140932974e+01 2.528933405973414850e+01 1.815370102872090641e+01
2.958449048207959464e+01 2.415711764792100169e+01 1.707851703248153541e+01
2.944313897636347832e+01 2.403650870161196806e+01 1.700425482691865398e+01
3.043984150803980526e+01 2.488570504855093546e+01 1.752956460586256426e+01
3.170334612028448618e+01 2.582205170099248548e+01 1.839358043377712093e+01
2.982251212093572690e+01 2.436557862063460078e+01 1.719595323571893175e+01
3.084895580863759790e+01 2.495011967838610900e+01 1.814248060540469609e+01
2.937907856714085497e+01 2.391197870965522299e+01 1.706890540260945954e+01
3.102439913661079984e+01 2.515041833182684883e+01 1.816507086476254074e+01
2.982922445671722400e+01 2.420203141561016480e+01 1.743686631958379252e+01
2.952798977855574947e+01 2.395319707353253591e+01 1.726692011677256744e+01
3.144126953487931075e+01 2.554118220978054410e+01 1.833579671821543045e+01
2.944905539893441215e+01 2.403631083621269937e+01 1.701477667424618190e+01
2.989652145096630420e+01 2.419824615568388992e+01 1.755696095162879189e+01
2.941867045711791917e+01 2.402377849802051557e+01 1.697987744780715147e+01
3.129330654243068111e+01 2.547950925048266413e+01 1.816770879095939861e+01
3.082336361136630032e+01 2.520324993398200775e+01 1.774474392837879577e+01
3.136673108483791594e+01 2.539310218347127446e+01 1.841364115128573786e+01
3.069310356465010159e+01 2.485217661430109715e+01 1.801210492868399982e+01
2.955191732960425455e+01 2.400209651422736101e+01 1.723992983679107027e+01
3.074614906816458060e+01 2.509594810521241826e+01 1.776285650514249426e+01
3.143146923366373713e+01 2.567514237398752996e+01 1.813075625180097106e+01
2.964635468153559827e+01 2.402327955984905117e+01 1.737205759525182103e+01
2.929855737412611560e+01 2.382544556608384667e+01 1.705149869608344204e+01
2.946055086610221352e+01 2.398492103476981541e+01 1.710694655074517456e+01
3.126263250862040621e+01 2.552448933526755681e+01 1.805138874277716354e+01
3.054808773873727645e+01 2.496472388548973242e+01 1.760534651220614677e+01
3.053592406899693401e+01 2.485942900272356582e+01 1.773277892508934528e+01
3.019048660351001345e+01 2.476187274798919091e+01 1.727180185646847477e+01
3.022922025457180339e+01 2.466958205745804733e+01 1.747047447294314537e+01
2.927439520280250207e+01 2.382883798251718233e+01 1.700519611450607727e+01
3.047237723439109658e+01 2.482111146989943506e+01 1.767705291370321774e+01
2.928457560390711834e+01 2.378288338123513412e+01 1.708686122070175983e+01
3.052679347175652325e+01 2.464173708615278002e+01 1.801859908661601040e+01
3.100213431842997380e+01 2.525865697466686655e+01 1.797588885518839419e+01
3.008431604003866866e+01 2.439973834915656070e+01 1.759883064551808829e+01
3.010682444721330953e+01 2.452090997421962015e+01 1.746842443758273689e+01
3.017254859380856402e+01 2.473836179401218871e+01 1.727414670524414575e+01
3.080481450081206418e+01 2.507117118803281741e+01 1.789896565977470644e+01
2.978864348168383813e+01 2.429345623630734607e+01 1.723923619460806478e+01
3.023751422743686490e+01 2.461865765083852153e+01 1.755645072687690700e+01
2.950992467906690564e+01 2.386610019036434238e+01 1.735640850716798056e+01
3.088155054607356931e+01 2.512625889210120889e+01 1.795386527232511042e+01
3.101798282757653169e+01 2.518645477019326862e+01 1.810408116422485847e+01
3.096651089809003921e+01 2.515183792991950185e+01 1.806404843739608168e+01
3.072416643793465951e+01 2.497882733473798922e+01 1.788945466712880972e+01
3.083146978094455548e+01 2.510574843751092189e+01 1.789639416881833966e+01
3.053116778361702899e+01 2.480244504629314051e+01 1.780423898842584762e+01
3.044679947933266817e+01 2.477145505808823600e+01 1.770261598859916674e+01
