# Mf af A2220 phi2220 logL logPrior
6.973412429315939676e+01 6.930851825333770311e-01 4.517894285915088126e+00 1.106164290752627899e+00 9.185051200020669785e+04 0.000000000000000000e+00
6.743505822212748058e+01 7.229585328341321393e-01 5.078617302758532404e+00 1.099503561158968523e+00 9.185259814168693265e+04 0.000000000000000000e+00
6.553961953541575269e+01 5.757424561832431564e-01 4.848698019855988584e+00 1.024793622186826569e+00 9.185265262431623705e+04 0.000000000000000000e+00
5.694486412382225637e+01 4.020318137171475792e-01 4.596501237937932416e+00 1.078729872735689099e+00 9.185295102948209387e+04 0.000000000000000000e+00
6.937449334223569508e+01 7.125788091793211487e-01 4.488347710009512603e+00 1.034609743498644541e+00 9.185333228751775459e+04 0.000000000000000000e+00
6.315574854913044334e+01 5.322386767723171763e-01 4.629051633807536703e+00 1.102326400815851537e+00 9.185357093485811492e+04 0.000000000000000000e+00
6.005523504747586827e+01 4.562456382300454916e-01 4.665887208134084752e+00 1.088021191020122069e+00 9.185374994968531246e+04 0.000000000000000000e+00
6.741320223571034376e+01 6.703354740604247075e-01 5.024829467048666842e+00 9.310526988170193530e-01 9.185380925497192948e+04 0.000000000000000000e+00
5.918677526100049846e+01 4.635155389684775251e-01 4.552669584619424725e+00 1.060300986583373906e+00 9.185389446162278182e+04 0.000000000000000000e+00
7.239436556760414021e+01 7.691118778526503386e-01 5.434221074729198797e+00 9.884344453441229472e-01 9.185414249453647062e+04 0.000000000000000000e+00
6.665642557285254099e+01 6.372673931463874730e-01 5.341939815581408624e+00 1.020580822239233187e+00 9.185421299152573920e+04 0.000000000000000000e+00
6.570834874773881040e+01 6.437175600420617094e-01 5.003191459270334818e+00 1.161765613816638121e+00 9.185431304823956452e+04 0.000000000000000000e+00
6.556045314332925500e+01 6.124328251079056429e-01 4.711457268427245992e+00 9.691673331197450114e-01 9.185437409154277702e+04 0.000000000000000000e+00
6.260596373541562087e+01 5.672662061086690688e-01 4.681181234198082741e+00 9.723831888759090214e-01 9.185448740218169405e+04 0.000000000000000000e+00
6.736762094396085843e+01 7.117670706616843201e-01 5.378894833104856055e+00 1.027794383622029573e+00 9.185453695625395630e+04 0.000000000000000000e+00
5.988252432047528373e+01 5.136912677326539445e-01 5.033610951706758208e+00 1.034051062726783599e+00 9.185459300193436502e+04 0.000000000000000000e+00
6.757944001856948546e+01 7.040077839637232104e-01 5.012793562646674417e+00 1.129030438540881587e+00 9.185473145997337997e+04 0.000000000000000000e+00
6.533614351161455147e+01 6.348540795718764507e-01 4.919575329233792260e+00 9.501872940185552840e-01 9.185474570759681228e+04 0.000000000000000000e+00
6.418074014530992599e+01 5.707731282791027594e-01 4.718939239995622259e+00 1.101927516738811841e+00 9.185495352921418089e+04 0.000000000000000000e+00
6.742018202092229728e+01 7.036874064354813330e-01 5.147487072611902192e+00 9.657341133030633573e-01 9.185501710036312579e+04 0.000000000000000000e+00
6.512569285623953874e+01 5.914590607074021733e-01 4.644388706875491657e+00 1.020810737601062446e+00 9.185502696278972144e+04 0.000000000000000000e+00
7.050040010556131165e+01 7.409027256998492739e-01 4.739363810947063271e+00 1.075604707168547503e+00 9.185525024435065279e+04 0.000000000000000000e+00
6.744223016611897492e+01 6.863498577266228251e-01 4.624645530500986368e+00 9.915507602891183714e-01 9.185528778750912170e+04 0.000000000000000000e+00
6.626688541595507331e+01 6.506043099867065971e-01 4.936368442611536622e+00 9.514906658614057378e-01 9.185533728973196412e+04 0.000000000000000000e+00
7.014627044884096563e+01 7.514683997677727989e-01 4.849425393352840175e+00 1.004074934317235490e+00 9.185538805896650592e+04 0.000000000000000000e+00
7.048203453023080556e+01 7.251692915342347057e-01 4.926171012388400605e+00 9.523310946884924189e-01 9.185545950727374293e+04 0.000000000000000000e+00
6.523036955615074817e+01 5.964654425434215979e-01 5.091151645910651169e+00 1.092379787426288162e+00 9.185557181567400403e+04 0.000000000000000000e+00
6.178038112503842427e+01 5.840659867072812705e-01 4.983486845069626803e+00 1.039460283542171348e+00 9.185562175989375100e+04 0.000000000000000000e+00
6.649540258432500650e+01 6.798423103118362842e-01 5.364509415753052401e+00 1.085974990585185429e+00 9.185563579073414439e+04 0.000000000000000000e+00
6.872163336499893660e+01 6.651858286707572621e-01 5.022559931780343767e+00 1.024395917170612069e+00 9.185566462225723080e+04 0.000000000000000000e+00
