# Network	H1	L1	
1.398029812933858018e+01 1.112461107345581546e+01 8.467098927586238943e+00
1.389926595183398739e+01 1.101180467113398720e+01 8.481140954176108693e+00
1.412935505629847022e+01 1.123987252081972521e+01 8.561772014172579048e+00
1.401652701846982119e+01 1.118740076022329966e+01 8.444234357811820857e+00
1.427917601912178114e+01 1.136210136872054299e+01 8.648555964551613684e+00
1.402036400464519517e+01 1.103701949436444885e+01 8.646086253546732436e+00
1.427788173290885076e+01 1.134416180050039458e+01 8.669942319473637582e+00
1.424935161093914537e+01 1.132141556051296760e+01 8.652720441476708046e+00
1.404145851255316124e+01 1.117750119682788856e+01 8.498589539133114101e+00
1.413852095522465291e+01 1.119191542696935393e+01 8.639375201766156920e+00
1.408126014018922412e+01 1.114278043748924496e+01 8.609316538354763182e+00
1.417083617360395031e+01 1.124865212393381420e+01 8.618609125249941272e+00
1.453128503319779341e+01 1.156020023982698319e+01 8.804545140502284539e+00
1.414955966617866778e+01 1.121258644278753813e+01 8.630639837796922009e+00
1.432417937157655885e+01 1.139283420132649738e+01 8.682479111992416065e+00
1.406034998013318749e+01 1.120408721312853828e+01 8.494814376102688414e+00
1.418187433052246860e+01 1.129357285306126357e+01 8.577923509762126031e+00
1.428982829820372302e+01 1.132711201493153652e+01 8.711815321351657815e+00
1.411162001856326853e+01 1.124354108364116556e+01 8.527637624148249884e+00
1.427249852638674099e+01 1.138828852781858458e+01 8.602970335463636431e+00
1.411359942156350655e+01 1.111591823350106090e+01 8.696553941560782874e+00
1.413906223340045543e+01 1.119956725193199887e+01 8.630340329872479899e+00
1.428728893819645407e+01 1.134617616240283411e+01 8.682794002809950840e+00
1.424513827590378590e+01 1.129333263768178242e+01 8.682430675467012193e+00
1.421405182109755394e+01 1.127210615317441622e+01 8.659035283703039099e+00
1.417576535092155865e+01 1.129702175372644923e+01 8.563271733410052988e+00
1.425139138743099387e+01 1.130196521134146614e+01 8.681459487860873736e+00
1.416955601262177744e+01 1.127065034401763022e+01 8.587709730639550898e+00
1.415507550634323053e+01 1.126198626407391679e+01 8.575186760536967157e+00
