# Network	H1	L1	
1.427912334135480243e+01 1.137619928905730582e+01 8.629916171856804041e+00
1.410806122593271361e+01 1.121174303849711329e+01 8.563539548187861783e+00
1.416760213609619434e+01 1.126139027239450563e+01 8.596629538344423338e+00
1.415847074065606392e+01 1.126362966412574629e+01 8.578632787539071103e+00
1.422592404534139554e+01 1.127180114134204558e+01 8.678906265991276570e+00
1.419958844867751679e+01 1.129843698307053934e+01 8.600792629252250521e+00
1.420796922706631626e+01 1.131321554087918990e+01 8.595204691156167698e+00
1.430183772646932461e+01 1.137402142817140316e+01 8.670305583182116749e+00
1.429131233215149521e+01 1.137171020785340758e+01 8.655969912361527463e+00
1.422866933073025741e+01 1.132941066072989678e+01 8.608105773269958405e+00
1.456202093118358221e+01 1.159269951152439582e+01 8.812591652614502280e+00
1.425380422195767061e+01 1.133524563510293603e+01 8.641940823089345969e+00
1.425372763172743440e+01 1.133357360047106965e+01 8.644007221316707401e+00
1.425944171218410972e+01 1.134597630832565152e+01 8.637158071616445554e+00
1.431669060307528873e+01 1.140889957497524598e+01 8.648967586499207272e+00
1.428530964286843563e+01 1.137964360259381813e+01 8.635611331606783736e+00
1.430127709684338200e+01 1.135078243169826528e+01 8.699785330049648380e+00
1.433981805833294843e+01 1.141513150525759279e+01 8.679006548203961557e+00
1.432454030026405967e+01 1.138675867688689536e+01 8.691040308744986120e+00
1.452061431176064765e+01 1.155932606270510377e+01 8.788072653715071070e+00
1.429949660249965859e+01 1.129875030069900532e+01 8.764350787557136258e+00
1.434894067950138208e+01 1.142086397452395374e+01 8.686539282088723724e+00
1.436667641142186547e+01 1.144190307163186482e+01 8.688166964894653788e+00
1.441615950209783570e+01 1.147446210043878523e+01 8.727105722719283420e+00
1.448912830359925330e+01 1.149677580200774685e+01 8.818105531038405331e+00
1.437759315730613530e+01 1.144850867051092536e+01 8.697518854147563871e+00
1.439743915064747526e+01 1.145975760033721791e+01 8.715515466001427569e+00
1.433603357225565311e+01 1.140742618081535475e+01 8.682884688517381377e+00
1.442366516893782880e+01 1.149957668169448866e+01 8.706425962899972504e+00
1.437507314673576531e+01 1.144692154376065041e+01 8.695442205258569146e+00
1.446639027473539230e+01 1.150661805811582816e+01 8.767792678069064038e+00
1.439093549706081454e+01 1.140609960672241208e+01 8.774959614841076672e+00
1.435106733763821474e+01 1.142864225421484825e+01 8.679819695973030491e+00
1.436339702766020565e+01 1.143628370935431171e+01 8.690143214778178304e+00
1.448429406734175195e+01 1.153314438989754542e+01 8.762497081939956800e+00
1.442145354066610707e+01 1.143707895396619278e+01 8.784733759558942978e+00
1.438819369300447093e+01 1.143075026484410550e+01 8.738310256003734011e+00
1.437760391726935794e+01 1.144215339714152968e+01 8.705895705679097318e+00
1.444298269280963609e+01 1.150102039317310165e+01 8.736491228211420434e+00
1.443199927571582286e+01 1.148784780929444160e+01 8.735671457006089824e+00
1.440557329673163700e+01 1.146184550230862165e+01 8.726204197055857037e+00
1.450706293041884543e+01 1.153554614455232930e+01 8.796934125821136874e+00
1.439822084605279429e+01 1.146516964820299656e+01 8.709687047743679855e+00
1.449601106665150319e+01 1.153376885696926557e+01 8.781031419969338003e+00
1.440921291196748300e+01 1.147345645680252524e+01 8.716949792001033259e+00
1.444887319591266461e+01 1.150511392274782452e+01 8.740840363269290592e+00
1.449477003031249822e+01 1.153566054967758880e+01 8.776496676593541935e+00
1.447056002332368685e+01 1.151218895894178296e+01 8.767360649718506593e+00
1.441447137652527388e+01 1.142705990612206080e+01 8.786312478313305974e+00
1.441905432900436601e+01 1.147173586920802180e+01 8.735468155165218462e+00
1.455736379674601189e+01 1.159153485909473780e+01 8.806427216596013352e+00
1.443105613247493757e+01 1.146059656247722813e+01 8.769840792783961447e+00
