# Mf af A2220 A2221 phi2220 phi2221 logL logPrior
6.989073373011086687e+01 8.930733823177603448e-01 9.025336613359229432e+00 1.389478364131045929e+01 2.460769414789819809e+00 2.435351490853499001e+00 1.844383420255367309e+04 0.000000000000000000e+00
8.815082417411869642e+01 3.048205289642885729e-01 1.247819929723961252e+01 9.203061187293455347e+00 4.819001918267055151e-01 5.668812292562130040e+00 1.851919160024251687e+04 0.000000000000000000e+00
5.696025787762884107e+01 6.943212231867502693e-01 1.240297073555472807e+01 1.319994396443227025e+01 4.665366736230167177e+00 5.094749880586914692e+00 1.882837809675266908e+04 0.000000000000000000e+00
9.912055425730449087e+01 7.966694027352364538e-01 1.368422953619738536e+01 1.047747786294218031e+01 4.660578480354776509e+00 8.791238938299217320e-01 1.885176573458415442e+04 0.000000000000000000e+00
9.049250427712038913e+01 4.095778998624183265e-01 1.000311548263505124e+01 6.648433231867125315e+00 4.139650296039398825e+00 4.047059640994767449e+00 1.886772335835538615e+04 0.000000000000000000e+00
9.453775403369188268e+01 5.982432786548768089e-01 1.062876273082915368e+01 7.067537327348589749e-01 5.221141199182990911e-02 3.146342548070376388e+00 1.892515387084374015e+04 0.000000000000000000e+00
8.889619968968901276e+01 3.964826872823175030e-01 1.310310205827166996e+01 3.071713524329842127e-01 1.457630158539706677e+00 4.140542970053915361e+00 1.893975726322666014e+04 0.000000000000000000e+00
6.471659016558227506e+01 7.953846093987458898e-01 1.036419003681477946e+01 2.789743681564780253e+00 3.327946581440146101e+00 5.323388692028721891e+00 1.897974778695126588e+04 0.000000000000000000e+00
7.703099935040985713e+01 4.451271944957365112e-01 9.905369009605195174e+00 8.995678809331463910e+00 3.228837738807370350e+00 3.904564866834686399e+00 1.899179668217386279e+04 0.000000000000000000e+00
5.103262120386441580e+01 4.881730390964751920e-01 1.087698477977464684e+01 4.839816678023167285e+00 4.235181147255897116e+00 3.767058123472557529e+00 1.901191910123761409e+04 0.000000000000000000e+00
5.312634421801403306e+01 9.022801239995518197e-01 1.020434668185258786e+01 4.518072386650088923e+00 1.830265530951895814e+00 2.398683092181839172e+00 1.910069483967375709e+04 0.000000000000000000e+00
9.558441318079484006e+01 9.153000691247222820e-01 5.867945730759540623e+00 7.615377057795794435e+00 5.360386286533660893e+00 3.262868999965490957e+00 1.911024999834288246e+04 0.000000000000000000e+00
9.202938053239370220e+01 8.333654839395235880e-01 8.822146633396185322e+00 1.036093682133370208e+01 6.137495045294702578e+00 1.978183556467409066e+00 1.916604864895080391e+04 0.000000000000000000e+00
5.221267387153508821e+01 2.890681577453879658e-01 8.480509856218990450e+00 1.349790159034356130e+01 5.202402072186491644e+00 5.878122634492745746e+00 1.925124082274817920e+04 0.000000000000000000e+00
8.573535852603497176e+01 8.863767434191259786e-01 2.946458254092791940e+00 1.438162771004015106e+01 3.127856894202074578e-01 4.709438072864866598e+00 1.927085337821507710e+04 0.000000000000000000e+00
5.132135214945945734e+01 7.107094551985490005e-01 7.660201663797272964e+00 1.333273049524937903e+01 4.323436003555822360e+00 5.059653580230356162e+00 1.927528966277064319e+04 0.000000000000000000e+00
7.383547628531849227e+01 9.013825974318327994e-01 2.102861599007871618e+00 9.771673712091713426e+00 3.134520017421956961e+00 4.547780106193678229e+00 1.931163341477766517e+04 0.000000000000000000e+00
5.965751010319264935e+01 6.603416172871525713e-01 5.395213001230787953e+00 6.334485963787576779e+00 3.085615369237268979e+00 2.372083546839102830e+00 1.936213486919198840e+04 0.000000000000000000e+00
6.138307521658719423e+01 8.265066522372275237e-01 1.374504605151640213e+01 7.775171097853230684e+00 1.521238810711458278e+00 4.871305668463415728e+00 1.937318115342866440e+04 0.000000000000000000e+00
5.547225452274443569e+01 4.724371005416009850e-01 7.706900438931806541e+00 1.473273820507101561e+01 1.873347388684403203e+00 7.227538796059223003e-01 1.938465062075325841e+04 0.000000000000000000e+00
7.986735023989146498e+01 4.663291276313230593e-01 7.211811889653280794e+00 4.308690419374260117e+00 5.385412737489501112e-01 4.584101227990066363e+00 1.940668194201056394e+04 0.000000000000000000e+00
5.108746062251202602e+01 5.228793927021364585e-01 1.424063534429297340e+00 1.354459310421502494e+01 1.783296504992491593e+00 3.266676515490396504e+00 1.941161000643411171e+04 0.000000000000000000e+00
5.664533170517206173e+01 2.689224196015720936e-01 1.691050791933804032e+00 9.262350548801908445e+00 3.779246017932935686e+00 4.111967561893885126e+00 1.942881774854744071e+04 0.000000000000000000e+00
5.471837021671066026e+01 6.395572428890423655e-01 9.350229822806102931e+00 8.683693665338857670e+00 5.704321097094402049e+00 2.062833728984364290e-01 1.944797077447340416e+04 0.000000000000000000e+00
5.623738492878197803e+01 8.034018951863647340e-01 3.425347910955237829e+00 1.205506103463972956e+01 5.411425723576929192e-01 5.441639054884573889e-01 1.945934834503844468e+04 0.000000000000000000e+00
8.956538599734746242e+01 7.787759054380064550e-01 1.019519539956505660e+01 4.989347488735496938e+00 1.737492027132763184e+00 3.251170748542872690e+00 1.946476798328691802e+04 0.000000000000000000e+00
8.300888277904461177e+01 6.428985618339948527e-01 3.946846616925866691e+00 8.602888340473038298e+00 3.183515907155622937e+00 2.953548293476464082e+00 1.949329627749904466e+04 0.000000000000000000e+00
5.413983382332300920e+01 4.875582302952982117e-01 1.918654607814473056e+00 1.192203306193812651e+01 2.565202793975188467e+00 2.600273777828903565e+00 1.950935228033346357e+04 0.000000000000000000e+00
5.254180470958223026e+01 8.684726001531516415e-01 1.098640189207001683e+01 1.250328462783384964e+01 4.560850081992350091e+00 1.979804019469631360e+00 1.952708150825984558e+04 0.000000000000000000e+00
9.894905543604041043e+01 3.273925131468162220e-01 3.931162492192020963e+00 6.725152049397821408e+00 8.549387611442014201e-01 5.113144577190804618e+00 1.953491326265170210e+04 0.000000000000000000e+00
5.368031471357528517e+01 4.701072024685107320e-01 1.989944757906184858e+00 5.887807696483209341e+00 4.195993920198217708e+00 4.908938670038811125e+00 1.956142067793121896e+04 0.000000000000000000e+00
6.491788890092006170e+01 3.694073165692939309e-01 1.345028700721469761e+01 4.408731639809517766e+00 2.229673502241270810e+00 4.860726639561361750e+00 1.957316213137782324e+04 0.000000000000000000e+00
7.867219340874412126e+01 2.999534426300846102e-01 1.214921748572749038e+01 1.154171618011776523e+01 3.617090250733829393e+00 6.240948861246339296e-01 1.958075580413582065e+04 0.000000000000000000e+00
5.875844970860235605e+01 5.996890076865997177e-01 4.474637133986627546e+00 9.923586935199875114e+00 4.341098042319572414e+00 1.854150345538240430e+00 1.958443327250946095e+04 0.000000000000000000e+00
7.905225054810816232e+01 8.668721408377252358e-01 8.513774596178535603e+00 1.249267266515622232e+01 3.914105618814627263e-01 2.266007543187620321e+00 1.958744646195293535e+04 0.000000000000000000e+00
5.628628882858223648e+01 6.778833406799640304e-01 7.515316014542003487e+00 5.730933313301856735e+00 6.080702696330191337e-01 1.547137912494501055e+00 1.959125376830854293e+04 0.000000000000000000e+00
5.024980954487389084e+01 8.385751311537883446e-01 7.861933670732311974e+00 7.720683698878183066e+00 5.121299439209515469e+00 4.260918951461829529e-01 1.959224879814572341e+04 0.000000000000000000e+00
5.208439261187218250e+01 4.940698194255045972e-01 6.607497859909912563e+00 8.323209973009012330e+00 6.282399749715431803e+00 5.683819444059809101e+00 1.959339896109686742e+04 0.000000000000000000e+00
8.431892948526270004e+01 8.273458803612090406e-01 5.334760803542840435e+00 1.343105683790576066e+01 3.992507081385681555e+00 1.481028392609773814e+00 1.959454645056126174e+04 0.000000000000000000e+00
8.283565369239327936e+01 8.199338071672284123e-01 1.003857185213929970e+00 1.278202013795369396e+01 4.030136157068232805e+00 9.605392265629427717e-01 1.959538224029496996e+04 0.000000000000000000e+00
8.332101568034478589e+01 6.757250965178409619e-01 9.157991133351828239e-02 5.114154055562371681e+00 2.225658205610037577e+00 4.172488270155726653e+00 1.960000955249924300e+04 0.000000000000000000e+00
6.220446546606782334e+01 7.926320133752429165e-01 1.353925798630621458e+01 1.392628384935534136e+01 5.961446523914521123e+00 2.106108568650626012e+00 1.960058288083387015e+04 0.000000000000000000e+00
5.264871082052842155e+01 5.480659360608710617e-01 1.067557708090538249e+01 4.873633275214301896e+00 6.267471414361225790e+00 4.837316049756439362e+00 1.960062225639559620e+04 0.000000000000000000e+00
9.136572075789703717e+01 4.302098509444303165e-01 7.727184506398971031e+00 7.334527010621281207e-01 2.872355491850923315e+00 5.563319669249946031e+00 1.960361192638010834e+04 0.000000000000000000e+00
6.771768145477636835e+01 6.064588981161668224e-01 4.154071007703183938e+00 9.244133903121944940e+00 4.210129167720150001e+00 1.420146058692173474e+00 1.960576172601218786e+04 0.000000000000000000e+00
6.305308581307441784e+01 2.841339062483845823e-01 1.275260163060488061e+01 2.152154393648802344e+00 1.837852236160556263e+00 4.803167593989764228e+00 1.961110731493162530e+04 0.000000000000000000e+00
5.148643083978064539e+01 3.493036702044968744e-01 7.303416660622822354e-01 1.136733342374465749e+01 5.921952623431496754e+00 8.188802515656433689e-01 1.961628303999476339e+04 0.000000000000000000e+00
5.565050126583482637e+01 7.470886674594471311e-01 5.504495219240511439e+00 7.461637207132435279e+00 2.278980239897559379e+00 5.781923931948378836e+00 1.961965638674569345e+04 0.000000000000000000e+00
9.113756688102665748e+01 5.924200211782260084e-01 7.318933921754032568e+00 2.817742918536583652e+00 2.300750161778419400e+00 2.792017358392509530e-01 1.962319942199919024e+04 0.000000000000000000e+00
5.453222885370259121e+01 7.596984427678898921e-01 3.303610745662408643e+00 9.948867758956470020e-02 4.081621338531079779e+00 1.120530914101274256e+00 1.962461532075533978e+04 0.000000000000000000e+00
9.726334798204841547e+01 5.902171491137249149e-01 1.580212965400256797e+00 1.177303725235596454e+00 5.989495243706828731e+00 4.262737895937604549e+00 1.963101210115890353e+04 0.000000000000000000e+00
6.110855050414065204e+01 7.154028516498517343e-01 4.342445816652936941e+00 6.758117975144133815e+00 7.038362491263896459e-01 3.204986112701423417e-01 1.963207830412069234e+04 0.000000000000000000e+00
6.674403523114501979e+01 6.764104136521321697e-01 6.000461327324973837e+00 1.005798487463255242e+01 1.453486731598452320e+00 2.560310663628271310e+00 1.963262001071755003e+04 0.000000000000000000e+00
9.605191175836567652e+01 5.290879262506300584e-01 5.543976982578622703e+00 8.835604929658346762e+00 2.904812765556777254e+00 5.276838537291048681e+00 1.963333425577622984e+04 0.000000000000000000e+00
5.316398779208560654e+01 7.848262997322500434e-01 1.323651882895809528e+01 9.590789993371620525e+00 5.614264285192500203e+00 2.357115531061243274e+00 1.963693163190407358e+04 0.000000000000000000e+00
6.855310997405466367e+01 2.886369147762955500e-01 9.540261478603602185e+00 6.029329664051987336e+00 1.884649309829609765e+00 3.296760826214011342e+00 1.964025804521534519e+04 0.000000000000000000e+00
5.149001766896867593e+01 6.645290359423398074e-01 8.936362591807658351e-01 1.085707220263362238e+01 5.132641691737727996e+00 8.025794569112831844e-02 1.964282648189834435e+04 0.000000000000000000e+00
9.313250055389191573e+01 6.397047990077100454e-01 1.435066191042479344e+00 4.402459342288666200e+00 1.459927402899453330e+00 5.114467266849966443e+00 1.964451123409658248e+04 0.000000000000000000e+00
8.940692819346449483e+01 4.938516374529587916e-01 6.298725590762324522e+00 1.166692979770309968e+01 4.286615269992197774e+00 1.982097547705421903e+00 1.964737493958629420e+04 0.000000000000000000e+00
5.582451679915725862e+01 6.231946373535337536e-01 1.023300461739206568e+01 2.331574470633563489e+00 1.117747853118693513e-01 4.225799069197716307e+00 1.964957860989761684e+04 0.000000000000000000e+00
6.977201161408532926e+01 9.050594591743065243e-01 9.661422661853380500e-01 6.219003043893109428e+00 1.917042853297503679e+00 1.197102569274489881e+00 1.965075827853013470e+04 0.000000000000000000e+00
9.019264078690132180e+01 9.349561454568736663e-01 5.037443297091622973e+00 2.232371555134831542e+00 4.821585654623900541e-01 5.542394960417952987e+00 1.965098224202926940e+04 0.000000000000000000e+00
5.911742834902572241e+01 9.066466686773007044e-01 8.757490162353779084e+00 7.851708050688692708e+00 4.942626981384639961e+00 1.737669287935244444e+00 1.965112985607962037e+04 0.000000000000000000e+00
8.019694995985094010e+01 7.820058762105972505e-01 6.951650777858787933e+00 1.392431607564853024e+01 1.285271636998688294e-01 2.553962872032927933e+00 1.965189909026570967e+04 0.000000000000000000e+00
6.761487708555449672e+01 4.501675094434835489e-01 1.355775863342014453e+01 1.199361939561812562e+01 1.813086964079149599e+00 5.348147350779065334e+00 1.965313225674128626e+04 0.000000000000000000e+00
7.427871624858211419e+01 8.907611499550256440e-01 5.239856339831157506e+00 7.203669022157027868e+00 1.797756634381007190e+00 5.499953787171082631e+00 1.965458720705631276e+04 0.000000000000000000e+00
5.036867739120907572e+01 6.535994669736495677e-01 3.673612572668009779e+00 4.758323012576283872e+00 9.289691694105554065e-01 2.147870551879370371e+00 1.965574704281587037e+04 0.000000000000000000e+00
5.183508555986933430e+01 4.198499792390764096e-01 2.479357416728629637e+00 3.096333491949737393e+00 5.092693117657150381e+00 6.176887695835392655e+00 1.965943692566793106e+04 0.000000000000000000e+00
7.169634233144817870e+01 9.220530922256193751e-01 2.521234701197411776e-01 2.592659418971895668e+00 5.832840299316661259e+00 2.385133023119280882e+00 1.966047495418127437e+04 0.000000000000000000e+00
8.150558292136541638e+01 8.232046416923207710e-01 3.304326404572753617e+00 9.443733668591621111e+00 3.135154398422764555e+00 1.415877437462070842e+00 1.966084314319003533e+04 0.000000000000000000e+00
6.204629830751598973e+01 7.536953573106216497e-01 1.272724198396804240e+01 1.104217215356398363e+01 5.765232009055297091e+00 2.300292893632170266e+00 1.966140470899875800e+04 0.000000000000000000e+00
7.392181495818402936e+01 6.195899000699416348e-01 9.968845307095698161e+00 3.811041032892756419e+00 2.117176460310054242e+00 6.262287672262552007e+00 1.966191395892495348e+04 0.000000000000000000e+00
6.117319940424010838e+01 8.693853770557347094e-01 3.774688737829888785e-01 3.869985123808518335e+00 3.718728898072525713e+00 1.781062525621560644e+00 1.966221833955756665e+04 0.000000000000000000e+00
8.479074862771378207e+01 4.622332097748838575e-01 6.205663167442821759e+00 9.651369830112717096e+00 3.264988744738629656e+00 1.720270998993486344e+00 1.966304863866684173e+04 0.000000000000000000e+00
9.314974857086050974e+01 8.367320902767828583e-01 7.912065422233412804e+00 7.289144304449456158e+00 2.729202998583801332e+00 5.686921807331307477e+00 1.966389461456317440e+04 0.000000000000000000e+00
9.862241950036940352e+01 3.434207321535780455e-01 3.511675410259689656e+00 6.871725333201703201e+00 5.715950723046291593e+00 2.628342426142615373e+00 1.966465261339591234e+04 0.000000000000000000e+00
6.976537290009940762e+01 9.041055954888121970e-01 7.992502803289817104e-01 5.642809320146501051e+00 3.787534853187692008e+00 1.462115353368088178e+00 1.966896577218586754e+04 0.000000000000000000e+00
7.273487532079279561e+01 3.764614678930504610e-01 1.563613734998088978e+00 5.406014690500803077e+00 3.108750587430765933e+00 2.861422536145270534e+00 1.966932045830164861e+04 0.000000000000000000e+00
7.962283376313256156e+01 6.806098241535722959e-01 6.808363505207019273e+00 8.016390065004184606e+00 2.708856400139518339e+00 1.158043095995965777e+00 1.967093703872680271e+04 0.000000000000000000e+00
6.676605245159170465e+01 6.842392225707186748e-01 7.876970900490347205e+00 1.786351254859134485e+00 1.618362086032781422e+00 2.826189772330626404e+00 1.967215338695267928e+04 0.000000000000000000e+00
7.812540359916022226e+01 7.052122095581416783e-01 4.358668841105721725e+00 1.403007682022451341e+01 2.523787611617244409e+00 6.218375761088977605e+00 1.967346134220118256e+04 0.000000000000000000e+00
9.081964365683325013e+01 5.805073192479502930e-01 1.044115350791298802e+00 6.068326798982546677e+00 3.901494430747592723e+00 8.047139440333257454e-01 1.967545663977766162e+04 0.000000000000000000e+00
6.499878112662150897e+01 4.360051610824252077e-01 1.381208638372591224e+01 1.148445322533852497e+01 1.448469722617457212e+00 4.722558682941080832e+00 1.967598551948517343e+04 0.000000000000000000e+00
7.809137359529835010e+01 8.546087980735146417e-01 9.417551843921515564e-01 6.838802322312936610e+00 4.282438768620490777e+00 1.820820021032838243e+00 1.967708739792624328e+04 0.000000000000000000e+00
7.773478505045858356e+01 8.774451001529868233e-01 8.799923371735292932e+00 3.856052426233444574e+00 3.038112831628698163e-01 3.021395991188402075e+00 1.967819819474914402e+04 0.000000000000000000e+00
5.476111677796675536e+01 4.233754287433173502e-01 4.118658432346791742e-02 5.517994361674965376e+00 6.036800485664992166e+00 6.274415012249900947e+00 1.968078167446489533e+04 0.000000000000000000e+00
7.340643935302126977e+01 5.239908423175155816e-01 7.859318402629049682e-01 9.362299916442141878e+00 3.929245823808907190e+00 1.265356271264945764e+00 1.968107485100490157e+04 0.000000000000000000e+00
8.250498123882691459e+01 6.013228267448159636e-01 1.550501977953286925e+00 1.021499150676154599e+01 2.967487411254308594e+00 2.416767356482388163e+00 1.968215967366540644e+04 0.000000000000000000e+00
7.076037259594464501e+01 3.522752588086561776e-01 6.942304261934580722e+00 5.278201733099432857e+00 1.370469908305406603e+00 4.009256034102136823e+00 1.968279770477051716e+04 0.000000000000000000e+00
9.592842837626507446e+01 6.754015801847300660e-01 3.776954602553292517e+00 4.300652537766183059e+00 1.880032130090282472e+00 3.247134154687810081e+00 1.968305401503081157e+04 0.000000000000000000e+00
8.542425856392965500e+01 4.322596157018178675e-01 8.000883801463439582e+00 8.939097654495828493e+00 2.624395264124728566e+00 5.822728436514284844e+00 1.968738247189213507e+04 0.000000000000000000e+00
5.673062590183135967e+01 2.437906689376897196e-01 1.916841823703660408e+00 8.523425950048435951e+00 1.589782075198050260e+00 5.840528190742817927e+00 1.968799635108241273e+04 0.000000000000000000e+00
5.313783005028162876e+01 5.513858158567811474e-01 6.479964613207236823e+00 4.140402839902851184e+00 1.344028836118654757e+00 4.590412671995534488e+00 1.968923120088693759e+04 0.000000000000000000e+00
6.072268418304926030e+01 4.524236716042925877e-01 1.366867777338408985e+01 1.233878002869728441e+01 1.792522959766809088e+00 5.295891241776865321e+00 1.969248458164974363e+04 0.000000000000000000e+00
