# Mf af A2220 A2221 phi2220 phi2221 logL logPrior
5.861179525903445864e+01 4.220277399570051546e-01 1.188130930811763974e+01 1.307082363286171045e+01 1.237506981692973795e+00 4.243224915237011174e+00 1.977753704140210539e+04 0.000000000000000000e+00
6.460030015301124706e+01 6.613474252973984280e-01 8.661690922494624800e+00 8.069552840750461087e+00 1.005921782401937747e+00 4.347492980413843355e+00 1.977949877817882225e+04 0.000000000000000000e+00
7.898333644114131857e+01 8.520702325897566709e-01 6.795621349875591299e+00 6.330634771713932629e+00 1.047650142166914877e+00 4.422539471472889616e+00 1.978048955815774389e+04 0.000000000000000000e+00
6.199592976534015065e+01 6.379842848739900596e-01 9.131508655672080366e+00 9.849098937746303406e+00 5.444160502843817806e-01 3.671399098297081220e+00 1.978061652163663530e+04 0.000000000000000000e+00
7.136985413767789055e+01 7.408725909679328980e-01 9.566201290906768406e+00 1.300289597160978161e+01 1.163570316918424830e+00 4.513943886994597143e+00 1.978068684327303708e+04 0.000000000000000000e+00
7.602632869411000627e+01 7.848697356519978019e-01 7.140786204004979432e+00 8.715002965150661751e+00 1.522406216359265763e+00 4.893546043555227598e+00 1.978082868285762743e+04 0.000000000000000000e+00
5.508186616296666216e+01 3.486901354556443122e-01 1.003574236328282865e+01 1.242044325566655338e+01 1.001135660113968262e+00 3.929889867411839433e+00 1.978101726837193928e+04 0.000000000000000000e+00
6.581317417838998551e+01 7.122228028543711176e-01 9.923920953028298797e+00 1.094303086012996040e+01 4.803193566379907464e-01 3.454118745130907442e+00 1.978113165799972558e+04 0.000000000000000000e+00
7.033721231271459828e+01 6.504489177156412838e-01 7.277964541616011473e+00 7.936676395655998029e+00 1.568007562083832518e+00 4.777826151983361136e+00 1.978130095788633844e+04 0.000000000000000000e+00
5.423961879957236931e+01 2.820779356514287461e-01 1.070726963584835367e+01 1.157183321445843838e+01 1.098575005460650234e+00 4.049055680072363828e+00 1.978148580578194378e+04 0.000000000000000000e+00
6.446047616372047173e+01 6.046644830304204188e-01 1.136744767069967921e+01 1.299219994969994296e+01 1.101445547308085082e+00 4.172294216620817231e+00 1.978161545164651034e+04 0.000000000000000000e+00
5.350039491229335198e+01 3.322164510283015515e-01 1.167766740268539571e+01 1.447583079975479414e+01 9.045012281312083680e-01 3.897090854256521908e+00 1.978182983089268964e+04 0.000000000000000000e+00
5.729902754812457744e+01 4.278193057592219462e-01 1.043345095173842729e+01 1.155550785740520503e+01 8.340501211927621172e-01 3.879279421519387760e+00 1.978190297930926317e+04 0.000000000000000000e+00
5.297456252846405533e+01 2.712471436461416086e-01 1.059845296315043228e+01 1.153453111613250570e+01 9.836303774771300024e-01 4.078804233040794536e+00 1.978211769999528406e+04 0.000000000000000000e+00
5.961468421997105338e+01 4.640465678556702223e-01 1.071022153515210462e+01 1.353559743271916105e+01 1.181026961458582214e+00 4.564576883439302790e+00 1.978214783352522500e+04 0.000000000000000000e+00
5.609104454013228747e+01 2.630105170227170497e-01 1.021814432621432012e+01 1.398788668917214828e+01 1.525108586711009018e+00 4.808894454196035895e+00 1.978224743632131140e+04 0.000000000000000000e+00
6.625890418936872095e+01 6.021523587278407863e-01 8.625642343974451620e+00 8.113528259373470775e+00 1.218699677713255269e+00 4.402356417608810801e+00 1.978232940166952903e+04 0.000000000000000000e+00
6.025106027701880151e+01 4.235745100834214516e-01 8.653610183192816052e+00 9.573683280834972109e+00 1.340158515921455296e+00 4.496250102213829258e+00 1.978235916038247888e+04 0.000000000000000000e+00
5.753392281772869410e+01 4.395645188933657854e-01 8.902356484246777057e+00 8.932910980475920582e+00 9.887208378206412407e-01 4.107485345003573762e+00 1.978248468663325548e+04 0.000000000000000000e+00
6.012640096489179342e+01 5.045014968880872086e-01 8.210051684198225175e+00 9.505276763886937985e+00 1.073029884601165662e+00 4.292282988791401799e+00 1.978259788715122340e+04 0.000000000000000000e+00
