# Network	H1	L1	
1.364319148127293424e+01 1.084638665552136239e+01 8.276023822682391895e+00
1.393531667459661350e+01 1.109436874393275119e+01 8.432557915302950846e+00
1.410467343655000505e+01 1.115942957727539664e+01 8.626061920804323435e+00
1.402921559447656286e+01 1.114263856011496223e+01 8.524112629179857237e+00
1.377912195048505417e+01 1.101729289900961284e+01 8.275473334122430913e+00
1.376514273502933428e+01 1.094010486988801034e+01 8.354236048351966204e+00
1.378738602458167684e+01 1.092442814188306777e+01 8.411235531339221083e+00
1.381580089088780383e+01 1.088598627835406596e+01 8.507153284392096282e+00
1.409814730680007244e+01 1.120454045933075271e+01 8.556636639442762871e+00
1.400958325232887880e+01 1.113592205523696954e+01 8.500568385915180158e+00
1.383467731153350400e+01 1.098070088820438706e+01 8.415610751338686413e+00
1.391152517095709662e+01 1.100924366979324454e+01 8.504533285330257542e+00
1.385418209561932024e+01 1.102326121992133778e+01 8.392024405109726359e+00
1.403896255316814923e+01 1.107544262843206262e+01 8.627110765115251212e+00
1.393943650237041787e+01 1.106282119779595874e+01 8.480676691704100989e+00
1.417960246983603234e+01 1.128918988595353490e+01 8.579936941578564458e+00
1.390081733089140137e+01 1.093782934268940288e+01 8.578846760317697218e+00
1.393522852820465729e+01 1.106942290922357941e+01 8.465132638656355013e+00
1.442848388135619331e+01 1.149894650795701523e+01 8.715238167812664472e+00
1.392335165842801814e+01 1.104376057244885345e+01 8.479096285729653459e+00
1.404666407002363115e+01 1.112020946128462562e+01 8.581941099381230842e+00
1.398214252074201625e+01 1.104894573726480367e+01 8.568611764184430157e+00
1.417456975515828965e+01 1.127336903029064175e+01 8.592414006013211036e+00
1.396259333342374021e+01 1.100594571164533342e+01 8.592041176977955885e+00
1.392841704721293361e+01 1.109787554122959286e+01 8.416528970571530266e+00
1.436931503530246523e+01 1.139174521167286969e+01 8.758159373755292521e+00
1.418664147652606822e+01 1.124841814011316465e+01 8.644876270292295217e+00
1.395070101788397920e+01 1.110048590826670711e+01 8.449927306832961449e+00
1.417791863631313198e+01 1.123300855894819428e+01 8.650600879274909616e+00
