# Network	H1	L1	
1.242015838085416668e+01 9.996822886894246807e+00 7.370472601778624622e+00
1.663434008710919088e+01 1.320502688597896856e+01 1.011575677219358305e+01
1.722213417577230743e+01 1.389563770768913997e+01 1.017414164757657602e+01
1.126686616244074379e+01 9.051431729783653068e+00 6.709236675167892017e+00
1.452618463789129244e+01 1.164423390439864470e+01 8.684575805055885667e+00
1.362304917853391117e+01 1.091688552212720431e+01 8.149176609788433723e+00
1.439382263178858246e+01 1.151045176165244044e+01 8.642431960858090179e+00
1.425776055876803028e+01 1.157258636932205143e+01 8.328203940571023978e+00
1.124438024281513293e+01 8.960802246323433806e+00 6.792651186929608897e+00
1.634388361084683083e+01 1.299026718575174222e+01 9.918441910284553131e+00
1.377714347867009437e+01 1.106974159321009132e+01 8.201859758092453490e+00
1.249511275132039323e+01 9.957666268746377725e+00 7.548027897966465893e+00
1.442690336050815780e+01 1.139278917988254491e+01 8.850982729403146010e+00
1.620531220887726320e+01 1.313572816817112709e+01 9.490247061014907004e+00
1.249985354056128095e+01 9.851191887265228431e+00 7.694176819891918484e+00
1.122207113520781441e+01 8.970070614664427566e+00 6.743345885508033710e+00
1.372435956655804468e+01 1.107991415180389083e+01 8.098984374650266105e+00
1.490294865788296086e+01 1.185922951483093790e+01 9.025328471255674501e+00
1.828250104683931454e+01 1.458751612866990577e+01 1.102062692061916849e+01
1.326921079534878523e+01 1.063125051825936573e+01 7.940306514827415008e+00
1.595158349789181251e+01 1.277093732281510974e+01 9.558042476728299874e+00
1.270611471274108162e+01 1.027233658569797292e+01 7.478265317803741929e+00
1.682991057046056937e+01 1.339568400799980985e+01 1.018830406728806715e+01
1.300591880237182174e+01 1.046931676863462179e+01 7.716691667539583577e+00
1.412900033033455038e+01 1.136930021560561244e+01 8.388543553086197591e+00
1.085328196733335560e+01 8.668142027190622656e+00 6.531235967173063095e+00
1.685196440259928252e+01 1.349973160517213699e+01 1.008691978825994084e+01
1.324943933608792968e+01 1.061520626235613385e+01 7.928747614113421882e+00
1.161422244040497276e+01 9.318179019100586657e+00 6.932654806291748351e+00
1.242689283440239478e+01 9.979006876317908947e+00 7.405881938035570933e+00
1.131147739721593659e+01 9.078473363598334345e+00 6.747654577270725262e+00
1.409989434155759014e+01 1.115090281973114550e+01 8.629274983913754582e+00
1.524674084369406479e+01 1.224507457398974353e+01 9.084121037954014710e+00
1.591242445954996043e+01 1.272710623956307430e+01 9.551231279147128106e+00
1.358347488871416076e+01 1.086699619723568944e+01 8.149796543570474228e+00
1.466938403176539474e+01 1.183597388575486953e+01 8.666057353095601101e+00
1.536268785406942783e+01 1.223377455152849613e+01 9.292305328816205190e+00
1.523145283314445209e+01 1.222630091335252800e+01 9.083761411687302001e+00
1.519968845895121845e+01 1.227712196311053638e+01 8.961183267408593167e+00
1.497257750256764908e+01 1.190239591188659141e+01 9.083559248835243238e+00
1.800005005876134234e+01 1.444967928550967962e+01 1.073352554680085902e+01
1.189865776332489844e+01 9.495702898189874119e+00 7.170054604955272914e+00
1.311630054666286327e+01 1.068640661453749097e+01 7.605133378130712885e+00
1.342780859401125682e+01 1.072684720113516654e+01 8.077177276802908423e+00
1.396277957214436505e+01 1.109083401393400692e+01 8.482488682907657562e+00
1.263826112831233672e+01 1.012417295068984302e+01 7.564837500695618999e+00
1.752078820969613915e+01 1.402304526902204884e+01 1.050391454991830820e+01
1.143831666988775098e+01 9.155278200223349927e+00 6.856819183640991966e+00
1.243946417949892336e+01 1.005616319016998794e+01 7.322147974857310615e+00
1.479037002487365271e+01 1.197736082472264663e+01 8.677434710044224175e+00
1.352414201925624582e+01 1.079283968170112118e+01 8.149664346591830366e+00
1.342088518045195045e+01 1.059059505966368420e+01 8.243752501688897283e+00
1.509554257387243403e+01 1.195170830833962050e+01 9.221283756178468849e+00
1.465729733175283300e+01 1.170379963637754450e+01 8.823686255921474597e+00
1.213351723757302381e+01 9.613191770998295027e+00 7.403295518111672635e+00
1.301362668671330525e+01 1.041456691745463736e+01 7.803286196404441100e+00
1.287951851930695746e+01 1.046491979973284181e+01 7.507825975229475368e+00
1.424853733661623600e+01 1.144938955155509142e+01 8.481290888166023834e+00
1.714919951927088348e+01 1.374448236575910087e+01 1.025593723894105302e+01
1.248063284522958583e+01 1.001791234778563222e+01 7.443630055927531686e+00
1.615440255485740906e+01 1.276180425368067439e+01 9.904598633721684919e+00
1.669563866741872360e+01 1.334990770107903657e+01 1.002618147081319755e+01
1.198158411408996749e+01 9.553209915906574423e+00 7.231496261883662235e+00
1.706874369078268572e+01 1.362517414887374656e+01 1.028088715016833454e+01
1.347526675761345416e+01 1.079168872718972416e+01 8.069836962683227810e+00
1.217064948187435292e+01 9.736507831455993411e+00 7.302405361156319330e+00
1.453065677321330362e+01 1.154342357118437157e+01 8.825494802964575669e+00
1.430546792513822751e+01 1.148198222721223871e+01 8.532906696498029575e+00
1.525448534125334987e+01 1.232070598096985314e+01 8.994416443383473236e+00
1.537358482356602174e+01 1.235991531124826359e+01 9.142188131194314948e+00
1.477522864875143149e+01 1.191640050732170586e+01 8.735375239335057884e+00
1.634065458711206986e+01 1.294997848261385620e+01 9.965693635424727859e+00
1.152583541333488171e+01 9.303967973226907162e+00 6.803018589453690090e+00
1.508693698919356407e+01 1.203218267770818528e+01 9.101771680621089544e+00
1.287631549388086682e+01 1.047538450673458854e+01 7.487711274750211032e+00
1.452063905844395642e+01 1.151031673682557077e+01 8.852206915993395597e+00
1.465197279972615974e+01 1.160071374231176300e+01 8.950069697653434631e+00
1.789546620443761071e+01 1.429931889450521787e+01 1.075998093991874960e+01
1.493312471215634929e+01 1.196265060470082098e+01 8.938299848330538921e+00
1.245454577425810427e+01 9.854887851383312025e+00 7.615569307658359932e+00
1.467157122112234902e+01 1.187240564444691060e+01 8.619801987874819105e+00
1.299405430322729238e+01 1.037210113255066446e+01 7.827193962804353866e+00
1.447924332978766238e+01 1.161766004153526133e+01 8.641670125763621257e+00
1.590643718034697329e+01 1.291308494361514825e+01 9.288001992425728659e+00
1.423695554934494290e+01 1.153154606988735331e+01 8.349511875079244305e+00
1.320789369978285066e+01 1.048481378963421307e+01 8.032255958412914509e+00
1.451887379376210951e+01 1.168584556835948618e+01 8.616188808959858392e+00
1.505502058695574341e+01 1.189043374500110772e+01 9.234242266120171294e+00
1.594188703509223615e+01 1.272542883734992358e+01 9.602459223823077039e+00
1.675550795744897670e+01 1.338112143754850791e+01 1.008427667141851813e+01
1.556940791471885355e+01 1.247706587587882687e+01 9.312856164673124937e+00
1.690087289260626591e+01 1.350771135388167998e+01 1.015781662131430707e+01
