# Mf af A2220 A2221 phi2220 phi2221 logL logPrior
5.851939990914699763e+01 2.455893147449992042e-01 8.317602935200737235e+00 9.419901169341027725e+00 1.827295046630947439e+00 5.048908692741910897e+00 1.977274951209826395e+04 0.000000000000000000e+00
6.501873939794178625e+01 7.386702792901723713e-01 1.056855464362363151e+01 1.216373790426349188e+01 5.276699546174613564e-01 3.435484917594594734e+00 1.977390458211798614e+04 0.000000000000000000e+00
6.551516383386795894e+01 5.631136537828251853e-01 9.496251483978609187e+00 8.107329031690436949e+00 1.387290501660287445e+00 4.592215397572108948e+00 1.977498126850081462e+04 0.000000000000000000e+00
6.459471190058960133e+01 5.183529841695455609e-01 6.733562162875161405e+00 6.654365247767923819e+00 1.307779705320827102e+00 4.443984731144473344e+00 1.977502803527072319e+04 0.000000000000000000e+00
5.882469861649873621e+01 4.288533744229141020e-01 9.700780007863169629e+00 1.231329982321916106e+01 9.472526978987019231e-01 3.612588275518515246e+00 1.977510395468942079e+04 0.000000000000000000e+00
5.829512428619985087e+01 2.635993803128818813e-01 9.961053196146472999e+00 1.341497300183522867e+01 1.807436951486506072e+00 4.970557073016967919e+00 1.977517035232411945e+04 0.000000000000000000e+00
7.048690037037134459e+01 6.158870649867336233e-01 9.526041850907652986e+00 1.436318229474991348e+01 1.910831100576349639e+00 5.136724934301335033e+00 1.977529963867098195e+04 0.000000000000000000e+00
8.865618327921417574e+01 9.132292635114934720e-01 4.443794091476284791e+00 2.100373689366807461e+00 1.153990992564791762e+00 3.968772457100381956e+00 1.977563851781520498e+04 0.000000000000000000e+00
6.777546783020821408e+01 6.556446032708201921e-01 6.100536358784140134e+00 6.104362342585018197e+00 1.165617249322673521e+00 4.608088654214839153e+00 1.977575792588426339e+04 0.000000000000000000e+00
6.896758815192382031e+01 7.310237025725853099e-01 8.716458660054650309e+00 7.975540210181281786e+00 7.859617693801272953e-01 4.103039674815128990e+00 1.977586176946088381e+04 0.000000000000000000e+00
7.155574419631155081e+01 6.327398789534006696e-01 7.387578835495286711e+00 8.052275232182509512e+00 1.622773488226207483e+00 5.027449656412575685e+00 1.977612438702950749e+04 0.000000000000000000e+00
5.754281022749168528e+01 4.006731721789903444e-01 9.328249171418217855e+00 1.201880432702973067e+01 9.142398469458765664e-01 4.111912154351034410e+00 1.977620694866775739e+04 0.000000000000000000e+00
6.246898347554844833e+01 6.450553752888232850e-01 8.638088983397748777e+00 8.181294868465208481e+00 7.850361340535413346e-01 4.163421375064961794e+00 1.977624763895304204e+04 0.000000000000000000e+00
7.408189237093569091e+01 7.306972593365450575e-01 7.381462922292651996e+00 5.168135489765729673e+00 1.453405277390574790e+00 4.675399175049492762e+00 1.977650340364397198e+04 0.000000000000000000e+00
6.806394261581418448e+01 6.938471551397074055e-01 8.021442005808252063e+00 1.177867610814848121e+01 1.327825564370529010e+00 4.774250345303181042e+00 1.977656269733913723e+04 0.000000000000000000e+00
6.083029481924381088e+01 3.792492784267117445e-01 7.714492667451679608e+00 9.681879857785277821e+00 1.622158012536756067e+00 4.840593958348087256e+00 1.977660693360040386e+04 0.000000000000000000e+00
5.631194811559277724e+01 5.027798911787185743e-01 8.943672735542609331e+00 9.103633582257067758e+00 5.725942843432794138e-01 3.300464402332864644e+00 1.977694319126222035e+04 0.000000000000000000e+00
5.720255533186884378e+01 5.553923613784146340e-01 1.113759740568188938e+01 1.390276077597968829e+01 2.516030304223584313e-01 3.156446380731239287e+00 1.977707853166373752e+04 0.000000000000000000e+00
7.231547206033631880e+01 7.794115307838086482e-01 1.034107496213193045e+01 1.200802059966442847e+01 8.170127140176199898e-01 3.790326214452338860e+00 1.977711559053455130e+04 0.000000000000000000e+00
5.620992641528718536e+01 2.752116382132852590e-01 9.946368819546115958e+00 1.281379032916361993e+01 1.222988459186669097e+00 4.247717369796263576e+00 1.977715168407556484e+04 0.000000000000000000e+00
6.988215587378142857e+01 7.742511889306795680e-01 8.137348316527496905e+00 6.705342762426825587e+00 8.709928645226459043e-01 3.900565850111043620e+00 1.977726761716739929e+04 0.000000000000000000e+00
7.354682094497823641e+01 7.878395050681022971e-01 6.126253894257753352e+00 5.782980979849881464e+00 6.439417957670252601e-01 3.426480351919585221e+00 1.977730620962455578e+04 0.000000000000000000e+00
5.832532327150675400e+01 5.092685453724699052e-01 1.213862923190713872e+01 1.442949388962735036e+01 5.795350843142910158e-01 3.561515042789441754e+00 1.977738570896141755e+04 0.000000000000000000e+00
6.105969799654442909e+01 6.725053896020136701e-01 8.513679674364199812e+00 1.052884435201957203e+01 2.154773352856065305e-01 2.973414124922840518e+00 1.977740195788237907e+04 0.000000000000000000e+00
6.433833751199897222e+01 5.516487793066490175e-01 8.205766079415333536e+00 8.231817356185116452e+00 1.234648137995451034e+00 3.972670153617203326e+00 1.977741524132813356e+04 0.000000000000000000e+00
6.300659473321402260e+01 5.186271337163187445e-01 7.528184785698621262e+00 9.919859449679947261e+00 1.265454335216819048e+00 4.443026074880644494e+00 1.977750206144130061e+04 0.000000000000000000e+00
5.608421550541059730e+01 4.800910860353794218e-01 1.166205802312420658e+01 1.266660735627498724e+01 6.604679095104692976e-01 3.458945265765992705e+00 1.977750850918354990e+04 0.000000000000000000e+00
7.116252170553779877e+01 6.308213718741759735e-01 7.928447414913923019e+00 9.624737329984506928e+00 1.545930410080353035e+00 4.727422554101934793e+00 1.977750951744714257e+04 0.000000000000000000e+00
5.745691539361212818e+01 5.115786126378717436e-01 8.119918233020397835e+00 9.710060479762679719e+00 4.852578980262305386e-01 3.275748953625258864e+00 1.977764978417042221e+04 0.000000000000000000e+00
5.758824954474555113e+01 4.385002509598890374e-01 8.573729050804750784e+00 9.898402889916765091e+00 7.073847739173945159e-01 3.510116404935612167e+00 1.977771616163121871e+04 0.000000000000000000e+00
7.582672872178943635e+01 7.952802027604848334e-01 5.587563304911804529e+00 5.554256532958824266e+00 1.116975196687942651e+00 3.999163614041109316e+00 1.977771718650229013e+04 0.000000000000000000e+00
6.763147735380101722e+01 7.375059293989981724e-01 7.820149879556712591e+00 7.509537086363957670e+00 9.349317261924489086e-01 4.325565356751412516e+00 1.977777556390222162e+04 0.000000000000000000e+00
5.037838328885035821e+01 2.364945606230127728e-01 1.167184384985475631e+01 1.428302948696937946e+01 6.776513908831106603e-01 3.359124741645866496e+00 1.977779756196613380e+04 0.000000000000000000e+00
7.242228670709876326e+01 6.689088919705423741e-01 8.855904998996855682e+00 1.016771250329768250e+01 1.521246931843792671e+00 4.851949516272854979e+00 1.977784789645242199e+04 0.000000000000000000e+00
8.312177399109260989e+01 8.439595521997249605e-01 6.333023686835952404e+00 6.844142961325605512e+00 1.614447435585003143e+00 4.926716868688756357e+00 1.977786173802238045e+04 0.000000000000000000e+00
6.124155572665619474e+01 6.297842293795301583e-01 8.725784962458789096e+00 8.514222495257165235e+00 5.018801164979662666e-01 3.273589124837327002e+00 1.977791977601697363e+04 0.000000000000000000e+00
7.590087209814089420e+01 7.285561818944817913e-01 8.248698652492283401e+00 1.091524445906765095e+01 1.692609291860581289e+00 5.142519135777427586e+00 1.977801778616415686e+04 0.000000000000000000e+00
8.435854011510630812e+01 8.607706370493284354e-01 6.348435076810052813e+00 5.839135984105134014e+00 1.491912231525071242e+00 4.896055707357932718e+00 1.977802114390738643e+04 0.000000000000000000e+00
5.811395882281345138e+01 4.590831359671215806e-01 9.936893870124841044e+00 1.121588176503605183e+01 7.243449944789466244e-01 3.413146067907739667e+00 1.977803125464079130e+04 0.000000000000000000e+00
5.070149584166347267e+01 2.517197612391947614e-01 1.194190875094467152e+01 1.367624725829724497e+01 6.497962226521314388e-01 3.667663934295900319e+00 1.977806784013541619e+04 0.000000000000000000e+00
6.820341261052395510e+01 6.544067397605178860e-01 1.000825835087711724e+01 9.375209184875743063e+00 1.201497981611381327e+00 4.262865034252789620e+00 1.977807669453760536e+04 0.000000000000000000e+00
6.430813745255518654e+01 5.956813733651262766e-01 6.860345900105105699e+00 6.852759371496163432e+00 1.318181057656815591e+00 4.723686936297673888e+00 1.977811171651926634e+04 0.000000000000000000e+00
7.659434217540406564e+01 8.166545112014053087e-01 5.457593047740833647e+00 4.837475677986049050e+00 8.463901825944090129e-01 3.350714070612808904e+00 1.977815184710635731e+04 0.000000000000000000e+00
6.331167509410038008e+01 4.696023467636351589e-01 8.506221957383855781e+00 9.729538151443311023e+00 1.373563326577437405e+00 4.657212002466432743e+00 1.977817233110962115e+04 0.000000000000000000e+00
5.539795131165941200e+01 2.442698393697119996e-01 1.019354024544784743e+01 1.276945989542301696e+01 1.252281357171652676e+00 4.556068821448052475e+00 1.977818406597380090e+04 0.000000000000000000e+00
6.281659825529235519e+01 4.372415423948860513e-01 8.246146670078728036e+00 9.497547372695921197e+00 1.476500719273621698e+00 4.636735239096158701e+00 1.977820238031483314e+04 0.000000000000000000e+00
6.056636573769650767e+01 4.592508175597345699e-01 1.128995964755612924e+01 1.157057798628637180e+01 1.295130035370982036e+00 4.403254049277702364e+00 1.977825779151551251e+04 0.000000000000000000e+00
6.937624729639891541e+01 7.165316584376824061e-01 6.080863279744383121e+00 5.400959832968027285e+00 1.225406649809095194e+00 4.429151226408153619e+00 1.977826880964825978e+04 0.000000000000000000e+00
7.438520005429833759e+01 7.607740124625320677e-01 5.619805542888367533e+00 4.015154887813792151e+00 1.152606600567377404e+00 4.316508945685630927e+00 1.977827318080167606e+04 0.000000000000000000e+00
7.700205714601534623e+01 7.967290934295189198e-01 6.595245321218028423e+00 5.708327972843925124e+00 1.025679900224180763e+00 3.739784873270323828e+00 1.977831479154804401e+04 0.000000000000000000e+00
7.381581246554503650e+01 7.973652268037254576e-01 6.559939023844977513e+00 5.851149065280648820e+00 1.226637288064338138e+00 4.602985572326030450e+00 1.977832232025486883e+04 0.000000000000000000e+00
6.819866078434503720e+01 7.689311631402014902e-01 8.057234813272033946e+00 8.638192300534171864e+00 6.985578856964198557e-01 3.930594845522937586e+00 1.977836775964772096e+04 0.000000000000000000e+00
6.215947195244994816e+01 5.231318973144939433e-01 9.211361217712600080e+00 1.083408210110144587e+01 1.258229191551778703e+00 4.758931792007286887e+00 1.977839913445675847e+04 0.000000000000000000e+00
7.648340046012410198e+01 7.970828276091794784e-01 7.226824064751123267e+00 7.506975020228318307e+00 1.537969672003220989e+00 4.939166708236976788e+00 1.977840042057650498e+04 0.000000000000000000e+00
5.735123143895977904e+01 2.528151781788354757e-01 9.167279055451320602e+00 1.418762919740201056e+01 1.752656586190666221e+00 5.087871545867687750e+00 1.977843099768169486e+04 0.000000000000000000e+00
5.837150153909097838e+01 3.208040229351497019e-01 9.862121858521271989e+00 1.432415067922960716e+01 1.404293172918481325e+00 4.628040572200475822e+00 1.977844497127263458e+04 0.000000000000000000e+00
6.602509348401443390e+01 6.779464564482577948e-01 6.544555427543777171e+00 5.237898104142741040e+00 8.435162694879637657e-01 3.545018928149454407e+00 1.977844873451667081e+04 0.000000000000000000e+00
6.815884825241087697e+01 6.083110731104678370e-01 7.661500364167033617e+00 8.182063717011049064e+00 1.618638854880739775e+00 5.109825271262337765e+00 1.977845290923395078e+04 0.000000000000000000e+00
6.991133951509895894e+01 7.538298405456836937e-01 9.789581364138568276e+00 1.132976404630520761e+01 5.567085670519673624e-01 3.416008451142924507e+00 1.977845834749117785e+04 0.000000000000000000e+00
6.080906151526153280e+01 4.758172411318696282e-01 7.507531261888546581e+00 6.844664163594457840e+00 1.182218196940142851e+00 4.405872735057768885e+00 1.977846783683755348e+04 0.000000000000000000e+00
7.049321987504681886e+01 7.041619059274679682e-01 9.246099110451043046e+00 1.187607701181701003e+01 1.243716273160772268e+00 4.728102553667620001e+00 1.977847846474893959e+04 0.000000000000000000e+00
6.258519011080753103e+01 5.422474924717554101e-01 1.105382638701556530e+01 1.344965192602836801e+01 1.094366533534025132e+00 4.006159894888212669e+00 1.977848370247134153e+04 0.000000000000000000e+00
5.964617063130652497e+01 3.828204906500458082e-01 7.954618308006670802e+00 9.650722182404388505e+00 1.573178231016891804e+00 4.931078891564223632e+00 1.977850425113910751e+04 0.000000000000000000e+00
5.661604455601771946e+01 4.137273295975288367e-01 1.193960285436048530e+01 1.301802718325094688e+01 1.030115009697794681e+00 3.945566035708916175e+00 1.977852127200670657e+04 0.000000000000000000e+00
6.350271015403129837e+01 4.560792378125858582e-01 8.492914373105584502e+00 9.566390589905218178e+00 1.482836818582270899e+00 4.737553978643617825e+00 1.977854589145506179e+04 0.000000000000000000e+00
7.293927634892705214e+01 7.077988982665153195e-01 6.327105729584930671e+00 6.603600349933265612e+00 1.389371449993698882e+00 4.785480225235547280e+00 1.977856755269398127e+04 0.000000000000000000e+00
7.532253918580703100e+01 7.940862706702741525e-01 8.468979431120972734e+00 1.165532115158722881e+01 1.286864093785754060e+00 4.621708871295397536e+00 1.977857257795018813e+04 0.000000000000000000e+00
6.076868500776988924e+01 4.466124193927162866e-01 8.908619091867219453e+00 8.598107442094196529e+00 1.164125511762495790e+00 4.296807231956781159e+00 1.977859528001243962e+04 0.000000000000000000e+00
6.537077607201992180e+01 6.126271090291668386e-01 8.360754572432332665e+00 7.864779932272433882e+00 1.098469118968860680e+00 3.769289472820556153e+00 1.977861314557526930e+04 0.000000000000000000e+00
6.916498819206304915e+01 7.068909426130942641e-01 8.799898051548405320e+00 1.032200701304085833e+01 7.113053644936671027e-01 3.498781687097574977e+00 1.977862774930555679e+04 0.000000000000000000e+00
7.111379928991831889e+01 6.510472767675714589e-01 7.728364375031246070e+00 6.862754414203763531e+00 1.583038722038008883e+00 4.753522624136405916e+00 1.977862801853681231e+04 0.000000000000000000e+00
6.109521167040341538e+01 5.865732117234124798e-01 1.072207592779050955e+01 1.129577182953148728e+01 7.010495470911008997e-01 3.896248761088269230e+00 1.977865230132970828e+04 0.000000000000000000e+00
6.756187401718692342e+01 6.747978176248564663e-01 6.104513484646025390e+00 5.240139479937189648e+00 9.449099151846015454e-01 3.823608412494805542e+00 1.977865332923052847e+04 0.000000000000000000e+00
5.650428840799103369e+01 3.811962150282690587e-01 1.096391185765126686e+01 1.265134830917871334e+01 8.282639015640842484e-01 3.858325577963150455e+00 1.977869249326386853e+04 0.000000000000000000e+00
6.705380679134505328e+01 7.081874411636377431e-01 6.943350196006266906e+00 8.253316116083880161e+00 5.418737406438352000e-01 3.128546472552426572e+00 1.977869692466768902e+04 0.000000000000000000e+00
5.513092991453000735e+01 4.475197881937319488e-01 1.134617872914970604e+01 1.396614248663848912e+01 6.171063494080398781e-01 3.772118432237625552e+00 1.977871448451839387e+04 0.000000000000000000e+00
5.625778987108636642e+01 4.508149070456997087e-01 1.053646047349021408e+01 1.159944286815182579e+01 1.061727007397870848e+00 4.259472640198491256e+00 1.977872135660298954e+04 0.000000000000000000e+00
6.133057411468360698e+01 5.087310001852036745e-01 1.173520838200672856e+01 1.278469259280814008e+01 1.156798695216598727e+00 4.166061322428613600e+00 1.977872607950583551e+04 0.000000000000000000e+00
6.251759120943248149e+01 4.703517363464819190e-01 9.961230353397573012e+00 1.184553049215119280e+01 1.264878740288401193e+00 4.279942069651404779e+00 1.977872757087901846e+04 0.000000000000000000e+00
6.051514789007842410e+01 6.011923187476678754e-01 8.192410775540391654e+00 8.383319454004267257e+00 6.394957296419443438e-01 3.826424326727997816e+00 1.977875914769814699e+04 0.000000000000000000e+00
8.048280593304291131e+01 8.456632107824650912e-01 5.943188186372672988e+00 4.693196696857594219e+00 1.102951165943492740e+00 3.795013767703622865e+00 1.977876615989081256e+04 0.000000000000000000e+00
5.959404530382059306e+01 5.484364971162163371e-01 9.684410202957904445e+00 1.308899788597290126e+01 8.448960716652256231e-01 3.930460921111937012e+00 1.977877158321553725e+04 0.000000000000000000e+00
5.626755059269847692e+01 4.317823143873947833e-01 9.407714582791221858e+00 8.415261666185683609e+00 9.643155318060028236e-01 3.944952239166871877e+00 1.977877763704023528e+04 0.000000000000000000e+00
6.835668476131536409e+01 7.083250198034379830e-01 7.832765757462039957e+00 6.320313305553933780e+00 9.241649681235122316e-01 3.614828650613598704e+00 1.977880603358419467e+04 0.000000000000000000e+00
6.303138451129728992e+01 5.899460254746617949e-01 7.726580400649042168e+00 5.849771284921308379e+00 9.996905186159501522e-01 3.900902120573130016e+00 1.977880927799467099e+04 0.000000000000000000e+00
5.964586076089475597e+01 6.394264635527998619e-01 9.262511426052812524e+00 1.070855725007805859e+01 3.155584184379682799e-01 3.240088769840223648e+00 1.977881177577737253e+04 0.000000000000000000e+00
7.258419930646938667e+01 6.695287211741057787e-01 7.697865840041777652e+00 7.432393444240659619e+00 1.610684964248993545e+00 4.788968963530185974e+00 1.977882595097753801e+04 0.000000000000000000e+00
6.068108653722745061e+01 5.496179469181299293e-01 9.813430876513173473e+00 1.091016304615175159e+01 8.872510317444727290e-01 4.265867141408266505e+00 1.977883709318234833e+04 0.000000000000000000e+00
5.750331578383846676e+01 3.630795470853436235e-01 1.143537627154150549e+01 1.373957288869585369e+01 1.397622514604670574e+00 4.498016059007097667e+00 1.977885546595726919e+04 0.000000000000000000e+00
6.596196344446593685e+01 6.786299806517349653e-01 9.368567051323683614e+00 8.273939249043586130e+00 1.040178765139845085e+00 4.238691473283680011e+00 1.977885593256276843e+04 0.000000000000000000e+00
6.826653179991832587e+01 6.811904865523943364e-01 9.319203143460487837e+00 1.146438366251290475e+01 8.193678096365348829e-01 3.640172588632311523e+00 1.977886006437791366e+04 0.000000000000000000e+00
6.874448039151893397e+01 6.585199528262368762e-01 1.064698966882174958e+01 1.354575434384248211e+01 1.391306766410720597e+00 4.533880285638257845e+00 1.977886906705590081e+04 0.000000000000000000e+00
6.219024233190192774e+01 5.865921319528597522e-01 9.226116568368755821e+00 1.194645865024347486e+01 1.257099080198263774e+00 4.636887605905711141e+00 1.977888773291648249e+04 0.000000000000000000e+00
5.994042853933625992e+01 5.827463272781231440e-01 9.257040361825898955e+00 1.109751546161318281e+01 4.071427261631794248e-01 3.143700980387409416e+00 1.977889242371944056e+04 0.000000000000000000e+00
6.448127342392045591e+01 6.954846845946535128e-01 1.069993192886674471e+01 1.356717941872087962e+01 4.187492166176065567e-01 3.460760313544121836e+00 1.977891702430412624e+04 0.000000000000000000e+00
5.920974480743478097e+01 4.127344992175024374e-01 7.965849812477046932e+00 1.006413178874942282e+01 1.385762014222899685e+00 4.802763370477096672e+00 1.977892966211129897e+04 0.000000000000000000e+00
6.379430176818366505e+01 5.601709786105100175e-01 8.746086706198315852e+00 1.102610446871826433e+01 9.754672532141939190e-01 4.048610911484593622e+00 1.977893122778797260e+04 0.000000000000000000e+00
5.315012228511564985e+01 2.217978363525934804e-01 9.409527045110380072e+00 1.157288177309873412e+01 1.301259394007421966e+00 4.430220839001652422e+00 1.977893748286668051e+04 0.000000000000000000e+00
7.131791314348366484e+01 6.998775427477147426e-01 8.084263731689873111e+00 7.569446333999795939e+00 1.296560313913492468e+00 4.153007668066756253e+00 1.977894322986362749e+04 0.000000000000000000e+00
6.266180980969352987e+01 4.618580081311011165e-01 1.074120241546374288e+01 1.243558288814778123e+01 1.377360068660352432e+00 4.572258564485344401e+00 1.977895021737086790e+04 0.000000000000000000e+00
5.868529163644215885e+01 3.106523625906457697e-01 1.107004946422494562e+01 1.368830227447501713e+01 1.499589872198241247e+00 4.695727088525372572e+00 1.977895510372448553e+04 0.000000000000000000e+00
5.830974041839066047e+01 5.096183604644224374e-01 8.793395266627811679e+00 9.272936129417740148e+00 6.031741008740549859e-01 3.370007024605718104e+00 1.977895984249072717e+04 0.000000000000000000e+00
6.647840447409706144e+01 7.013150901550099237e-01 1.002525912535289443e+01 1.131211161820062117e+01 6.584406687419014359e-01 3.871685563158212773e+00 1.977897063497991621e+04 0.000000000000000000e+00
7.739599916246461930e+01 8.375069827181230719e-01 5.440902793351463096e+00 3.497450223318323559e+00 8.418560093658917776e-01 3.595936572518936281e+00 1.977897450812678653e+04 0.000000000000000000e+00
5.677814129624442785e+01 4.121791045626712058e-01 8.683939783998052775e+00 1.123101611068914352e+01 1.051969633635337020e+00 4.371223036555515584e+00 1.977900318798063745e+04 0.000000000000000000e+00
6.514211897850469768e+01 6.220752784467702412e-01 9.548228718057549358e+00 1.332009787143639201e+01 1.001609629859702144e+00 4.133219707555347178e+00 1.977900585153651991e+04 0.000000000000000000e+00
5.666567512611052848e+01 4.873539975587376505e-01 1.019008707808175451e+01 1.349917862023422011e+01 4.163399100782396722e-01 3.297676807359585460e+00 1.977901860124051746e+04 0.000000000000000000e+00
6.885271854816608084e+01 7.697435949091052665e-01 9.394948815973144463e+00 1.200396908833701382e+01 3.273906350791791486e-01 3.091521912638585334e+00 1.977904210074238290e+04 0.000000000000000000e+00
6.547592739390749728e+01 5.996820290150736144e-01 1.012321396553598518e+01 1.267048591838193339e+01 9.898121273255680030e-01 3.974207301903011746e+00 1.977904647024407677e+04 0.000000000000000000e+00
7.801734088143045653e+01 8.200882673952177848e-01 5.966117083320476411e+00 5.691912081820348135e+00 1.109404682786937046e+00 3.888662668055464344e+00 1.977905460639468220e+04 0.000000000000000000e+00
7.136358282574190071e+01 7.595491729775571965e-01 9.524038896593159720e+00 1.153462637805255930e+01 6.974711782662127435e-01 3.714052147319682362e+00 1.977907190410052135e+04 0.000000000000000000e+00
6.087598159221104765e+01 4.883203162012504928e-01 7.522204764826474488e+00 8.459530765423066256e+00 1.327296152530274664e+00 4.726655788169527916e+00 1.977907752265558156e+04 0.000000000000000000e+00
6.382905486284423802e+01 7.146500547793777081e-01 8.979304538589307327e+00 1.063119737480335303e+01 5.089559116380107939e-01 3.395013815692648596e+00 1.977909226830220723e+04 0.000000000000000000e+00
6.969846255926779577e+01 6.567467034141447613e-01 7.088779233243307942e+00 8.833924950863824677e+00 1.299349645750945026e+00 4.522801517934462723e+00 1.977911000484558826e+04 0.000000000000000000e+00
5.850762615526058852e+01 5.078131691174662121e-01 1.052014047756740567e+01 1.061126277512588700e+01 7.757087140937924952e-01 3.957127668352311112e+00 1.977914322414298294e+04 0.000000000000000000e+00
6.708723383870535883e+01 6.674006336092522806e-01 6.445720700790412039e+00 7.013077367795537143e+00 1.155348289592199151e+00 4.482415507174851932e+00 1.977921918855364129e+04 0.000000000000000000e+00
7.086920694045518587e+01 7.478738085010158132e-01 6.258209399261748906e+00 5.792758452129778135e+00 9.651580820052403364e-01 3.586187860062261201e+00 1.977922066385659855e+04 0.000000000000000000e+00
6.634147574809212244e+01 5.716616027026346636e-01 8.384014592258127507e+00 1.206222147355522623e+01 1.409130143523597889e+00 4.646612947366035584e+00 1.977922136767339543e+04 0.000000000000000000e+00
5.546766893104383200e+01 3.349760956302683668e-01 8.358981112484213938e+00 9.019108543009441092e+00 1.008588029902585337e+00 3.957219701707987536e+00 1.977923548497158117e+04 0.000000000000000000e+00
6.201312394346096113e+01 5.627691304506198255e-01 1.008547277019371968e+01 1.074895650058304319e+01 7.544170543602513046e-01 3.583018757448869884e+00 1.977924299334918032e+04 0.000000000000000000e+00
5.635342759644361621e+01 3.169926424453387570e-01 1.096757384830773496e+01 1.449907055767851460e+01 1.554760589224952749e+00 4.864702649611428065e+00 1.977925090055446344e+04 0.000000000000000000e+00
5.950307001187137246e+01 5.348564384174001596e-01 1.251471221588384708e+01 1.429528432171489527e+01 7.679536584016809497e-01 3.742934501908167011e+00 1.977926920610501111e+04 0.000000000000000000e+00
7.239045495788759865e+01 8.065636955151559429e-01 6.150552782513818428e+00 6.657046807871182637e+00 6.381358732450095328e-01 3.599659481621890755e+00 1.977928937893980765e+04 0.000000000000000000e+00
5.766894615551515813e+01 3.897628587989380167e-01 8.887426829021277896e+00 1.145271484596707978e+01 1.162607480995822007e+00 4.550138880203788538e+00 1.977932576239053742e+04 0.000000000000000000e+00
5.888326911496366733e+01 4.617922959719312770e-01 1.067214280387983649e+01 1.466025613220088530e+01 1.064755382871625855e+00 4.456752259414328066e+00 1.977934524143489398e+04 0.000000000000000000e+00
6.906122849815726283e+01 6.483988339768271825e-01 7.236389458637189520e+00 9.868680186085386552e+00 1.444749229937036805e+00 4.920246617690266611e+00 1.977936964093206552e+04 0.000000000000000000e+00
5.775388116272027617e+01 2.615587111915581575e-01 1.085892650612760946e+01 1.434727161291019470e+01 1.660625354612627724e+00 4.957827881801171621e+00 1.977938388510534060e+04 0.000000000000000000e+00
7.430985979248124806e+01 8.159399351077644136e-01 6.709116685843561356e+00 7.039257686081802134e+00 1.029993857433862958e+00 4.409075451687241021e+00 1.977939163838854438e+04 0.000000000000000000e+00
7.298456279805743918e+01 8.137519331007576628e-01 6.042145611125507187e+00 5.180927354566550846e+00 8.159254635997772453e-01 3.859196228753846825e+00 1.977939717521054263e+04 0.000000000000000000e+00
