# Mf af A2220 A2330 phi2220 phi2330 logL logPrior
9.741910876000265773e+01 9.422036269504238115e-01 4.020300663118722895e+01 4.835538175774074077e+00 5.123099379241650375e+00 4.288277513170128508e+00 3.803498245417291400e+03 0.000000000000000000e+00
9.499118634397504479e+01 9.594663403169042537e-01 3.427117030921058216e+01 5.743256027293627497e+00 4.614570431053335753e+00 1.657954290739581671e-01 5.859546830930665237e+03 0.000000000000000000e+00
9.682725347237250446e+01 7.310859151874488093e-01 4.120673348138225123e+01 5.926939133896027556e+00 5.108905954198833754e+00 5.839994005700199331e+00 8.646238064536863021e+03 0.000000000000000000e+00
8.935982941770541288e+01 7.582162935086417255e-01 3.968561500941389397e+01 1.069993408847526695e+00 5.136277329368400757e+00 2.402921245172793263e+00 8.783989404160873164e+03 0.000000000000000000e+00
9.520009449130922974e+01 6.671619329240715546e-01 3.931902783543215207e+01 7.411338371015450122e+00 5.681897120749265784e-02 6.530699239753260388e-01 9.266903050674896804e+03 0.000000000000000000e+00
7.573445026897749699e+01 6.544423377495298677e-01 3.963738034376296326e+01 3.292521869421260572e+00 5.024926142799110984e+00 2.876994019181813744e+00 1.018936201723128033e+04 0.000000000000000000e+00
9.515010073262428136e+01 7.752818210037014657e-01 4.217180390495417441e+01 2.024920835275732856e+00 2.758456594686109487e-01 3.633831391815648626e+00 1.061212216597357838e+04 0.000000000000000000e+00
9.137470864911777824e+01 5.419836963817417086e-01 3.699041604507460335e+01 2.422642584597262783e+00 5.665123189873411569e+00 3.261261214826352561e-01 1.075128767331381823e+04 0.000000000000000000e+00
8.731414691332402356e+01 9.317985636747854183e-01 3.059129173650889655e+01 4.853625767991599282e+00 3.179061730208888381e+00 5.354435420137493296e-01 1.108764726304279793e+04 0.000000000000000000e+00
7.695587608096873566e+01 8.915854563414953304e-01 3.610543011839831706e+01 8.543394030934843564e-02 2.885994491559142006e+00 1.652912181282091941e+00 1.157273335666799903e+04 0.000000000000000000e+00
9.634253559546662871e+01 5.627551799429564294e-01 3.420057995867500011e+01 2.807762971405407981e+00 7.898436144518980462e-02 8.340166223500639076e-01 1.173967768983385758e+04 0.000000000000000000e+00
