# Network	H1	L1	
5.444213240330800119e+01 4.448358897188952454e+01 3.138719631950754163e+01
5.849603123042751207e+01 4.760444054658384516e+01 3.399415993899415867e+01
5.354578292480963597e+01 4.381319061194159303e+01 3.078238453129497287e+01
5.581664742353258646e+01 4.545266200854187844e+01 3.239681536725795752e+01
5.513031657934182306e+01 4.527666069361146839e+01 3.145434473286687904e+01
5.639390248511103465e+01 4.598059861698315842e+01 3.265052508496760453e+01
5.626419903966313285e+01 4.587195360356068363e+01 3.257950223940822809e+01
5.349733830835052117e+01 4.358355489855909326e+01 3.102320016507636424e+01
5.544111205904349760e+01 4.546454685108001570e+01 3.172840818524258566e+01
5.473619501007875954e+01 4.488072141054323794e+01 3.133323937690733985e+01
5.369918562321272049e+01 4.388465308836587297e+01 3.094737080771216853e+01
5.465305471304620255e+01 4.488041585004558698e+01 3.118821352040219352e+01
5.236387705327462072e+01 4.284337258131812831e+01 3.010682723085942669e+01
5.354854024095615017e+01 4.380978381692589352e+01 3.079202825166796842e+01
5.417725954827100310e+01 4.429999369800339082e+01 3.118791449452145415e+01
5.626894565829984884e+01 4.580855170245461494e+01 3.267676294280452964e+01
5.277667770060733687e+01 4.293936159824153265e+01 3.068532115929771109e+01
5.313228221219593195e+01 4.341586975420359096e+01 3.062844538272326744e+01
5.630065620336443288e+01 4.602329125388801145e+01 3.242869949734698309e+01
5.443760986087495723e+01 4.435257867129735132e+01 3.156425403159735410e+01
5.831345524024840898e+01 4.766273185940757173e+01 3.359647382917840730e+01
5.509347039877147267e+01 4.475319783007122254e+01 3.213163183784504184e+01
5.672719194337426529e+01 4.618755579841426595e+01 3.293454106479692456e+01
5.632102399951045868e+01 4.583969858310697987e+01 3.272277155381758007e+01
5.593217756545674746e+01 4.581474230293492411e+01 3.208454261680300590e+01
5.343108299651936477e+01 4.353028569566482275e+01 3.098378378175814873e+01
5.361254144025994606e+01 4.388714149072869475e+01 3.079323645634459439e+01
5.636642173174074344e+01 4.621772933682574802e+01 3.226600368481309289e+01
5.617481387254379399e+01 4.605339796250147799e+01 3.216666363989904198e+01
5.404881007828531381e+01 4.430924982570891757e+01 3.095099757296152632e+01
5.475388100081651288e+01 4.450496158200871122e+01 3.189507609703265700e+01
5.478867252744634442e+01 4.466922632985281183e+01 3.172473571855466545e+01
5.369020618363777686e+01 4.402671444149891755e+01 3.072924755877121683e+01
5.347972712138519569e+01 4.359963912868795433e+01 3.097019019680062257e+01
5.639226966260982010e+01 4.593101768419662534e+01 3.271742184516562446e+01
5.742061835537283088e+01 4.691154546000583281e+01 3.311244954495492010e+01
5.619634035639163017e+01 4.579546896659275745e+01 3.256998144889325175e+01
5.620154213200336102e+01 4.597042981594353961e+01 3.233160869107440050e+01
5.309964542504661011e+01 4.344533610291912140e+01 3.052990525976236569e+01
5.544508626178988919e+01 4.538141322295510349e+01 3.185411942692369180e+01
5.690386648283109849e+01 4.638340893257387876e+01 3.296406219642073410e+01
5.549862334597649749e+01 4.527165199300904419e+01 3.210256561588882818e+01
