# Mf af A2220 A2330 phi2220 phi2330 logL logPrior
6.236915444388090890e+01 5.327290898964220922e-01 3.164526154107876010e+01 1.156564272951996708e+00 1.153095334058827026e+00 5.784508007698631715e+00 1.977505520337374401e+04 0.000000000000000000e+00
6.581201767442126993e+01 6.430373366217725373e-01 3.272008239506419613e+01 2.520187502601119345e+00 1.054132034333748358e+00 5.722571308555631120e+00 1.977667706262783031e+04 0.000000000000000000e+00
6.215136651704730042e+01 5.755683025815937492e-01 3.159699623850404393e+01 3.416639643762496181e+00 9.823951680733696845e-01 4.920969915716075782e+00 1.977764501536533135e+04 0.000000000000000000e+00
6.517400368978307768e+01 6.260629217970502536e-01 3.057815950544120653e+01 4.124515631903131196e-01 1.127374308264398106e+00 5.035181253381247224e+00 1.977774360902302215e+04 0.000000000000000000e+00
6.760263417926815066e+01 6.766873482893983605e-01 2.969430521209290319e+01 5.306813534280609979e+00 1.037184204869822324e+00 4.900307596293381529e+00 1.977779666937613001e+04 0.000000000000000000e+00
6.639598552469750814e+01 6.315653900763380513e-01 3.099415334189258076e+01 1.877842322818833232e+00 1.144303467521918138e+00 5.899136102871533005e+00 1.977782018939478439e+04 0.000000000000000000e+00
6.760810194920516381e+01 6.661807747351572440e-01 3.060034532069572322e+01 2.693821729341393745e+00 1.054776785896414104e+00 5.462728957395959206e+00 1.977782821389074161e+04 0.000000000000000000e+00
6.814586763379504930e+01 6.860327923770347391e-01 2.787608923275397643e+01 1.059003070027398685e+00 1.137955020903284264e+00 4.788459780409858091e+00 1.977799194040936709e+04 0.000000000000000000e+00
6.155363957468248515e+01 5.307457012254842565e-01 3.305477901560718124e+01 3.401939581228483167e+00 1.047110382233772619e+00 5.042759485698849353e+00 1.977802199608896626e+04 0.000000000000000000e+00
6.200583887156894036e+01 5.769013064403148983e-01 3.251416380911194182e+01 4.629901401771745029e+00 9.640836633296093749e-01 4.888396281632662266e+00 1.977838767258268126e+04 0.000000000000000000e+00
7.141190196900524256e+01 7.319471444935915505e-01 2.649792159854396800e+01 2.781076910711020478e+00 1.096391265205485466e+00 4.532781370700424972e+00 1.977841410524250387e+04 0.000000000000000000e+00
6.500031725520429404e+01 6.153334585487604258e-01 3.095627933594112235e+01 4.733347464823687289e+00 1.033095043592833218e+00 4.985694511515925242e+00 1.977842525383577959e+04 0.000000000000000000e+00
6.362137132450342136e+01 6.045340522315069132e-01 3.002439880075185386e+01 3.036664546108044149e+00 1.060594298518962919e+00 5.045400773701536501e+00 1.977864933487113740e+04 0.000000000000000000e+00
6.418562845391898009e+01 6.056021717919375380e-01 3.027814364037157446e+01 2.566423838377131617e+00 1.114697456817398846e+00 5.138373883579860468e+00 1.977865978855071808e+04 0.000000000000000000e+00
6.940678063073323756e+01 6.950356501598156100e-01 2.756304397736311174e+01 2.369193937954902296e+00 1.146655476747446833e+00 4.555385437997657050e+00 1.977869596399929287e+04 0.000000000000000000e+00
6.509743433621862607e+01 6.293165626836537685e-01 3.099137199335320147e+01 6.653838613079989805e-01 1.097054729599875156e+00 5.142432530641491972e+00 1.977880586612384286e+04 0.000000000000000000e+00
7.093393948798544102e+01 7.304169080192010055e-01 2.664605580314115230e+01 1.529735887967812458e+00 1.102820477671911270e+00 5.336558661199698683e+00 1.977883732427847281e+04 0.000000000000000000e+00
6.291214903466541131e+01 5.778188551982714749e-01 3.050336630770614477e+01 1.796350966714142849e+00 1.080281224874874546e+00 4.926717855765385679e+00 1.977925280190967896e+04 0.000000000000000000e+00
