# Network	H1	L1	
5.708845724339201411e+01 4.641545950435371282e+01 3.323698345864586656e+01
5.265696605425977594e+01 4.296997914030589527e+01 3.043578431256770145e+01
5.321569485772914021e+01 4.344004325928823107e+01 3.073878365879344443e+01
5.637504166336383093e+01 4.594642952430059069e+01 3.266605174358368657e+01
5.726062500297032898e+01 4.682240690209272316e+01 3.296121034831170249e+01
5.677015825021996420e+01 4.641936988613143455e+01 3.268169161976674530e+01
5.282530613983067269e+01 4.313527173741962173e+01 3.049362721792539332e+01
5.316725323108252610e+01 4.343854017585477578e+01 3.065697381557263057e+01
5.314346372843400701e+01 4.345700550043617483e+01 3.058948201572626502e+01
5.404212790873250327e+01 4.416048675284770297e+01 3.115129208645071301e+01
5.364460458762264494e+01 4.373514307290169967e+01 3.106414109154158609e+01
5.549764396861316129e+01 4.553712498632171446e+01 3.172315769350616321e+01
5.707505694478579983e+01 4.648557719502966989e+01 3.311575513400652682e+01
5.562985347069730580e+01 4.557791459014609359e+01 3.189567837160076991e+01
5.412998896667426862e+01 4.420725463145482337e+01 3.123738695028753654e+01
5.320697451291849944e+01 4.348809355139288613e+01 3.065563334990258326e+01
5.550843284183519444e+01 4.524235752554179157e+01 3.216077116748881082e+01
5.574303042261215779e+01 4.552876662372492689e+01 3.216235144417546366e+01
5.436475760035989424e+01 4.422097836204475385e+01 3.162328163947344706e+01
5.478701794146637383e+01 4.463243944892597170e+01 3.177361615800938210e+01
5.523124694131179524e+01 4.513554722509750405e+01 3.183194960072594171e+01
5.489891430947807294e+01 4.486357093577958466e+01 3.164096704036855812e+01
5.359625896105917064e+01 4.382915999186734268e+01 3.084742629504462030e+01
5.380100632967457130e+01 4.385040558727081361e+01 3.117194591162912332e+01
5.470640180123757546e+01 4.454907715023833248e+01 3.175169480674319544e+01
5.513730626392158740e+01 4.495410042352511226e+01 3.192571686200805914e+01
5.547316201071693342e+01 4.543565986273600288e+01 3.182565814409828775e+01
5.622830660848603657e+01 4.600034053162046632e+01 3.233560166492762988e+01
5.611567106029144014e+01 4.572542432728134543e+01 3.252928078880468377e+01
5.477191190136626631e+01 4.470757949587257229e+01 3.164166033809322798e+01
5.424089730528137210e+01 4.418738256810798504e+01 3.145711624198484202e+01
5.494888380353898327e+01 4.475197112222453200e+01 3.188480691380160437e+01
5.365909354159975919e+01 4.378234250471587075e+01 3.102264986273582537e+01
5.311225153821294498e+01 4.337924390849614298e+01 3.064559448575933942e+01
5.523612309916059360e+01 4.523415673851125973e+01 3.170016339360759261e+01
5.514701501663667926e+01 4.507473997819884914e+01 3.177201726587271580e+01
5.488686039512894865e+01 4.471905803989182004e+01 3.182409923405785435e+01
5.397929538795731474e+01 4.404282335368277757e+01 3.120887760904971131e+01
5.441003258199092585e+01 4.459074775254322276e+01 3.117878863013083546e+01
5.414413494868222898e+01 4.415027505069414815e+01 3.134231265061923111e+01
5.325090540866243316e+01 4.355946372441005821e+01 3.063057372763557140e+01
5.322741383358091127e+01 4.348058171213958900e+01 3.070173606467935912e+01
5.468145813502756170e+01 4.466782507888273557e+01 3.154119950945280948e+01
5.644577401399264716e+01 4.603716139958056885e+01 3.266045275723678998e+01
5.391580775693859806e+01 4.391091221930300037e+01 3.128491831780653598e+01
5.643971497444681518e+01 4.616574797291939092e+01 3.246790939524263564e+01
5.469869752594916434e+01 4.453881601265511136e+01 3.175281687073028536e+01
5.601493475650399034e+01 4.590661858477251656e+01 3.209759003239366137e+01
5.602014723922454920e+01 4.589827639927122505e+01 3.211861018600431095e+01
5.563623850571924123e+01 4.535133089822536334e+01 3.222805952621016701e+01
5.499554629809632189e+01 4.492252596672462772e+01 3.172501809920693461e+01
5.465766308244115379e+01 4.466379611155345231e+01 3.150564156685646111e+01
5.518449294675298233e+01 4.511915443065014841e+01 3.177404861287545756e+01
5.323458657268425043e+01 4.349366456713747198e+01 3.069564057135711366e+01
5.613670945650333266e+01 4.576019907251877328e+01 3.251667771232668969e+01
5.673101262336327011e+01 4.634520773768731772e+01 3.271894730920923422e+01
5.614854214182258829e+01 4.598295737319806875e+01 3.222152100486064796e+01
5.595620023642945995e+01 4.554275507124811639e+01 3.251082597258476881e+01
5.642152795844918955e+01 4.612497027603311039e+01 3.249424463195176571e+01
5.337576576173179888e+01 4.351162848659427596e+01 3.091456868688059956e+01
5.455435736612041353e+01 4.469030633422141108e+01 3.128824743228399541e+01
5.426507416692988528e+01 4.435750031503493318e+01 3.125876581287362299e+01
5.590224688799457908e+01 4.561846472225404625e+01 3.231125010752079163e+01
5.733666571283401936e+01 4.676876811205040951e+01 3.316889453006435673e+01
5.423151018284134040e+01 4.437208372878465212e+01 3.117971908592745223e+01
5.531559127911410911e+01 4.530645699722970932e+01 3.173546270209684650e+01
5.558024559783642360e+01 4.548842615699665259e+01 3.193691886321029827e+01
5.394625603836796301e+01 4.402463851479931378e+01 3.117739155539477025e+01
5.443537810495371332e+01 4.441669356396216273e+01 3.147010839311419517e+01
5.380386621075671627e+01 4.398595816907066336e+01 3.098534336059185534e+01
5.697560917593922625e+01 4.651372628847359891e+01 3.290430530690976951e+01
5.604389593908799583e+01 4.568478782635937563e+01 3.246256972717732481e+01
5.635327291939209005e+01 4.617531087009104596e+01 3.230374645111525922e+01
5.396085954722178002e+01 4.403871034476742352e+01 3.118278939166075503e+01
5.592691249323203095e+01 4.572437458069688176e+01 3.220405425144097933e+01
5.440011432332163110e+01 4.434087990062112539e+01 3.151600875791788070e+01
5.643191521028513336e+01 4.612158189738602232e+01 3.251708378043031900e+01
5.374553243248458756e+01 4.395201437240287135e+01 3.093222735367344356e+01
5.626255607667777525e+01 4.590312249350994733e+01 3.253273062051711406e+01
5.724221206519724348e+01 4.678929419969535530e+01 3.297624585078428083e+01
5.575983749752678875e+01 4.559151089792820954e+01 3.210254836916669774e+01
5.641224157532090544e+01 4.601301849211872508e+01 3.263653058761461523e+01
5.534420112730153107e+01 4.520538026127267983e+01 3.192889277524265879e+01
5.484977051310961116e+01 4.483367820442736473e+01 3.159807943534928043e+01
5.652117896366389260e+01 4.604535487055044030e+01 3.277909343297338296e+01
5.601354044691401413e+01 4.570732231094424947e+01 3.237834771203635853e+01
5.522574266297043977e+01 4.516015683024924243e+01 3.178746431761939562e+01
5.623900092160106112e+01 4.592509300631623148e+01 3.246091583768161115e+01
5.562109701833423969e+01 4.541759116581719979e+01 3.210839214625412552e+01
5.502318274176090540e+01 4.491070791581912403e+01 3.178960448846754971e+01
5.599164079954763906e+01 4.566511881408092677e+01 3.240001177656328935e+01
5.511973257042949115e+01 4.496141143012788888e+01 3.188504980153599888e+01
5.583358504862616911e+01 4.571884131040700794e+01 3.204959857183852279e+01
5.695842798679750274e+01 4.647942663598138324e+01 3.292302261818652909e+01
5.463145162653903242e+01 4.467955890829537680e+01 3.143775632234332562e+01
5.652679281402128453e+01 4.609815173203807603e+01 3.271450309464111683e+01
5.431747029364564128e+01 4.429354164562392526e+01 3.143993873385341331e+01
5.579813892830043187e+01 4.552216082453227841e+01 3.226709131185106827e+01
5.702239536336809067e+01 4.660173695310566444e+01 3.286079253350120410e+01
5.652232092139228570e+01 4.625913473272127163e+01 3.247868864533789690e+01
5.490531860312227508e+01 4.473858253724711176e+01 3.182849734857574120e+01
5.584222550436398791e+01 4.554996022661584476e+01 3.230410612652755020e+01
5.580924935555116662e+01 4.556392999364964425e+01 3.222732686965958493e+01
5.534876574449567244e+01 4.511932228596755579e+01 3.205826922798623002e+01
5.445746554729774402e+01 4.448046708978888830e+01 3.141820493454914143e+01
5.475255073487583246e+01 4.465887883317087415e+01 3.167690567810111801e+01
5.677087280804362734e+01 4.641962919286154943e+01 3.268256454111737952e+01
5.490010839604001092e+01 4.478105798781457736e+01 3.175970320057999174e+01
5.405778867857110015e+01 4.420906973104450088e+01 3.110952700271565519e+01
5.408972885240140727e+01 4.413392204378291694e+01 3.127132380248072607e+01
5.534942999862645507e+01 4.510317434851896223e+01 3.208212999256674891e+01
